name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Academy of the Holy Names","3319 Bayshore Blvd, Tampa, FL 33629","(813) 839-5371","kwhitney@holynamestpa.org",27.914846,-82.492773,"https://www.holynamestpa.org/","United States","Florida","Tampa",4.3,28,"33629","Catholic schools","Middle schools,Catholic schools,High schools,Elementary schools","https://www.facebook.com/holynamestpa/","https://www.instagram.com/holynamestpa/","","https://twitter.com/holynamestpa","","https://www.youtube.com/@holynamestpa",""
"St John the Evangelist School","9 Livingston St, Binghamton, NY 13903","(607) 723-0703","csbc@syrdiocese.org",42.0913957,-75.9079402,"https://csbcsaints.org/our-schools/st-john-the-evangelist/campus-overview/","United States","New York","Binghamton",5,3,"13903","Catholic schools","Kindergartens,Kindergarten Schools,Private educational institutions,Elementary schools,Catholic schools,Parochial schools","https://www.facebook.com/St-John-School-Binghamton-NY-399338100169777/","https://www.instagram.com/catholicschools/","","https://twitter.com/StJohnSchoolBin","","",""
"Holy Name Catholic School","406 Old Willow St, Coffeyville, KS 67337","(620) 251-0480","frschibi@gmail.com",37.0401476,-95.6208454,"https://holynamecoffeyville.org/school","United States","Kansas","Coffeyville",0,0,"67337","Catholic schools","Middle schools,Catholic schools,Schools","https://www.facebook.com/profile.php?id=61559960234339","https://www.instagram.com/holynamecoffeyvilleks/","","https://x.com/HolyNameCVille","","",""
"St Mary of the Mills","106 St Marys Pl, Laurel, MD 20707","(301) 498-1433","jcastaneda@stmaryofthemills.org",39.1083183,-76.8553952,"https://www.stmaryofthemills.org/","United States","Maryland","Baltimore",0,0,"20707","Catholic schools","Schools,Catholic schools","https://www.facebook.com/stmaryofthemillsschool/","https://www.instagram.com/st.maryofthemills/","https://www.linkedin.com/company/st-mary-of-the-mills-school/mycompany/?viewAsMember=true","https://twitter.com/StMaryOTMS","","https://www.youtube.com/channel/UC-UjQfoSDSuQwH42TUp6GYg","https://www.tiktok.com/@smsstallions?is_from_webapp=1&sender_device=pc"
"Gesu Catholic School","2450 Miramar Blvd, University Heights, OH 44118","(216) 932-0620","communications@gesu.com",41.4926738,-81.5322789,"http://www.gesu.com/","United States","Ohio","University Heights",5,5,"44118","Catholic schools","Catholic schools,Schools","https://www.facebook.com/GesuCatholic/","https://www.instagram.com/gesucatholic/?hl=en","https://www.linkedin.com/shareArticle?mini=true&url=https://www.facebook.com/photo.php?fbid=977082834424546&set=a.449401283859373&type=3","https://twitter.com/gesucatholic?lang=en","","",""
"Queen of Angels Regional Catholic School","401 Easton Rd, Willow Grove, PA 19090","(215) 659-6393","qoahomeandschool@qoaschool.org",40.1474086,-75.118371,"http://www.qoaschool.org/","United States","Pennsylvania","Philadelphia",4,4,"19090","Catholic schools","Catholic schools","https://www.facebook.com/Queen-of-Angels-Catholic-School-461501053916668","https://www.instagram.com/qoaprek/","","https://www.twitter.com/@qoa_school","","",""
"Holy Rosary Catholic School","1426 George St, Rosenberg, TX 77471","(281) 342-5813","arodriguez@holyrosary-school.org",29.552649,-95.8167212,"http://www.holyrosary-school.org/","United States","Texas","Houston",4.9,10,"77471","Catholic schools","Middle schools,Catholic schools","https://www.facebook.com/Holy-Rosary-Catholic-School-342299185862954","https://www.instagram.com/holyrosarycatholicschool/","","https://www.twitter.com/rosary_catholic","","",""
"Our Lady of Sorrows School","172 Academy St, South Orange, NJ 07079","(973) 762-5169","alumni@ourladyofsorrowsschool.org",40.7419251,-74.2596143,"https://ourladyofsorrowsschool.org/","United States","New Jersey","South Orange",5,10,"07079","Catholic schools","Private educational institutions,Catholic schools,Elementary schools,Middle schools,Nursery schools,Kindergartens,Preschools,Kindergarten Schools","https://www.facebook.com/OLSSchoolNJ/","https://www.instagram.com/olssouthorange/?hl=en","","https://twitter.com/olssouthorange?lang=en","","https://www.youtube.com/channel/UCJZoqVctjZ7IXinj6_dtjpw",""
"St. Germaine Catholic School","28250 Rockwood St, St Clair Shores, MI 48081","(586) 771-0890","cmaciejewski@stgermaine.org",42.501441,-82.9095692,"http://stgermaine.org/","United States","Michigan","Detroit",4.6,9,"48081","Catholic schools","Catholic schools,Schools","https://www.facebook.com/stgermaineschool","https://instagram.com/stgermainecatholic?igshid=YmMyMTA2M2Y=","","https://www.twitter.com/stgermainescs","","",""
"Mater Dei Catholic School","493 E Main St, Lansdale, PA 19446","(215) 368-0995","info@materdeicatholic.com",40.236411,-75.2743535,"http://materdeicatholic.com/","United States","Pennsylvania","Philadelphia",3.9,14,"19446","Catholic schools","Catholic schools","https://www.facebook.com/MaterDeiCatholicSchool/","https://instagram.com/materdei.cs?igshid=ohl9lpo6jmbp","","https://twitter.com/Mater_Dei_CS","","",""
