name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"BYU–Idaho Hart Swimming Pool","311 S 1st W, Rexburg, ID 83460","(208) 496-7480","scheduling@byui.edu",43.8194447,-111.7853449,"https://www.byui.edu/recreational-services/hart-building/swimming-pool?utm_source=gmb&utm_medium=yext&y_source=1_MTAxMzI5NDkxNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","United States","Idaho","Rexburg",4.5,24,"83460","Swimming pools","Swimming pools","https://www.facebook.com/BYUID","https://www.instagram.com/byuidaho/","https://www.linkedin.com/company/byu-idaho","https://twitter.com/byuidaho","https://wa.me/12084961411","https://www.youtube.com/byui",""
"Progressive Contractor","11020 W Miami Ave, Tolleson, AZ 85353","(623) 759-2675","fort2640@gmail.com",33.4174892,-112.2962874,"http://progressivecontractorllc.com/","United States","Arizona","Phoenix",4.2,5,"85353","Swimming pools","Excavating contractors,Swimming pools,Demolition contractors","https://www.facebook.com/101947354958086","https://www.instagram.com/progressive_contractor","","https://www.twitter.com/progressive1230","https://wa.me/16237592675","",""
"Island Time Pool Rental","76 Main St NW, Lilburn, GA 30047","(818) 564-1814","press@swimply.com",33.8863569,-84.1338906,"https://swimply.com/pooldetails/8355?utm_source=pdp_share_button&utm_medium=app&utm_campaign=8355","United States","Georgia","Atlanta",0,0,"30047","Swimming pools","Swimming pools","https://www.facebook.com/swimply.official","https://www.instagram.com/swimply","","https://x.com/swimply","","",""
"Pool for hourly rent","5145 Golf Rd, Merced, CA 95340","(713) 973-8952","press@swimply.com",37.3634856,-120.4511329,"https://www.swimply.com/","United States","California","Merced",5,1,"95340","Swimming pools","Swimming pools","https://www.facebook.com/swimply.official","https://www.instagram.com/swimply","","https://x.com/swimply","","",""
"Sunset Pool","914 W Hart Ave, Pasadena, TX 77506","(713) 948-0322","smia@pasadenatx.gov",29.6935643,-95.2213117,"https://www.pasadenatx.gov/aquatics","United States","Texas","Houston",4.2,28,"77506","Swimming pools","Swimming pools","https://www.facebook.com/pasadenatxgov/","https://www.instagram.com/pasadenatxgov/","","https://twitter.com/pasadenatxgov","","",""
"Gage Park Pool (Outdoor)","2411 W 55th St, Chicago, IL 60632","(773) 535-9230","play@chicagoparkdistrict.com",41.7928487,-87.6850164,"https://www.chicagoparkdistrict.com/parks-facilities/gage-pool","United States","Illinois","Chicago",4,33,"60632","Swimming pools","Swimming pools","http://www.facebook.com/ChicagoParkDistrict","https://instagram.com/chicagoparks/","","http://www.twitter.com/chicagoparks/","","https://www.youtube.com/channel/UCn9c-UlaJcoyHJvZH0PQO1A/featured?view_as=subscriber",""
"Westampton Oasis","24 Roberts Dr, Westampton Township, NJ 08060","(609) 500-5361","press@swimply.com",40.0287966,-74.808625,"https://www.njoasis.com/","United States","New Jersey","",0,0,"08060","Swimming pools","Swimming pools","https://www.facebook.com/swimply.official","https://www.instagram.com/swimply","","https://x.com/swimply","","",""
"Pacific Community Pool","509 S Pacific Ave, Glendale, CA 91204","(818) 937-7433","cspcustomerservice@glendaleca.gov",34.1392906,-118.2646641,"https://www.glendaleaquatics.org/","United States","California","Los Angeles",4.6,66,"91204","Swimming pools","Swimming pools","https://www.facebook.com/MyGlendaleParks","https://www.instagram.com/myglendale/","","http://www.twitter.com/myglendaleparks","","",""
"Park Pool","90095 Easton Cir, Los Angeles, CA 90024","(310) 825-3671","info@recreation.ucla.edu",34.0742122,-118.4515412,"https://recreation.ucla.edu/facilities/swimming-pools/park-pool","United States","California","Los Angeles",5,7,"90024","Swimming pools","Swimming pools","https://www.facebook.com/UCLA/","https://www.instagram.com/ucla/","https://www.linkedin.com/school/ucla","https://www.x.com/ucla","","https://www.youtube.com/user/UCLA","https://www.tiktok.com/@ucla?lang=en"
"MAC Swimming pool","500 S Nedderman Dr, Arlington, TX 76013","(817) 272-3277","campusrec@uta.edu",32.7315086,-97.1175784,"https://www.uta.edu/student-affairs/campus-recreation/facilities","United States","Texas","Arlington",4.4,58,"76013","Swimming pools","Swimming pools","https://www.facebook.com/utarlington/","https://www.instagram.com/utarlington/","https://www.linkedin.com/school/university-of-texas-at-arlington/","https://x.com/utarlington","","https://www.youtube.com/user/UTArlington",""
