name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"United States Postal Service","10 16th Ave, Brooklyn Park, MD 21225","(800) 275-8777","SFSdelivery.confirmation@usps.gov",39.2200061,-76.6150508,"https://tools.usps.com/locations/details/1434370?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext","United States","Maryland","Baltimore",1.7,144,"21225","Post offices","Shipping and mailing services,Post offices,Passport offices,Visa Agents,Logistics services,Money order services","https://www.facebook.com/USPS?rf=108501355848630","https://www.instagram.com/uspostalservice/?hl=en","","https://twitter.com/usps","","https://www.youtube.com/usps",""
"United States Postal Service","5910 Connecticut Ave, Chevy Chase Village, MD 20815","(800) 275-8777","SFSdelivery.confirmation@usps.gov",38.970958,-77.077607,"https://tools.usps.com/locations/details/1434377?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext","United States","Maryland","Chevy Chase Village",2.9,18,"20815","Post offices","Shipping and mailing services,Post offices,Money order services,Logistics services","https://www.facebook.com/USPS?rf=108501355848630","https://www.instagram.com/uspostalservice/?hl=en","","https://twitter.com/usps","","https://www.youtube.com/usps",""
"United States Postal Service","5364 Westbard Ave, Bethesda, MD 20816","(800) 275-8777","SFSdelivery.confirmation@usps.gov",38.9633044,-77.1069536,"https://tools.usps.com/find-location.htm?location=1600738&utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext","United States","Maryland","Somerset",3,10,"20816","Post offices","Money order services,Logistics services,Shipping and mailing services,Post offices","https://www.facebook.com/USPS?rf=108501355848630","https://www.instagram.com/uspostalservice/?hl=en","","https://twitter.com/usps","","https://www.youtube.com/usps",""
"FSU Postal Services","800 W Madison St, Tallahassee, FL 32304","(850) 644-2794","postal@fsu.edu",30.4368722,-84.2955869,"https://postal.fsu.edu/","United States","Florida","Tallahassee",0,0,"32304","Post offices","Post offices","https://www.facebook.com/floridastate","https://instagram.com/floridastateuniversity/","https://www.linkedin.com/edu/school?id=18100","https://twitter.com/floridastate","","https://www.youtube.com/FloridaState",""
"North Bay Village Post Office","North Bay Village, FL 33141","(800) 275-8777","actionteam@nbvillage.com",25.8484769,-80.1511794,"https://northbayvillage-fl.gov/post-office/","United States","Florida","Miami",3,4,"","Post offices","Post offices","https://www.facebook.com/northbayvillage","https://www.instagram.com/northbayvillagefl/","https://www.linkedin.com/company/north-bay-village","https://twitter.com/northbayvillage","","https://www.youtube.com/channel/UCra-KqU9OgiAi1iv7nBzrLw?view_as=subscriber",""
"Jacksonville University","2800 University Blvd N, Jacksonville, FL 32211","(904) 256-7505","media@ju.edu",30.3509735,-81.6066127,"https://www.ju.edu/","United States","Florida","Jacksonville",3.2,5,"32211","Post offices","Post offices,Private universities,Universities","https://www.facebook.com/jacksonvilleuniversity","https://www.instagram.com/jacksonvilleu/","","https://twitter.com/JacksonvilleU","","",""
"United States Postal Service","14 E Main St Ofc, Railroad, PA 17355","(800) 275-8777","SFSdelivery.confirmation@usps.gov",39.7605435,-76.6986857,"https://tools.usps.com/locations/details/1378701?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext","United States","Pennsylvania","",4.7,3,"17355","Post offices","Money order services,Logistics services,Shipping and mailing services,Post offices","https://www.facebook.com/USPS?rf=108501355848630","https://www.instagram.com/uspostalservice/?hl=en","","https://twitter.com/usps","","https://www.youtube.com/usps",""
"United States Postal Service","22576 MacArthur Blvd Ste 330, California, MD 20619","(800) 275-8777","SFSdelivery.confirmation@usps.gov",38.2866717,-76.483656,"https://tools.usps.com/locations/details/1356637?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext","United States","Maryland","California",4.1,36,"20619","Post offices","Shipping and mailing services,Post offices,Logistics services,Money order services","https://www.facebook.com/USPS?rf=108501355848630","https://www.instagram.com/uspostalservice/?hl=en","","https://twitter.com/usps","","https://www.youtube.com/usps",""
"United States Postal Service","25897 Royal Oak Rd, Easton, MD 21601","(800) 275-8777","SFSdelivery.confirmation@usps.gov",38.7427375,-76.1795087,"https://tools.usps.com/locations/details/1380033?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext","United States","Maryland","Saint Michaels",0,0,"21601","Post offices","Money order services,Shipping and mailing services,Post offices,Logistics services","https://www.facebook.com/USPS?rf=108501355848630","https://www.instagram.com/uspostalservice/?hl=en","","https://twitter.com/usps","","https://www.youtube.com/usps",""
"United States Postal Service","16111 McMullen Hwy SW, Bel Air, MD 21556","(800) 275-8777","SFSdelivery.confirmation@usps.gov",39.5751044,-78.849664,"https://tools.usps.com/locations/details/1377615?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext","United States","Maryland","Bel Air",2.6,7,"21556","Post offices","Logistics services,Money order services,Shipping and mailing services,Post offices","https://www.facebook.com/USPS?rf=108501355848630","https://www.instagram.com/uspostalservice/?hl=en","","https://twitter.com/usps","","https://www.youtube.com/usps",""
