name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Tew, Paul M, DVM - Upper Valley Veterinary Clinic","840 N 2nd E Suite # 1, Rexburg, ID 83440","(208) 356-4271","wecare@uppervalleyvet.com",43.8430423,-111.7778303,"http://www.uppervalleyvet.com/","United States","Idaho","Sugar City",4.5,2,"83440","Animal hospitals","Veterinarians,Animal hospitals","https://www.facebook.com/uppervalleyvet/?ref=br_rs","https://www.instagram.com/upper_valley_vet/","","https://twitter.com/rexburgvet?lang=en","","",""
"California Animal Rehabilitation","2237 Colby Ave, Los Angeles, CA 90064","(310) 998-2273","info@CalAnimalRehab.com",34.0348787,-118.4444151,"https://www.calanimalrehab.com/","United States","California","Los Angeles",4.5,80,"90064","Animal hospitals","Pet boarding services,Pet groomers,Animal hospitals","http://www.facebook.com/pages/Santa-Monica-CA/California-Animal-Rehabilitation/354565022913","https://www.instagram.com/calanimalrehab/","","https://twitter.com/CalAnimalRehab","","",""
"Tracey's k9 rescue, boarding and daycare LLC","","(214) 934-0877","info@mysite.com",32.7430719,-96.963595,"https://www.traceysk9rescueboardinganddaycarellc.com/","United States","Texas","Dallas",0,0,"","Animal hospitals","Companies,Animal hospitals,Service establishments","https://www.facebook.com/wix","https://www.instagram.com/wix","https://www.linkedin.com/company/wix-com","https://www.twitter.com/wix","","","https://www.tiktok.com/@traisee?lang=en"
"Madisonville Veterinary Hospital","409 E Collard St, Madisonville, TX 77864","(936) 348-9618","madisonvillevet@gmail.com",30.954376,-95.912728,"http://www.mvhtexas.com/","United States","Texas","Madisonville",4.8,147,"77864","Animal hospitals","Animal hospitals","https://www.facebook.com/MVHTexas/","https://www.instagram.com/madisonvillevet/","","https://twitter.com/madisonvillevet","","",""
"UT Reproduction Facility/VREC","1532 Old, Cherokee Trail, Knoxville, TN 37996","(865) 974-8387","cafsp@utk.edu",35.9426942,-83.9452676,"http://www.vet.utk.edu/","United States","Tennessee","Knoxville",5,11,"37996","Animal hospitals","Animal hospitals","https://www.facebook.com/UTCVM","https://www.instagram.com/utcvm/","https://www.linkedin.com/school/18935714/admin/feed/posts/  ","https://twitter.com/utcvm","","https://www.youtube.com/user/utvetv",""
"OSU Hospital for Farm Animals","Veterinary Medical Center, 601 Vernon L Tharp St, Columbus, OH 43210","(614) 292-6661","CVM-DigitalAccessibility@osu.edu",40.0009157,-83.0277092,"https://vet.osu.edu/vmc/farm","United States","Ohio","Columbus",5,1,"43210","Animal hospitals","Animal hospitals","https://www.facebook.com/OSUVeterinaryMedicalCenter","https://www.instagram.com/osuvetcollege/","https://www.linkedin.com/company/osuvetmed","https://twitter.com/OSUVetCollege","","https://www.youtube.com/user/OSUVeterinaryCollege",""
"Best Friends Animal Society - Spay & Neuter Clinic","845 N 100 W #107, Orem, UT 84057","(801) 574-2454","utahadoptions@bestfriends.org",40.3126863,-111.6987174,"http://utah.bestfriends.org/","United States","Utah","Orem",4.4,441,"84057","Animal hospitals","Animal hospitals","https://facebook.com/bestfriendsanimalsociety","https://instagram.com/bestfriendsanimalsociety","https://www.linkedin.com/company/best-friends-animal-society","https://twitter.com/bestfriends","","https://www.youtube.com/user/BestFriendsVideos","https://www.tiktok.com/@bestfriendsanimalsociety"
"Rowley Animal Hospital","46 Leslie Rd, Rowley, MA 01969","(978) 948-2118","rowleyanimal@gmail.com",42.6990508,-70.9306182,"http://www.rowleyanimalhospital.com/","United States","Massachusetts","Boston",4.7,65,"01969","Animal hospitals","Animal hospitals,Kennels","//www.facebook.com/RowleyAnimalHospital/","//www.instagram.com/rowleyanimalhospital/","","//twitter.com/RowleyAnimal","","",""
"CVCA Cardiac Care For Pets","7300 Ranch Rd 2222 Bldg 4 Suite 218, Austin, TX 78730","(512) 745-3698","steve.scothorn@cvcavets.com",30.3718388,-97.8018027,"https://cvcavets.com/","United States","Texas","Austin",5,184,"78730","Animal hospitals","Veterinarians,Animal hospitals","https://www.facebook.com/CVCAVETS","https://www.instagram.com/cvcavets/","https://www.linkedin.com/company/cvca-cardiac-care-for-pets","https://twitter.com/cvcavets","","https://www.youtube.com/@cvcacardiacvets",""
"Delaware Valley Veterinary Hospital","400 Swedesboro Rd, Mullica Hill, NJ 08062","(856) 241-1100","delvalvet@comcast.net",39.7559221,-75.2601973,"http://www.delvalvethosp.com/","United States","New Jersey","",4.6,1106,"08062","Animal hospitals","Veterinarians,Animal hospitals","http://www.facebook.com/delvalvethosp?ref=sgm","https://www.instagram.com/delvalvethosp/","","https://twitter.com/delvalvethosp","","",""
