name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"15th Street Pizza & Pub","1927 Jonesboro Rd, McDonough, GA 30253","(770) 507-1478","contact@15thstreetpizza.com",33.4611723,-84.217894,"http://15thstreetpizza.com/","United States","Georgia","Atlanta",4.4,1023,"30253","Bars","Chicken wings restaurants,Salad shops,Sandwich shops,Pubs,Bars,Pizza restaurants,Italian restaurants","http://www.facebook.com/pages/15th-Street-Pizza-Pub/186902627989620","http://instagram.com/15thstreetpizza","","https://twitter.com/15thStreetPizza","","https://www.youtube.com/channel/UCWeXWaB5NAalwl43dK49xog",""
"Pelican to Mars","2678 Government St, Baton Rouge, LA 70806","(225) 726-7142","welcome@pelicantomars.com",30.4437066,-91.1605639,"http://www.pelicantomars.com/","United States","Louisiana","Baton Rouge",4.7,101,"70806","Bars","Bars,Live music bars","https://www.facebook.com/541337206353441","https://www.instagram.com/pelicantomars","","https://www.twitter.com/PelicanToMars","","",""
"Our Bar ATL","339 Edgewood Ave SE, Atlanta, GA 30312","(678) 929-8380","info@ourbaratl.com",33.75422,-84.3764755,"http://www.ourbaratl.com/","United States","Georgia","Atlanta",4.8,586,"30312","Bars","Bars,Restaurants","https://www.facebook.com/ourbaratl","https://www.instagram.com/ourbaratl","","https://www.twitter.com/ourbaratl","","https://www.youtube.com/ourbaratl","https://www.tiktok.com/@ourbaratl"
"Coyote Ugly Saloon","225 N Peters St, New Orleans, LA 70130","(504) 561-0003","neworleans@coyoteuglysaloon.com",29.952953,-90.0655006,"https://www.coyoteuglysaloon.com/neworleans/","United States","Louisiana","New Orleans",4,627,"70130","Bars","Bars","https://www.facebook.com/coyoteuglysaloon","https://www.instagram.com/coyoteuglyusa","","https://twitter.com/Coyoteuglyusa","","https://www.youtube.com/coyoteuglysaloon","https://www.tiktok.com/@coyoteugly_satellitebar"
"Fred's Bar & Grill","1184 Bob Pettit Blvd, Baton Rouge, LA 70820","(225) 478-2345","fredsintigerland@gmail.com",30.3964845,-91.1799895,"http://www.fredsintigerland.com/","United States","Louisiana","Baton Rouge",4.1,214,"70820","Bars","Bars,Concert halls","http://www.facebook.com/fredsbar","https://www.instagram.com/fredsbar/","","http://www.twitter.com/fredsbar","","",""
"Cedar Valley Chops","413 S Main St, Cedartown, GA 30125","(678) 901-3177","info@cedarvalleychops.com",34.0110327,-85.2546819,"http://cedarvalleychops.com/","United States","Georgia","Cedartown",5,23,"30125","Bars","Bars,Recreation centers","https://www.facebook.com/cedarvalleychops","https://www.instagram.com/cedarvalleychops/","","https://twitter.com/cedarvalleychop","","",""
"Uncle Earl's","3753 Perkins Rd STE E, Baton Rouge, LA 70808","(225) 256-2531","events@uncleearls.com",30.4204142,-91.1505677,"http://www.uncleearls.com/","United States","Louisiana","Baton Rouge",4.2,110,"70808","Bars","Bars","https://www.facebook.com/1384741618507307","https://www.instagram.com/uncleearls","","https://www.twitter.com/uncleearls","","",""
"Twelve Mile Limit","500 S Telemachus St, New Orleans, LA 70119","(504) 488-8114","tcole@twelvemilelimit.com",29.9682841,-90.0998408,"https://www.twelvemilelimit.com/","United States","Louisiana","New Orleans",4.6,456,"70119","Bars","Bars","https://www.facebook.com/133374350049947","https://www.instagram.com/12milelimit","","https://www.twitter.com/twelvemilelimit","","",""
"Blue Door","107 Bradford St NE, Gainesville, GA 30501","(770) 532-0001","cateringahb@gmail.com",34.2999875,-83.8271239,"https://www.bluedoorupstairs.com/","United States","Georgia","Gainesville",3.8,31,"30501","Bars","Bars","https://www.facebook.com/squarespace/","https://www.instagram.com/squarespace/","","https://twitter.com/squarespace?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","",""
"Rock Steady - Atlanta","907 Marietta St NW, Atlanta, GA 30318","(470) 788-8120","info@rocksteadyatl.com",33.7771263,-84.4078999,"http://rocksteadyatl.com/","United States","Georgia","Atlanta",4.4,2153,"30318","Bars","Bars,Restaurants,Caribbean restaurants,Lounges","https://www.facebook.com/RockSteadyAtl","http://instagram.com/rocksteadyatlanta","","http://twitter.com/rocksteadyatl","","https://www.youtube.com/@rocksteadyatlanta",""
