name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"BYU–Idaho Tennis Courts","312 S 1st W, Rexburg, ID 83460","(208) 496-7480","recservices@byui.edu",43.8195767,-111.7869562,"https://www.byui.edu/recreational-services/outdoor-facilities?utm_source=gmb&utm_medium=yext&y_source=1_MTAxMzI5NDkyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","United States","Idaho","Rexburg",0,0,"83460","Tennis courts","Tennis courts","https://www.facebook.com/BYUID","https://www.instagram.com/byuidaho/","https://www.linkedin.com/company/byu-idaho","https://twitter.com/byuidaho","https://wa.me/12084961411","https://www.youtube.com/byui",""
"Hook Road Tennis Courts","11400 Fairway Dr, Reston, VA 20190","(703) 435-6534","Member_Services@reston.org",38.9626415,-77.340467,"http://www.restontennis.org/about/tennis-court-locations","United States","Virginia","Washington",4.7,25,"20190","Tennis courts","Sports complexes,Tennis courts","https://www.facebook.com/RestonAssociation/","https://www.instagram.com/restonassociation/","https://www.linkedin.com/company/reston-association","https://twitter.com/RestonOnline","","https://www.youtube.com/user/RestonAssociation",""
"Hyland Hills Tennis Courts","9858 Edgewood Rd, Bloomington, MN 55438","(952) 563-8877","parksrec@BloomingtonMN.gov",44.8253263,-93.3635796,"https://www.bloomingtonmn.gov/pr/parks/hyland-hills-tennis-courts","United States","Minnesota","Bloomington",0,0,"55438","Tennis courts","Tennis courts","https://www.facebook.com/blm.mn","https://www.instagram.com/bloomington_mn/","https://www.linkedin.com/company/bloomington-mn","https://twitter.com/bloomington_mn","","https://www.youtube.com/@CityofBloomingtonMN",""
"Tennis Center","1315 E Pikes Peak Ave, Colorado Springs, CO 80909","(719) 385-6023","Marc@springsTennis.com",38.8299848,-104.8003167,"https://coloradosprings.gov/Tennis","United States","Colorado","Colorado Springs",4.8,61,"80909","Tennis courts","Tennis courts","https://facebook.com/cityofcos","https://www.instagram.com/CityofCOS","","https://twitter.com/cityofcos","","https://www.youtube.com/c/SpringsTV",""
"UW-Oshkosh Tennis Courts","800 Algoma Blvd, Oshkosh, WI 54901","(920) 424-1234","webrequest@uwosh.edu",44.0228855,-88.5511721,"http://www.uwosh.edu/","United States","Wisconsin","Oshkosh",0,0,"54901","Tennis courts","Tennis courts","https://www.facebook.com/uwoshkosh","https://instagram.com/uwoshkosh","https://www.linkedin.com/edu/school?id=19693","https://twitter.com/uwoshkosh","","https://www.youtube.com/uwosh",""
"Burdett Tennis Center","5975 Old Carriage Dr SW, Atlanta, GA 30349","(770) 996-3502","customerservice@fultoncountyga.gov",33.5943031,-84.4804458,"http://www.fultoncountyga.gov/parks/1797-burdett-tennis-center","United States","Georgia","Atlanta",4.5,26,"30349","Tennis courts","Tennis courts,Sports complexes","https://www.facebook.com/fultoninfo/","https://www.instagram.com/fultoninfo/?hl=en","https://www.linkedin.com/company/fulton-county-government/","https://twitter.com/fultoninfo?lang=en","","",""
"Tennis Court 10","Irvine, CA 92618","(949) 724-6247","greatparkathletics@cityofirvine.org",33.6763993,-117.7355427,"https://www.cityofirvine.org/orange-county-great-park/sports-complex-facilities","United States","California","Irvine",0,0,"92618","Tennis courts","Tennis courts","http://www.facebook.com/cityofirvine","https://www.instagram.com/cityofirvine/","https://www.linkedin.com/company/cityofirvine","http://www.twitter.com/city_of_irvine","","http://www.youtube.com/ictv30",""
"Northside Tennis Center (NTC)","12205 Leslie Rd, Helotes, TX 78023","(210) 398-1800","scott.byrd@nisd.net",29.557145,-98.6849545,"https://www.nisd.net/district/athletics/tennis","United States","Texas","San Antonio",4.6,38,"78023","Tennis courts","Tennis courts","http://www.facebook.com/NorthsideISD","https://www.instagram.com/NorthsideISD","","http://www.twitter.com/NISD","","http://www.youtube.com/NorthsideISD",""
"Summers Tennis Center","Campus Dr, Tyler, TX 75799","(903) 566-7105","enroll@uttyler.edu",32.317587,-95.2555275,"http://www.uttyler.edu/","United States","Texas","Tyler",5,1,"75799","Tennis courts","Sports complexes,Tennis courts","https://www.facebook.com/uttyler/","https://www.instagram.com/uttyler/","https://www.linkedin.com/school/uttyler/","https://twitter.com/uttyler/","","",""
"Luther College Wulfsberg Tennis Courts","700 College Dr, Decorah, IA 52101","(563) 387-2000","admissions@luther.edu",43.3126468,-91.8088293,"http://www.luther.edu/","United States","Iowa","Decorah",0,0,"52101","Tennis courts","Tennis courts,Parks","https://www.facebook.com/luthercollege/","https://www.instagram.com/luthercollege/","https://www.linkedin.com/school/luther-college/","https://twitter.com/luthercollege","","https://www.youtube.com/channel/UCV-4UmKY6xa-4y6OzHMGBsA",""
