name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Costera Luxury Properties","28251 Leticia, Mission Viejo, CA 92692","(949) 400-1072","info@CosteraRealty.com",33.6092102,-117.6387204,"https://costerarealestate.com/","United States","California","Mission Viejo",5,15,"92692","Real estate agencies","Real estate consultants,Real estate agents,Real estate agencies","https://www.facebook.com/CosteraRealEstate","https://www.instagram.com/costera.realty","https://www.linkedin.com/company/costera-luxury-properties","https://www.twitter.com/HoppeRealty","https://wa.me/19494001072","https://www.youtube.com/@costeraluxuryproperties","https://www.tiktok.com/@costerarealty"
"Lake Havasu Real Estate - Lew Jabro, Realtor ~HavasuLew","375 Lake Havasu Ave STE A, Lake Havasu City, AZ 86403","(928) 846-6474","Lew@HomeSearchLakeHavasu.com",34.4660064,-114.3360247,"https://www.homesearchlakehavasu.com/","United States","Arizona","Lake Havasu City",5,34,"86403","Real estate agencies","Real estate consultants,Real estate agencies","https://www.facebook.com/HavasuHomes","https://www.instagram.com/havasulew/","https://linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.homesearchlakehavasu.com%2Fclient-testimonies%2F&title=","https://twitter.com/HavasuLew","https://wa.me/19288466474?text=Thanks%20for%20stopping%20by%21%20Someone%20will%20return%20your%20message%20ASAP%21%20%20~HavasuLew","https://www.youtube.com/@HavasuLew","https://www.tiktok.com/@havasulew"
"Cobbleridge Realty Corp","8 Nancy Pl, Selden, NY 11784","(631) 320-5849","ray.pearson@cobbleridgerealty.com",40.8881214,-73.0405508,"http://www.cobbleridgerealty.com/","United States","New York","Brookhaven",5,3,"11784","Real estate agencies","Real estate agencies","https://www.facebook.com/CobbleridgeRealtyCorp","https://www.instagram.com/cobbleridge_realty/","https://www.linkedin.com/in/cobbleridgerealty/","https://www.twitter.com/CobbleridgeRty","https://wa.me/16313205849","https://www.youtube.com/@cobbleridgerealty","https://www.tiktok.com/@cobbleridgerealty"
"Andrea Mydell-McCaskill, Associate Broker at Fox Hollow Realty","7505 Waters Ave STE F6, Savannah, GA 31406","(912) 210-2914","isiadorr@gmail.com",32.0035864,-81.1024087,"http://www.foxhollowrealty.com/","United States","Georgia","Savannah",5,3,"31406","Real estate agencies","Real estate agencies","https://www.facebook.com/1471804482907337","https://www.instagram.com/foxhollowrealty","https://www.linkedin.com/company/fox-hollow-realty/","https://www.twitter.com/foxhollowrealty","https://wa.me/19122722191","https://www.youtube.com/channel/UCazXjjq97SRyt25E6qqVjrA","https://www.tiktok.com/@isiadrealtor?lang=en"
"Mission Real Estate, Inc. Trish Nunez, Broker San Diego CA","","(619) 815-8078","info@changehappensdivorce.com",32.8245525,-117.1089784,"https://missionrealestatesd.com/","United States","California","San Diego",5,24,"","Real estate agencies","Service establishments,Companies,Real estate agencies","https://www.facebook.com/636805969796675","https://www.instagram.com/thats.right.beaches","https://www.linkedin.com/in/trishnunez/","https://www.x.com/TNunezBroker","https://wa.me/16196421739","https://www.youtube.com/channel/UC9FdJ1a2nyYebdM10TDpWig?view_as=subscriber","https://www.tiktok.com/@thats.right.beaches?is_from_webapp=1&sender_device=pc"
"Skywalker Group of Keyes Company","809 N Flagler Ave, Homestead, FL 33030","(305) 376-7779","info@skywalkergroup.com",25.4774826,-80.4679753,"http://www.skywalkergroup.com/","United States","Florida","Miami",5,112,"33030","Real estate agencies","Real estate consultants,Real estate agencies,Real estate agents","https://www.facebook.com/SkywalkerGroups","https://www.instagram.com/skywalker.group/","https://www.linkedin.com/in/saudrai/","https://twitter.com/SaudRai","https://wa.me/13058045358","https://www.youtube.com/user/saudrai","https://www.tiktok.com/@skywalker.group"
"Lake Havasu Real Estate - Lew Jabro, Realtor ~HavasuLew","1425 McCulloch Blvd N, Lake Havasu City, AZ 86403","(928) 846-6474","Lew@HomeSearchLakeHavasu.com",34.471252,-114.3495834,"https://www.homesearchlakehavasu.com/","United States","Arizona","Lake Havasu City",5,36,"86403","Real estate agencies","Real estate agencies,Real estate consultants","https://www.facebook.com/HavasuHomes","https://www.instagram.com/havasulew/","https://linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.homesearchlakehavasu.com%2Fclient-testimonies%2F&title=","https://twitter.com/HavasuLew","https://wa.me/19288466474?text=Thanks%20for%20stopping%20by%21%20Someone%20will%20return%20your%20message%20ASAP%21%20%20~HavasuLew","https://www.youtube.com/@HavasuLew","https://www.tiktok.com/@havasulew"
"Representing All Real Estate, LLC","48 Main St, Hartford, CT 06106","(860) 970-9373","valdezthebroker@gmail.com",41.7560988,-72.6749992,"http://www.valdezthebroker.com/","United States","Connecticut","Hartford",5,3,"06106","Real estate agencies","Real estate agencies,Commercial real estate agencies","https://www.facebook.com/158606767515002","https://www.instagram.com/valdezthebroker","https://www.linkedin.com/valdezthebroker","https://www.twitter.com/valdezthebroker","https://wa.me/18609709373","https://www.youtube.com/valdezthebroker","https://www.tiktok.com/@valdezthebroker"
"Novak Realty Corp","7856 Freestyle Ln, Winter Garden, FL 34787","(407) 832-2615","danilo@novakrealtycorp.com",28.4494116,-81.6030283,"http://www.novakrealtycorp.com/","United States","Florida","Orlando",5,1,"34787","Real estate agencies","Real estate agencies","https://www.facebook.com/novakrealtycorp/","https://www.instagram.com/novakrealtycorp/","https://www.linkedin.com/in/danilo-novak-48219594/","https://www.twitter.com/novakrealtycorp/","https://wa.me/+14078322615?text=Estoy visitando tu sitio web https://www.novakrealtycorp.com/y me gustaría hablar contigo","https://www.youtube.com/channel/UCBBjEauPlyEZN-Chr6076-A/","https://www.tiktok.com/@dnovak28/"
"NIIT Properties LLC","7022 W 10th St suite a 1172, Indianapolis, IN 46214","(888) 543-6133","info@niitproperties.org",39.7797624,-86.2839755,"https://niitproperties.org/","United States","Indiana","Indianapolis",0,0,"46214","Real estate agencies","Real estate agencies","https://facebook.com/niitpropertiesllc","http://instagram.com/niitpropertiesllc","http://linkedin.com/niitpropertiesllc","https://twitter.com/niitpropertiesllc","https://wa.me/#","http://youtube.com/niitpropertiesllc","http://tiktok.com/niitpropertiesllc"
