name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Brandons Exotic Pets in Farmville","229 Sunchase Blvd, Farmville, VA 23901","(804) 426-1145","ackerman@wholesaleexoticpets.com",37.294771,-78.3757671,"https://www.brandonexotic.com/","United States","Virginia","Farmville",4.1,18,"23901","Pet stores","Pet stores","https://www.facebook.com/435249517207921","https://www.instagram.com/RAREEXOTICPETS/","","https://www.twitter.com/MarlboroAck","https://wa.me/18048558091","https://www.youtube.com/channel/UCAlJc5bZsl1Sz5aeqw0D2nA",""
"Fabudazzle Pets","Inside The Painted Tree Boutiques, 4651 Woodstock Rd Space J19, Roswell, GA 30075","(770) 807-2456","admin@fabudazzlepets.com",34.0629252,-84.4240367,"https://www.fabudazzlepets.com/","United States","Georgia","Atlanta",0,0,"30075","Pet stores","Pet stores","//www.facebook.com/sharer.php?u=https://www.fabudazzlepets.com","https://www.instagram.com/fabudazzlepets/","","//twitter.com/share?text=Portsmith%20Fleece&url=https://www.fabudazzlepets.com","","",""
"Pets Leaf","3916 N Potsdam Ave PMB 2867, Sioux Falls, SD 57104","(732) 997-0851","accessibility@petsleaf.com",43.5905969,-96.694682,"https://petsleaf.com/","United States","South Dakota","Sioux Falls",0,0,"57104","Pet stores","Pet stores","https://www.facebook.com/people/Pets-Leaf/100089295513498/","https://www.instagram.com/petsleaf/","https://www.linkedin.com/in/nour-saber-a95b56130/","https://twitter.com/petsleaf","","",""
"Purdy Pet Food LLC","2234 Broadlane Rd, Williamstown, NJ 08094","(856) 740-6911","contact@purdypetfood.com",39.6832941,-74.9355531,"http://www.purdypetfood.com/","United States","New Jersey","",5,1,"08094","Pet stores","Pet stores","https://www.facebook.com/PurdyPetFoodLLC/","https://www.instagram.com/purdypetfoodllc/","https://www.linkedin.com/company/purdy-pet-food/","https://twitter.com/llcpurdy","","https://www.youtube.com/channel/UCaJsnqKxsP4r1MPonF9pWnA","https://www.tiktok.com/@purdypetfoodllc/"
"Pet & Puppy","","(832) 991-0658","info@mysite.com",29.957934,-95.5640703,"","United States","Texas","Houston",0,0,"","Pet stores","Pet stores,Service establishments,Companies","https://www.facebook.com/wix","https://www.instagram.com/wix","https://www.linkedin.com/company/wix-com","https://www.twitter.com/wix","","",""
"Pet Supplies Plus Okemos","2100 W Grand River Ave, Okemos, MI 48864","(517) 347-1508","rx@vetsource.com",42.7226896,-84.4281395,"https://www.petsuppliesplus.com/store/mi/okemos/4292-okemos/4292","United States","Michigan","Okemos",4.3,621,"48864","Pet stores","Pet supply stores,Pet stores,Pet groomers","https://www.facebook.com/petsuppliesplus","https://www.instagram.com/petsuppliesplus/","","https://twitter.com/petsuppliesplus","","","https://www.tiktok.com/@realpetsuppliesplus"
"Pet Supplies Plus Garwood","119 South Ave, Garwood, NJ 07027","(908) 789-8509","rx@vetsource.com",40.652312,-74.317154,"https://www.petsuppliesplus.com/Store/NJ/Garwood/Garwood/4095","United States","New Jersey","Cranford",4.8,729,"07027","Pet stores","Pet stores","https://www.facebook.com/petsuppliesplus","https://www.instagram.com/petsuppliesplus/","","https://twitter.com/petsuppliesplus","","","https://www.tiktok.com/@realpetsuppliesplus"
"Pet Supplies Plus Newark","1377 N 21st St, Newark, OH 43055","(740) 364-1593","rx@vetsource.com",40.0852778,-82.4280556,"https://www.petsuppliesplus.com/Store/OH/Newark/Newark/151","United States","Ohio","Newark",4.3,814,"43055","Pet stores","Pet groomers,Pet stores","https://www.facebook.com/petsuppliesplus","https://www.instagram.com/petsuppliesplus/","","https://twitter.com/petsuppliesplus","","","https://www.tiktok.com/@realpetsuppliesplus"
"Pet Supplies Plus Wethersfield","1142 Silas Deane Hwy, Wethersfield, CT 06109","(860) 563-3510","rx@vetsource.com",41.6909977,-72.6546425,"https://www.petsuppliesplus.com/Store/CT/Wethersfield/Wethersfield/4117","United States","Connecticut","Wethersfield",4.4,395,"06109","Pet stores","Pet stores","https://www.facebook.com/petsuppliesplus","https://www.instagram.com/petsuppliesplus/","","https://twitter.com/petsuppliesplus","","","https://www.tiktok.com/@realpetsuppliesplus"
"Happy Tails","1931 E Mills Ave, El Paso, TX 79901","(877) 887-0343","info@happytails.com",31.7716132,-106.4693076,"https://www.happytails.com/","United States","Texas","El Paso",4.4,48,"79901","Pet stores","Pet stores","https://www.facebook.com/HappyTailsProducts/?fref=ts","https://www.instagram.com/happytailspetproducts/","","https://twitter.com/happytailspp","","",""
