name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"West Coast Falconry","10308 Spring Valley Rd, Marysville, CA 95901","(530) 749-0839","westcoastfalconry@gmail.com",39.2612348,-121.4197342,"http://westcoast-falconry.com/","United States","California","",4.8,81,"95901","Wildlife parks","Pest control services,Wildlife parks","https://www.facebook.com/WestCoastFalconry/?ref=bookmarks","https://www.instagram.com/westcoastfalconry/","","https://twitter.com/WCFalconry?lang=en","","",""
"Sunflower Field Dorothea Dix Park","1987 Umstead Dr., Raleigh, NC 27603","(919) 996-3255","info@dixpark.org",35.7718014,-78.6620028,"https://dorotheadixpark.org/","United States","North Carolina","Raleigh",4.6,18,"27603","Wildlife parks","Wildlife parks","https://www.facebook.com/dixpark","https://www.instagram.com/dixpark/","","http://www.twitter.com/dixpark","","https://www.youtube.com/dixpark",""
"Gunderson Wildlife Area","L Ave, Marengo, IA 52301","(319) 655-8465","iowacountyconservation@gmail.com",41.8333784,-92.0835175,"http://iowacountyconservation.org/things-to-do/our-properties/gunderson-wildlife-area/","United States","Iowa","Marengo",3.7,16,"52301","Wildlife parks","Wildlife parks","http://www.facebook.com/iowacountyconservation","https://www.instagram.com/iowacountyconservation/","","https://twitter.com/lakeiowapark","","",""
"Goose Lake Wildlife Management Area","IA-136, Goose Lake, IA 52750","(515) 281-5918","PIO@dnr.iowa.gov",41.9601923,-90.3940486,"http://www.iowadnr.gov/","United States","Iowa","",4,12,"52750","Wildlife parks","Wildlife parks","https://www.facebook.com/iowadnr","https://www.instagram.com/iowadnr/","https://www.linkedin.com/company/iowa-department-of-natural-resources","https://twitter.com/iowadnr","","https://www.youtube.com/user/iowadnr",""
"Parks & Wildlife Department","21187 County Rd 4106, Lindale, TX 75771","(903) 881-8233","news@tpwd.texas.gov",32.5758098,-95.3536962,"https://tpwd.texas.gov/","United States","Texas","Lindale",4.8,10,"75771","Wildlife parks","Parks,Wildlife parks","https://www.facebook.com/texasparksandwildlife/","https://instagram.com/texasparkswildlife","https://www.linkedin.com/company/txparkswildlife","https://x.com/TPWDnews","","https://www.youtube.com/user/TexasParksWildlife",""
"Green Swamp Wildlife Management Area - Cumpressco Unit","28057 State Route 471, Webster, FL 33597","(352) 796-7211","info@watermatters.org",28.3650941,-82.0334876,"https://www.swfwmd.state.fl.us/recreation/green-swamp-west-tract","United States","Florida","Bushnell",4.6,874,"33597","Wildlife parks","Wildlife parks,Tourist attractions,Nature preserves","https://facebook.com/WaterMatters","https://www.instagram.com/swfwmd","https://www.linkedin.com/company/swfwmd","https://www.twitter.com/swfwmd","","https://youtube.com/user/WaterMattersTV",""
"Mt. Nebo Wildlife Management Area","Mt Nebo Rd, Oakland, MD 21550","(301) 334-4255","customerservice.dnr@maryland.gov",39.4515012,-79.3745651,"https://dnr.maryland.gov/wildlife/pages/publiclands/western/mtnebo.aspx","United States","Maryland","",5,6,"21550","Wildlife parks","Wildlife parks","https://www.facebook.com/MarylandDNR","https://www.instagram.com/marylanddnr/","","https://twitter.com/MarylandDNR","","",""
"Walden Ponds Wildlife Habitat","3893 N 75th St, Boulder, CO 80301","(303) 678-6200","posinfo@bouldercounty.gov",40.0452197,-105.1877214,"https://bouldercounty.gov/open-space/parks-and-trails/walden-ponds-wildlife-habitat/","United States","Colorado","Boulder",4.6,324,"80301","Wildlife parks","Parks,Wildlife parks,Tourist attractions","https://www.facebook.com/BoulderCounty/","https://www.instagram.com/bouldercountygov/","https://www.linkedin.com/company/boulder-county/posts/","https://twitter.com/bouldercounty","","https://www.youtube.com/user/BoulderCounty",""
"Flying Eagle Wildlife Management Area","11080 E Moccasin Slough Rd, Inverness, FL 34450","(800) 423-1476","info@watermatters.org",28.8204729,-82.2483965,"https://www.swfwmd.state.fl.us/recreation/flying-eagle-preserve","United States","Florida","Inverness",4.5,245,"34450","Wildlife parks","Ranches,Parks,Wildlife parks,Tourist attractions","https://facebook.com/WaterMatters","https://www.instagram.com/swfwmd","https://www.linkedin.com/company/swfwmd","https://www.twitter.com/swfwmd","","https://youtube.com/user/WaterMattersTV",""
"Lower Hillsborough Wildlife Management Area","15846 Morris Bridge Rd, Thonotosassa, FL 33592","(352) 796-7211","info@watermatters.org",28.1301451,-82.2753705,"https://www.swfwmd.state.fl.us/recreation/lower-hillsborough-wilderness-preserve","United States","Florida","Tampa",4.6,3552,"33592","Wildlife parks","State parks,Tourist attractions,Wildlife parks,Nature preserves","https://facebook.com/WaterMatters","https://www.instagram.com/swfwmd","https://www.linkedin.com/company/swfwmd","https://www.twitter.com/swfwmd","","https://youtube.com/user/WaterMattersTV",""
