name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"770 auto services","391 Empire Blvd, Brooklyn, NY 11225","(770) 695-7079","Empire-management@770auto.net",40.664161,-73.9492849,"https://www.770autoservice.center/","United States","New York","New York City",4.9,253,"11225","Auto repair shops","Car repair and maintenances,Car Service Stations,Auto body shops,Mechanics,Tire shops,Auto repair shops,Auto bodywork mechanics,Garages","https://www.facebook.com/770auto","https://instagram.com/770autoservices?igshid=MzNlNGNkZWQ4Mg==","","https://twitter.com/770autoservice?t=U-lWxDHTsdUt26pcbYEp-A&s=09","https://wa.me/message/GAFESMFOHLTNN1","",""
"J and J Center Auto Body Shop","12348 San Fernando Rd UNIT #A, Sylmar, CA 91342","(747) 488-7206","smb_web@support.whatsapp.com",34.2952481,-118.4530893,"http://wa.me/17474887206","United States","California","Los Angeles",5,10,"91342","Auto dent removal services","Auto dent removal services,Auto paintings,Auto parts markets,RV detailing services,Auto repair shops,Garages,Auto Dent Removal Service Stations,Car Service Stations,Car detailing services,Auto restoration services,Auto body shops,Car repair and maintenances,Auto parts stores","https://www.facebook.com/profile.php?id=100064758844406","https://www.instagram.com/whatsapp/?hl=en","","https://x.com/whatsapp","http://wa.me/17474887206","https://www.youtube.com/channel/UCAuerig2N-RZWJT8x75V9yw",""
"HTL automotive services LLC","305 Emerald Ln, Hattiesburg, MS 39401","(769) 390-7136","service@htl.cl",31.3141916,-89.3079683,"http://www.htl.cl/","United States","Mississippi","Hattiesburg",4.6,16,"39401","Auto repair shops","Car Service Stations,Car repair and maintenances,Auto repair shops,Garages","https://www.facebook.com/profile.php?id=100063495791055","https://www.instagram.com/htl.usa/","","https://twitter.com/hightronic","https://wa.me/56945330371","",""
"The Mechanic Answers","Off-site Consulting, Mesa, AZ 85206","(480) 340-4676","themechanicanswers@gmail.com",33.4095468,-111.7383907,"https://themechanicanswers.com/","United States","Arizona","Phoenix",0,0,"85206","Auto repair shops","Car repair and maintenances,Car Service Stations,Auto repair shops,Garages","https://www.facebook.com/profile.php?id=100077022981473&mibextid=ZbWKwL","https://www.instagram.com/themechanicanswers","","https://www.twitter.com/@MechanicAnswers ","https://wa.me/14803408055","https://www.youtube.com/qR7xOTlggwFJIs5t2ogRiQ",""
"AMICIS AUTO BODY","26502 Ruether Ave Unit 118, Santa Clarita, CA 91350","(661) 360-8357","amicisautobody@gmail.com",34.4164729,-118.4979781,"http://amicis-autobody.com/","United States","California","Los Angeles",5,39,"91350","Auto body shops","Auto repair shops,Auto paintings,Garages,Car Service Stations,Car repair and maintenances,Auto body shops","https://www.facebook.com/103412968436502","https://www.instagram.com/amicis_autobody","https://www.linkedin.com/in/amicis-auto-body","https://www.twitter.com/ArsenMM777","https://wa.me/18184886677","",""
"CITGO","74 W Currahee St, Toccoa, GA 30577","(706) 282-0749","clubcitgo@citgo.com",34.5775114,-83.3310628,"https://www.citgo.com/","United States","Georgia","Toccoa",4.5,4,"30577","Gas stations","Auto repair shops,Gas stations,Car Service Stations,Garages,Car repair and maintenances,Petrol Pumps","https://www.facebook.com/CITGOFuelingGood/","https://www.instagram.com/citgofuelinggood/?hl=en","https://www.linkedin.com/company/citgo/","https://twitter.com/CITGO","","https://www.youtube.com/@CitgoFuelingGood",""
"Atlanta Import Repairs Inc","1625 S Cobb Dr SE, Marietta, GA 30060","(770) 794-9332","Sales@AtlantaImportRepairs.com",33.9137256,-84.5467348,"http://www.atlantaimportrepairs.com/","United States","Georgia","Atlanta",4.3,34,"30060","Auto body shops","Garages,Car Service Stations,Auto body shops,Car repair and maintenances,Auto repair shops","https://www.facebook.com/AtlImportRepairs/","https://www.instagram.com/atl_importrepairs/","","https://twitter.com/atlanta_imports","","",""
"A1 emission test","5000 Cowan Rd, Acworth, GA 30101","(678) 574-0545","info@cleanairforce.com",34.0758501,-84.653699,"http://www.cleanairforce.com/","United States","Georgia","Atlanta",4.5,108,"30101","Auto repair shops","Car repair and maintenances,Car Service Stations,Garages,Auto repair shops","https://www.facebook.com/GeorgiasCleanAirForce","https://www.instagram.com/georgiascleanairforce","","https://twitter.com/GACleanAirForce","","https://www.youtube.com/channel/UCgyuFT5VrqufudJaED3M6Gg",""
"Trinity Motorsports","122 Pipemakers Cir STE 201, Pooler, GA 31322","(912) 348-3652","info@trinity-motorsports.com",32.1305135,-81.2525548,"https://trinity-motorsports.com/","United States","Georgia","Savannah",4.8,200,"31322","Truck accessories stores","Wheel stores,Truck accessories stores,Auto repair shops,Auto parts stores,Tire shops,Car Service Stations,Car repair and maintenances,Garages,Motorsports stores","https://www.facebook.com/TrinityMotorsportsPooler","https://instagram.com/trinitymotorsports","","https://twitter.com/TrinityMoto","","https://www.youtube.com/channel/UCAfueMifcFVgLvUwPFOM-hA",""
"Corzav´s Collision & Glass","1450 Hills Pl NW, Atlanta, GA 30318","(404) 603-8012","Corzavs@Yahoo.com",33.8120565,-84.4358462,"http://www.corzav.com/","United States","Georgia","Atlanta",4.2,73,"30318","Auto repair shops","Car repair and maintenances,Garages,Car Service Stations,Auto repair shops","http://www.facebook.com/CorzavsCollisionGlass/","https://www.instagram.com/corzavscollisionglass/","","https://twitter.com/corzavs","","",""
