name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"CONSTRUCTIVE REALTY LLC","34-18 Northern Blvd, Queens, NY 11101","(631) 810-9510","J.Medrano@constructiverealtive.com",40.7517984,-73.9291393,"https://constructiverealty.com/","United States","New York","New York City",0,0,"11101","Commercial real estate agencies","Commercial real estate agencies","https://www.facebook.com/869385403207314","https://www.instagram.com/constructive_realty","https://www.linkedin.com/in/constructive-llc-realty-llc-b86876101/","https://www.twitter.com/ConstructiveR77","https://wa.me/13618109510","https://www.youtube.com/channel/UCAmvLs43re2gQt9um_TT-7w","https://www.tiktok.com/@jmconstructiverealty?_t=8huoO64F9Ok&_r=1"
"Overtime Real Estate","","(617) 797-2241","pat@overtimere.com",42.0369155,-71.6835355,"https://overtimere.com/","United States","Massachusetts","Douglas",0,0,"","Commercial real estate agencies","Commercial real estate agencies,Service establishments,Companies","https://www.facebook.com/100117662832345","https://www.instagram.com/overtimerellc","https://www.linkedin.com/in/patrick-leahy-1b8a93b8","https://www.twitter.com/overtimerellc","https://wa.me/16178359878","","https://www.tiktok.com/@overtimerellc"
"Ana Serrat PPG","","(754) 302-0055","anaserrat@interbloomgroup.com",26.0541816,-80.430269,"http://www.anaserrat.com/","United States","Florida","Miami",5,40,"","Commercial real estate agencies","Real estate agencies,Commercial real estate agencies,Real estate agents,Service establishments,Companies","https://www.facebook.com/interbloomgroup","https://www.instagram.com/interbloomgroup/","https://www.linkedin.com/company/65473171/admin/feed/posts/","https://twitter.com/interbloomgroup","https://wa.me/+17543020055?text=Estoy visitando tu sitio web https://www.anaserrat.com/y me gustaría hablar contigo","https://www.youtube.com/@anaserratbroker",""
"The Peninsula Company","106 Pitt St, Mt Pleasant, SC 29464","(843) 723-9945","info@thepeninsulaco.com",32.7869144,-79.8761283,"http://www.thepeninsulaco.com/","United States","South Carolina","Mount Pleasant",3.3,4,"29464","Commercial real estate agencies","Commercial real estate agencies","https://www.facebook.com/ThePeninsulaCompany","https://www.instagram.com/thepeninsulaco/","","http://twitter.com/share","","",""
"Urban Core Advisors LLC","1470 Tobias Gadson Blvd #202, Charleston, SC 29407","(843) 508-8278","contact@urbancoreadvisors.com",32.8095951,-80.0294505,"http://www.urbancoreadvisors.com/","United States","South Carolina","Charleston",0,0,"29407","Commercial real estate agencies","Commercial real estate agencies,Property investments,Private equity firms,Property investment companies","https://www.facebook.com/urbancoreadvisors/?hc_ref=PAGES_TIMELINE&fref=nf","https://www.instagram.com/urbancoreadvisors/","https://www.linkedin.com/company/urban-core-advisors?trk=ppro_cprof","https://twitter.com/UrbanCore1","","",""
"The Multifamily Advisory Group at Cushman & Wakefield","1180 Peachtree St NE Suite 3100, Atlanta, GA 30309","(404) 875-1000","Mike.Kemether@cushwake.com",33.7869326,-84.3840901,"https://multifamily.cushwake.com/Offices/Atlanta","United States","Georgia","Atlanta",3.7,6,"30309","Commercial real estate agencies","Commercial real estate agencies","http://facebook.com/CushmanWakefieldUnitedStates","https://www.instagram.com/cushwakeamericas/","http://linkedin.com/company/cushman-&-wakefield","http://twitter.com/cushwakeus","","",""
"Coldwell Banker Commercial Atlantic","3506 W Montague Ave, North Charleston, SC 29418","(843) 744-9877","bcase@cbcatlantic.com",32.8638085,-80.0246906,"https://cbcatlantic.com/","United States","South Carolina","North Charleston",4.7,47,"29418","Commercial real estate agencies","Commercial real estate agencies","https://www.facebook.com/CBCAtlantic/","https://www.instagram.com/cbcatlantic/","https://www.linkedin.com/company/coldwell-banker-commercial-atlantic/e","https://twitter.com/CBCAtlantic","","http://www.youtube.com/@cbcatlantic",""
"Lee & Associates","3500 Lenox Rd NE #1600, Atlanta, GA 30326","(404) 442-2810","pmurphy@lee-associates.com",33.8520311,-84.3662805,"http://www.lee-associates.com/","United States","Georgia","Atlanta",4.5,8,"30326","Commercial real estate agencies","Commercial real estate agencies","https://www.facebook.com/LeeAssociatesCRE","https://www.instagram.com/leeassociatesre/","https://www.linkedin.com/company/lee-and-associates","https://twitter.com/leeassociatesRE","","",""
"DTSpade SRE Commercial Real Estate Brokerage","900 Cir 75 Pkwy SE #1350, Atlanta, GA 30339","(404) 939-9500","info@dtspade.com",33.8874504,-84.467845,"https://www.dtspade.com/","United States","Georgia","Atlanta",5,241,"30339","Commercial real estate agencies","Real estate agencies,Commercial real estate agencies,Real estate agents,Commercial agents","https://www.facebook.com/DTSpadeATL/","https://www.instagram.com/dtspade/","https://www.linkedin.com/company/dtspade/","https://twitter.com/dtspade","","",""
"Corporate Realty - Baton Rouge","301 Main St #1100, Baton Rouge, LA 70801","(225) 228-3750","info@corp-realty.com",30.4509493,-91.187995,"http://corp-realty.com/","United States","Louisiana","Baton Rouge",0,0,"70801","Commercial real estate agencies","Commercial real estate agencies","https://www.facebook.com/CorporateRealty/","https://www.instagram.com/corporate_realty/","https://www.linkedin.com/company/corporate-realty-inc-","https://twitter.com/CorporateRealty","","",""
