name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Tactical Firearms Supply/ Illinois Tactical Firearms Training Institute, Inc","905 W Jefferson St Suite A, Macomb, IL 61455","(309) 306-1359","customerservice@tacticalfirearmssupply.com",40.456468,-90.684142,"http://tacticalfirearmssupply.com/","United States","Illinois","Macomb",5,12,"61455","Gun shops","Training centres,Camping stores,Gun shops,Training schools,Ammunition suppliers,Hunting stores,Firearms academies","https://www.facebook.com/IllinoisTacticalFirearmsTraining","https://www.instagram.com/tactical_firearms_supply/","https://www.linkedin.com/company/illinois-tactical-firearms-training-institute-inc","https://twitter.com/TactFirearmsSup","","",""
"Academy Arms & Optics","105 Academy St, Shinglehouse, PA 16748","(814) 904-3006","info@academyarms.com",41.9632962,-78.1922,"https://academyarms.com/","United States","Pennsylvania","Shinglehouse",4.9,27,"16748","Gun shops","Gun shops","https://www.facebook.com/academyarms/?show_switched_toast=0&show_invite_to_follow=0&show_switched_tooltip=0&show_podcast_settings=0&show_community_review_changes=0&show_community_rollback=0&show_follower_visibility_disclosure=0","https://www.instagram.com/academyarms/","","https://twitter.com/AcademyAOptics","","https://www.youtube.com/@academyarms",""
"Dragon Armory","1620 Sunrise Dr, Lima, OH 45805","(567) 371-5378","DragonArmory@hotmail.com",40.7074113,-84.1650823,"http://www.dragonarmoryfirearms.com/","United States","Ohio","Lima",4.4,7,"45805","Gun shops","Gun shops","https://www.facebook.com/DragonArmory/?ref=aymt_homepage_panel","https://www.instagram.com/#reactivated/dragon_armory","","https://twitter.com/@Dragon_Armory","","",""
"Got Your 6 Gunsmith","1034 Armistead Ln, McHenry, IL 60050","(224) 407-0182","gotyour6gunsmith@yahoo.com",42.3146159,-88.2971131,"http://gotyour6gunsmith.net/","United States","Illinois","",4.9,37,"60050","Gun shops","Gun shops,Ammunition suppliers","https://www.facebook.com/107539428615871","https://www.instagram.com/gotyour6gunsmith1","","https://www.twitter.com/Rasputin6467","","https://www.youtube.com/AW-10938180856",""
"Garrett's Guns & Ammo","2904 State Rd, Ashtabula, OH 44004","(440) 381-4228","ggunparts@aol.com",41.880431,-80.7718457,"http://store.garrettsgunsandammo.com/","United States","Ohio","Ashtabula",4.4,105,"44004","Gun shops","Sporting goods stores,Gun shops","https://www.facebook.com/Garretts-Guns-Ammo-512074408867894/","https://www.instagram.com/garretts_guns_and_ammo/","https://www.linkedin.com/company/garretts-guns-and-ammo/","https://twitter.com/garretts_guns?lang=en","","",""
"Myrtle Beach Guns","4015 Belle Terre Blvd #1503, Myrtle Beach, SC 29579","(843) 642-8866","james@mbguns.com",33.7354868,-78.9484559,"http://mbguns.com/","United States","South Carolina","Forestbrook",4,46,"29579","Gun shops","Gun shops","https://www.facebook.com/pages/Myrtle-Beach-Guns/783799715021428?fref=ts","https://instagram.com/myrtlebeachguns","","https://twitter.com/MyrtleBeachGuns","","",""
"Tanner's Sports Center","2301 York Rd, Jamison, PA 18929","(215) 343-3103","tannergun@comcast.net",40.2572958,-75.0869554,"https://www.tannersportcenter.com/","United States","Pennsylvania","Philadelphia",4.8,643,"18929","Gun shops","Sporting goods stores,Gun shops","https://www.facebook.com/TannersSportCenter","https://www.instagram.com/tanners_sports_center/","","https://twitter.com/TannersGuns","","","https://www.tiktok.com/@tanners_sports_center"
"NOVA Armory","2607 Wilson Blvd, Arlington, VA 22201","(703) 566-2814","support@novaarmory.com",38.8900657,-77.0900617,"http://www.novaarmory.com/","United States","Virginia","Washington",4.4,666,"22201","Gun shops","Gun shops","https://www.facebook.com/NovaArmoryStore/","https://www.instagram.com/novaarmory/","","https://twitter.com/NOVAarmory","","https://www.youtube.com/channel/UCt-_dBJRpocc14NHyH8pRFA/videos",""
"H M Defense","222 Homan Wy, Mt Orab, OH 45154","(937) 444-6500","info@hmdefense.com",39.0429057,-83.9446112,"http://www.hmdefense.com/","United States","Ohio","Mount Orab",4.8,25,"45154","Gun shops","Gun shops","http://www.facebook.com/HM-Defense-Technology-387968137971175/","http://www.instagram.com/hmdefense/","","http://twitter.com/hmdefense","","http://www.youtube.com/channel/UCP2nCXu7C6ALT23LW2CKbFg","https://www.tiktok.com/@hmdefense"
"Riverman Gun Works","6040 N Government Way STE 101, Dalton Gardens, ID 83815","(208) 772-3700","info@rivermangunworks.com",47.7266495,-116.7863292,"https://www.rivermangunworks.com/","United States","Idaho","Coeur d'Alene",4.4,67,"83815","Gun shops","Manufacturers,Gun shops","http://www.facebook.com/RivermanGunWorks","http://www.instagram.com/rivermanguns/","","http://www.twitter.com/rivermanguns","","http://youtube.com/user/RivermanGunWorks1",""
