name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Royal Chess Mall","2803 Philadelphia Pike Suite B, #1360, Claymont, DE 19703","+91 82647 16250","sales@royalchessmall.com",39.7956413,-75.466641,"https://royalchessmall.com/","United States","Delaware","Claymont",4.8,29,"19703","Game stores","Toy and game manufacturers,Toy manufacturers,Game stores","https://www.facebook.com/royalchessmall","https://www.instagram.com/royalchessmall","https://in.linkedin.com/company/royalchessmall","https://www.twitter.com/royalchessmall","https://wa.me/+918264716250/","https://www.youtube.com/channel/UCft_QbYzHQWNP4C117LW3Uw",""
"Cribbage Supply Cribbage Boards","13618 County Rd 748, Arcola, TX 77583","(877) 684-4467","muggins@cribbagesupply.com",29.38649,-95.4873871,"http://www.cribbagesupply.com/","United States","Texas","Angleton",4.4,17,"77583","Game stores","Game stores","https://www.facebook.com/CribbageSupply/","https://www.instagram.com/cribbageboards/","","https://twitter.com/cribbageboards","","https://www.youtube.com/user/CribbageBoards",""
"Owl Central Games and Hobbies - Lancaster","250 Manor Ave, Millersville, PA 17551","(610) 929-2137","admin@owlcentralgames.com",40.0120661,-76.353294,"https://www.owlcentralgames.com/","United States","Pennsylvania","Millersville",4.6,321,"17551","Game stores","Game stores,Community centers,Hobby stores,Collectibles stores,Board game clubs,Trading card stores,Event venues","http://facebook.com/owlcentralgames","https://www.instagram.com/owlcentralgames/","","http://twitter.com/owlcentralgames","","https://www.youtube.com/owlcentralgames",""
"Three Brothers Games","9125, 1960 N Bend Rd Unit E & F, Hebron, KY 41048","(859) 215-0366","info@3brothersgames.com",39.0919801,-84.7118623,"https://www.3brothersgames.com/","United States","Kentucky","Francisville",4.9,188,"41048","Game stores","Game stores","https://www.facebook.com/threebrothersgames/","https://www.instagram.com/3brothersgames/","","https://twitter.com/3BrothersGames","","",""
"Deep Shot Games","19727 Ventura Blvd Suite B, Woodland Hills, CA 91364","(818) 644-2293","support@deepshotgames.com",34.1727102,-118.5633215,"https://www.deepshotgames.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2777572096087831450","United States","California","Los Angeles",0,0,"91364","Game stores","Game stores","https://www.facebook.com/majorleaguetoss/","https://www.instagram.com/majorleaguetoss/","","https://twitter.com/majorleaguetoss","","https://www.youtube.com/channel/UCHLRBXntf4LzfwYYVCSA4Rg",""
"Gr8r Gaming","4380 13th St, Ashland, KY 41102","(606) 420-4047","info@gr8rgaming.com",38.5206254,-82.7224129,"http://www.gr8rgaming.com/","United States","Kentucky","Flatwoods",4.8,54,"41102","Game stores","Game stores,Video arcades","https://www.facebook.com/gr8rgaming/","https://www.instagram.com/gr8rgaming","","https://www.twitter.com/gr8rgaming","","",""
"Geek Fortress","1207 13th St suite k, Snohomish, WA 98290","(360) 522-3470","info@geekfortressgames.com",47.9258914,-122.0971632,"http://www.geekfortressgames.com/","United States","Washington","Snohomish",4.8,228,"98290","Game stores","Game stores","https://www.facebook.com/geekfortress","https://www.instagram.com/geek.fortress/","","https://twitter.com/GeekFortress","","",""
"Fantasy Games","52025 State Hwy 933, South Bend, IN 46637","(574) 277-1133","fantasygamessb@gmail.com",41.7374008,-86.2511652,"http://www.fantasygames-southbend.com/","United States","Indiana","",4.6,586,"46637","Game stores","Game stores,Hobby stores","https://www.facebook.com/FantasyGamesSB","https://www.instagram.com/fantasygamessouthbend/","","https://twitter.com/FantasyGamesSBN","","",""
"STaR-Of-KiNg-DaViD-GaMeS/","1110 E 34th St, Brooklyn, NY 11210","(617) 751-0034","starofkingdavidgames@gmail.com",40.6285875,-73.943536,"https://starofkingdavidgames.company.site/","United States","New York","New York City",0,0,"11210","Game stores","Board game clubs,Game stores","https://facebook.com/sharer/sharer.php?u=https%3A%2F%2Fstarofkingdavidgames.company.site%2F","https://instagram.com/starofkingdavidgames","","https://twitter.com/intent/tweet/?url=https%3A%2F%2Fstarofkingdavidgames.company.site%2F&text=Star+Of+King+David+GaMeS:","","",""
"Diversions Puzzles & Games","","(603) 766-6220","portsmouth@diversionsgames.com",43.076145,-70.760171,"http://www.diversionsgames.com/","United States","New Hampshire","Portsmouth",0,0,"","Game stores","Game stores","https://www.facebook.com/DiversionsSomersworth","https://www.instagram.com/diversionssomersworth/","http://www.linkedin.com/shareArticle?mini=true&url=http%3A%2F%2Fwww.diversionsgames.com&title=Diversions+Puzzles+%26+Games&summary=123+Congress+Street%2C+Portsmouth%2C+NH","http://twitter.com/share?url=http%3A%2F%2Fwww.diversionsgames.com&text=","","",""
