name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"TechloSet","717 K St, Sacramento, CA 95814","(916) 822-7374","info@techloset.com",38.5803549,-121.4970455,"https://www.techloset.com/contact","United States","California","Sacramento",0,0,"95814","Computer services","Computer services","https://www.facebook.com/techloset","https://www.instagram.com/techlosetsolutions","https://www.linkedin.com/company/techloset","https://www.twitter.com/techloset","https://wa.me/923278750005","https://www.youtube.com/channel/UCPC0RXZrvh50scjAzJC-IWg/channels",""
"hamptons.tech","1087 NY-58 Unit 1021, Riverhead, NY 11901","(631) 731-1096","info@hamptons.tech",44.2818959,-75.2048833,"https://hamptons.tech/","United States","New York","",0,0,"11901","Computer services","Computer services,Home cinema installations,Security system installation services,Audio visual consultants,Security system installers","https://www.facebook.com/hamptonstechbiz","https://www.instagram.com/hamptons.tech/?hl=en","http://linkedin.com/in/hamptonstech","https://twitter.com/HamptonsTechBiz","https://wa.me/16317311096","",""
"Curetech Services","610 E Bell Rd, Phoenix, AZ 85024","(214) 396-2098","info@curetechservices.com",33.6417699,-112.0664068,"https://www.curetechservices.com/contact-us/","United States","Arizona","Phoenix",0,0,"85024","Computer services","Computer services","https://www.facebook.com/CuretechServices","https://www.instagram.com/curetechservices/","https://www.linkedin.com/company/curetech-services/","https://twitter.com/CuretechIt","https://wa.me/+12143962098?text=Hello I am interested","",""
"Jaiglo","1802 Vernon St NW #7, Washington, DC 20009","(855) 452-4456","sales@jaiglo.com",38.9167939,-77.0420416,"https://jaiglo.com/contact-us/","United States","District of Columbia","",0,0,"20009","Computer services","Computer services","https://www.facebook.com/pages/category/Computer-Repair-Service/Jaiglo-Technology-Consulting-102428914564997/","https://www.instagram.com/jaiglo119/","https://www.linkedin.com/company/jaiglo/","https://twitter.com/JaigloC","https://wa.me/message/NNB6WBUXKOIKP1","",""
"Joe's PC Repair","160 Petrus Ave, Staten Island, NY 10312","(718) 608-5467","jgoetz@joepcrepair.com",40.5461636,-74.1719694,"http://www.joepcrepair.com/","United States","New York","New York City",0,0,"10312","Computer services","Computer services","https://www.facebook.com/profile.php?id=61558920150384","https://www.instagram.com/joespcrepairsiny/","","https://www.twitter.com/joespcrepa12833","https://wa.me/17186085467","",""
"FOGO Managed IT Services Provider New Orleans","935 Gravier St Ste 1000, New Orleans, LA 70112","(504) 322-3892","sales@fogosolutions.com",29.953029,-90.0731073,"http://fogosolutions.com/","United States","Louisiana","New Orleans",5,8,"70112","Computer services","Computer consultants,Computer networking services,Internet service providers,Computer Hardware Companies,Data recovery services,Computer support and services,Computer services,Computer Networking Centers","https://www.facebook.com/FOGOSolutions","https://www.instagram.com/fogosolutions/","https://www.linkedin.com/company/fogo-solutions","https://twitter.com/FOGOSolutions","","",""
"Clear Winds Technologies Inc","13001 Liberty Pkwy, Vestavia Hills, AL 35242","(205) 986-4490","sales@clearwinds.net",33.4733812,-86.6909285,"https://www.clearwinds.net/","United States","Alabama","Leeds",5,43,"35242","Computer services","Computer support and services,Computer services,Computer consultants,Computer Hardware Companies,Computer networking services,Business to business services,Computer security services,Computer Networking Centers","https://www.facebook.com/clearwinds/","https://www.instagram.com/clearwindstech/","https://www.linkedin.com/company/clear-winds-technologies/","https://twitter.com/clearwindstech","","",""
"Solve IT Solutions LLC","501 N Park Rd, Wyomissing, PA 19610","(484) 331-1083","info@solve-it-sol.com",40.3423865,-75.9572728,"http://www.solve-it-sol.com/","United States","Pennsylvania","Reading",5,22,"19610","Computer services","Computer networking services,Computer Networking Centers,Computer consultants,Computer support and services,Computer services,Computer Hardware Companies","https://www.facebook.com/SOLVEITSOLUTIONS","https://www.instagram.com/solveit_sol/","https://www.linkedin.com/company/solve-it-solutions-llc/","https://twitter.com/solveitsol","","",""
"Vital Technology Solutions","227 Shadybrooke Dr N, Douglassville, PA 19518","(610) 385-1707","info@vitaltechnologysolutions.net",40.2794299,-75.7187487,"https://www.vitaltechnologysolutions.net/","United States","Pennsylvania","Amity Gardens",0,0,"19518","Computer services","Computer services","https://www.facebook.com/Vital-Technology-Solutions-105141598352504","https://www.instagram.com/vitaltechnologysolutions/","https://www.linkedin.com/company/vittecsol","https://twitter.com/VTS_Technology","","",""
"Wahaya IT","4229 North Blvd, Baton Rouge, LA 70806","(225) 273-1206","hello@wahayait.com",30.4487496,-91.1458254,"https://www.wahayait.com/","United States","Louisiana","Baton Rouge",4.5,4,"70806","Computer services","Data recovery services,Computer support and services,Computer services,Computer consultants,Computer security services,Computer Hardware Companies","https://www.facebook.com/wahayait","https://www.instagram.com/wahayait/","https://www.linkedin.com/company/wahaya","https://twitter.com/wahayallc","","","https://www.tiktok.com/@wahaya_it"
