name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"402 Training Center","12005 Portal Rd, La Vista, NE 68128","(402) 913-0093","dan@402tc.com",41.1721038,-96.1013336,"https://402tc.com/","United States","Nebraska","Papillion",4.3,41,"68128","Sports clubs","Sports clubs","https://www.facebook.com/337048523684399","https://www.instagram.com/4seamsindoor_academy/","","https://www.twitter.com/4seamsA","https://wa.me/14029800705","",""
"Hollywood Curling","8750 Van Nuys Blvd, Panorama City, CA 91402","(323) 944-2875","info@hollywoodcurling.org",34.2283696,-118.4496256,"https://hollywoodcurling.org/","United States","California","Los Angeles",3.9,8,"91402","Sports clubs","Clubs,Sports clubs","https://facebook.com/hollywoodcurling","https://instagram.com/HollywoodCurl","","https://twitter.com/hollywoodcurl","","","https://www.tiktok.com/@hollywoodcurling"
"Central Coast Polo Club","2320 Clark Valley Rd, Los Osos, CA 93402","(805) 801-9410","megan@centralcoastpolo.com",35.30116,-120.8003571,"http://www.centralcoastpolo.com/","United States","California","Los Osos",4.6,15,"93402","Sports clubs","Sports clubs","https://www.facebook.com/centralcoastpolo/","https://www.instagram.com/centralcoastpolo/?hl=en","","https://twitter.com/ccpolo?lang=en","","",""
"CLUBWAKA Hudson valley","","(703) 584-5994","info@clubwaka.com",41.5990934,-73.9163781,"https://clubwaka.com/locations/hudson-valley/","United States","New York","Wappingers Falls",0,0,"","Sports clubs","Companies,Service establishments,Sports clubs","https://www.facebook.com/CLUBWAKA","https://www.instagram.com/clubwaka/?hl=en","https://www.linkedin.com/company/clubwaka","https://twitter.com/clubwaka","","https://www.youtube.com/CLUBWAKATV",""
"Maryland Legends Baseball and Lady Dukes Softball","140a Thiokol Rd, Elkton, MD 21921","(610) 675-4973","mdlegendsbaseball@gmail.com",39.6180923,-75.8595097,"http://www.marylandlegendsball.com/","United States","Maryland","Elkton",5,18,"21921","Sports clubs","Sports clubs","https://www.facebook.com/marylandlegendsbaseball/","http://instagram.com/maryland_legends_baseball","","https://twitter.com/marylandlegends","","",""
"Delta Force Athletics","1270 Drop Off Dr Suite C, Summerville, SC 29486","(843) 996-6449","info@deltaforcechs.com",33.0634904,-80.1778629,"https://deltaforcechs.com/","United States","South Carolina","",4,43,"29486","Sports clubs","Gymnastics centers,Sports clubs,Children's party services,Preschools,After school programs","https://www.facebook.com/deltaforceathletics","https://www.instagram.com/deltaforceathleticschs","","https://www.twitter.com/rockstarchs","","",""
"CYM Sports","1626 N Union St, Wilmington, DE 19806","(302) 220-4794","catholicyouth@cdow.org",39.7595996,-75.5655602,"https://www.cymsports.com/","United States","Delaware","Wilmington",0,0,"19806","Sports clubs","Sports clubs","https://www.facebook.com/profile.php?id=61570184704711","https://www.instagram.com/cdow_cymsports/","","https://x.com/CYMsports","","",""
"Arlen Specter US Squash Center","25 N 33rd St, Philadelphia, PA 19104","(267) 969-3275","davir.tyler@spectercenter.org",39.9565665,-75.1888071,"http://spectercenter.org/","United States","Pennsylvania","Philadelphia",4.9,65,"19104","Sports clubs","Sports clubs","https://www.facebook.com/SpecterCenter","https://www.instagram.com/spectercenter/?utm_source=ig_embed&utm_campaign=loading","","https://twitter.com/SpecterCenter","","",""
"BEACHSOUTH VOLLEYBALL","4739 Sandy Camp Rd, High Point, NC 27265","(336) 905-4255","beachsouthvb@gmail.com",36.0715747,-80.0007588,"http://beachsouthvolleyball.com/","United States","North Carolina","",5,10,"27265","Sports clubs","Sports clubs","https://www.facebook.com/Beach-South-Volleyball-Club-Triad-653087958067252/","https://www.instagram.com/beachsouthvb/","","https://twitter.com/BeachSouthVB","","https://www.youtube.com/channel/UC8amRAYn4sVwvzlzo2bU4rw",""
"Club Pilates South Naples","3827 Tamiami Trail E, Naples, FL 34112","(239) 778-7173","southnaples@clubpilates.com",26.1197175,-81.757242,"https://www.clubpilates.com/location/southnaples","United States","Florida","Naples",5,4,"34112","Sports clubs","Pilates studios,Sports clubs","https://www.facebook.com/clubpilates","https://www.instagram.com/clubpilates","https://www.linkedin.com/company/club-pilates-san-diego/","https://twitter.com/clubpilates","","",""
