name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Car Rental Airport LLC","3936 NW 27th St, Miami, FL 33142","(305) 526-1717","carrentalairportreservations@gmail.com",25.8001774,-80.2607843,"http://carsrentalairport.com/","United States","Florida","Miami",4.9,208,"33142","Car rental agencies","Car rental agencies","https://m.facebook.com/pages/category/Car-Rental/Car-Rental-Airport-LLC-100486111318932/","https://instagram.com/carrentalairportllc?igshid=YmMyMTA2M2Y=","","https://twitter.com/CarRentalAirLLC","https://wa.me/message/WJFCCCNHQQOZJ1","","https://www.tiktok.com/t/ZTRjgqbxw/"
"West Coast Luxury Rentals","8383 Wilshire Blvd first floor suit 114, Beverly Hills, CA 90211","(323) 538-5046","info@westcoastluxuryrentals.com",34.0650997,-118.3733621,"https://westcoastluxuryrentals.com/","United States","California","Los Angeles",4.3,16,"90211","Car rental agencies","Car rental agencies","https://www.facebook.com/Premierautorentals","https://www.instagram.com/premierautoofficial/","","https://twitter.com/premierautomia","https://wa.me/13053361130?text=Hi","https://m.youtube.com/channel/UCn6X9rofx2shR3SL0G4aBZA",""
"Suntime Exotic Car Rental","1510 Collins Ave, First Floor Suit 112, Miami Beach, FL 33139","(305) 563-4763","info@suntimeexoticcarrental.com",25.7879002,-80.1308421,"http://www.suntimeexoticcarrental.com/","United States","Florida","Miami",4.7,14,"33139","Car rental agencies","Car rental agencies","https://www.facebook.com/Premierautorentals","https://www.instagram.com/premierautorentals/","","https://twitter.com/premierautomia","https://wa.me/13053361130?text=Hi","https://www.youtube.com/embed/YfJUzf3Q0BI?feature=oembed?playlist=YfJUzf3Q0BI&mute=0&autoplay=0&loop=no&controls=0&start=0&end=",""
"Trokkas pickup truck rentals","12105 SW 129th Ct unit:105, Miami, FL 33186","(305) 300-2308","Trokkas01@gmail.com",25.6551648,-80.403841,"http://www.trokkas.com/","United States","Florida","Miami",5,10,"33186","Car rental agencies","Truck rental agencies,Car rental agencies","https://www.facebook.com/112769461402926","https://www.instagram.com/trokkas_rental/","","https://www.twitter.com/Trokkas_Miami","https://wa.me/13053002308","",""
"Ideal Rent a Car","2385 NW 70th Ave a14, Miami, FL 33122","(305) 592-8225","info@rentaideal.com",25.7959767,-80.3094257,"http://www.rentaideal.com/","United States","Florida","Miami",3.6,59,"33122","Car rental agencies","Car rental agencies","https://www.facebook.com/rentaideal","https://www.instagram.com/rentaideal/","","https://twitter.com/rentaideal","https://wa.me/13055928225","",""
"Luxe & Speed Inc","2920 NW 5th Ave Ste 104, Miami, FL 33127","(561) 800-0009","info@luxespeed.com",25.8042209,-80.203594,"http://www.luxespeed.com/","United States","Florida","Miami",5,4,"33127","Car rental agencies","Transportation services,Limousine services,Chauffeur services,Car rental agencies","https://www.facebook.com/luxespeed","https://instagram.com/luxespeed","","https://twitter.com/dubaicarrent","https://wa.me/15618000009","",""
"Prestige Luxury Rentals","4019 NW 25th St, Miami, FL 33142","(305) 513-9711","info@prestigeluxuryrentals.com",25.7989391,-80.2621913,"https://www.prestigeluxuryrentals.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=prestige_luxury_rentals_home_pg","United States","Florida","Miami",4.9,200,"33142","Car rental agencies","Limousine services,Aircraft Rental Agencies,Aircraft rental services,Boat rental services,Boat Rental Agencies,Chauffeur services,Car rental agencies","https://facebook.com/PrestigeLuxuryRentals/","https://www.instagram.com/prestigeluxuryrentals/","https://www.linkedin.com/company/prestige-luxury-auto-rentals","https://twitter.com/prestige_luxury?s=21","https://wa.me/+13055139711","https://youtube.com/c/Prestigeluxuryrentals",""
"Exotic Car Rental Atlanta | Instant Luxury Rentals","1201 Peachtree Street, 400 Colony Square Suite 200, Atlanta, GA 30361","(877) 736-8553","info@InstantLuxuryRentals.com",33.787682,-84.3829966,"https://instantluxuryrentals.com/exotic-car-rentals/atlanta-ga/","United States","Georgia","Atlanta",2.5,8,"30361","Car rental agencies","Car rental agencies","https://www.facebook.com/Instant-Luxury-Rentals-1534075863292195/","https://www.instagram.com/instantluxuryrental/","","https://twitter.com/instantluxury","","",""
"ILLICIT LUXE","3680 S Highland Dr Suite D, Las Vegas, NV 89103","(702) 862-9444","erik@illicitluxe.com",36.1230241,-115.1839604,"http://www.illicitluxe.com/","United States","Nevada","Las Vegas",4.6,9,"89103","Car rental agencies","Car rental agencies","https://facebook.com/illicitluxe","https://instagram.com/illicitluxelv","","https://x.com/illicitluxe","","","https://tiktok.com/@illicitluxe"
"Adrenaline Rush Slingshot Rentals","3111 S Valley View Blvd Suite D-101, Las Vegas, NV 89102","(702) 277-0998","kurt@adrenalinerushslingshot.com",36.1324434,-115.1927431,"http://www.adrenalinerushslingshot.com/","United States","Nevada","Las Vegas",5,895,"89102","Car rental agencies","Car rental agencies,Tourist attractions","https://www.facebook.com/adrenalinerushslingshot/","https://www.instagram.com/adrenalinerushslingshot/","","https://twitter.com/arushslingshot","","","https://www.tiktok.com/@arushslingshot?_t=8X3epUWjgGA&_r=1"
