name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Maya Gourmet","436 Broadway Unit A-14 C-1, Methuen, MA 01844","(978) 397-5951","info@mayagourmet.com",42.7364928,-71.1968099,"https://maya-gourmet-llc.square.site/","United States","Massachusetts","Boston",5,239,"01844","Coffee shops","Wholesale bakeries,Coffee shops","https://www.facebook.com/MayaGourmetCoffeeShop","https://www.instagram.com/maya_gourmet","","https://www.twitter.com/@GourmetMaya","https://wa.me/message/IL62VJYCKYTYO1","","https://www.tiktok.com/@maya_gourmet"
"Wake and Bake","5001 N Mesa St Building 2 Suite A, El Paso, TX 79912","(915) 727-4727","phittconsulting@outlook.com",31.8119696,-106.5129086,"http://www.wakeandbakeelpaso.com/","United States","Texas","El Paso",4.7,146,"79912","Coffee shops","Natural goods stores,Dessert restaurants,Plant nurseries,Handicrafts,Coffee shops","https://www.facebook.com/wakeandbakeelpaso","https://www.instagram.com/wakeandbake_elp","","https://www.twitter.com/wakeandbakeelp","https://wa.me/19152310444","",""
"Carp Moon Cafe","4991 Carpinteria Ave, Carpinteria, CA 93013","(805) 318-9444","admin@carpmooncafe.com",34.3989499,-119.5186312,"https://carpmooncafe.com/","United States","California","Santa Barbara",4.4,114,"93013","Coffee shops","Coffee shops","https://www.facebook.com/106155318909426","https://www.instagram.com/carpmooncafe","","https://www.twitter.com/carpmooncafe","https://wa.me/18057500618","",""
"Starbucks","3630 Browns Bridge Rd, Cumming, GA 30028","(470) 560-3100","press@starbucks.com",34.2663277,-84.0924987,"https://www.starbucks.com/","United States","Georgia","Atlanta",4.4,160,"30028","Coffee shops","Breakfast restaurants,Espresso bars,Internet cafes,Cafes,Coffee shops,Coffee stores","https://facebook.com/starbucks","https://instagram.com/starbucks","","https://twitter.com/starbucks/","","https://www.youtube.com/starbucks",""
"Maui Wowi","1000 Tanger Dr #316a, Locust Grove, GA 30248","(770) 957-2611","customerservice@kahalamgmt.com",33.3493702,-84.1218675,"http://www.mauiwowi.com/","United States","Georgia","Atlanta",4.4,188,"30248","Coffee shops","Coffee shops","https://www.facebook.com/mauiwowicorp/","https://www.instagram.com/mauiwowihawaiian/","","https://twitter.com/maui_wowi","","",""
"Starbucks","758 SR 96, Bonaire, GA 31005","(478) 245-0421","press@starbucks.com",32.554174,-83.6568134,"http://starbucks.com/","United States","Georgia","Warner Robins",2.4,14,"31005","Coffee shops","Coffee shops","https://facebook.com/starbucks","https://instagram.com/starbucks","","https://twitter.com/starbucks/","","https://www.youtube.com/starbucks",""
"Midtown Coffee House","1342 13th St, Columbus, GA 31901","(706) 992-6800","mike@midtowncoffeehouse.com",32.4705975,-84.9725968,"http://www.midtowncoffeehouse.com/","United States","Georgia","Columbus",4.7,621,"31901","Coffee shops","Coffee shops,Delivery services,Breakfast restaurants,Lunch restaurants","https://www.facebook.com/MidtownCoffeeHouse","https://www.instagram.com/midtowncoffeehouse/","","https://twitter.com/midtownscoffee","","",""
"Taproom Coffee","1963 Hosea L Williams Dr SE R106, Atlanta, GA 30317","(404) 464-5435","taproomcoffee@gmail.com",33.7516667,-84.3233333,"http://www.taproomcoffee.com/","United States","Georgia","Atlanta",4.7,529,"30317","Coffee shops","Coffee shops,Bars","https://www.facebook.com/TaproomCoffee","http://instagram.com/taproomcoffee","","https://twitter.com/taproomcoffee","","",""
"Jittery Joe's Coffee - UGA Miller Learning Center","48 Baxter St, Athens, GA 30606","(706) 549-2124","dining@uga.edu",33.9516921,-83.375355,"https://dining.uga.edu/locations/jittery-joes/","United States","Georgia","Athens",4.1,51,"30606","Coffee shops","Bagel shops,Coffee shops,Cafes,Tea houses,Espresso bars","https://www.facebook.com/universityofga/","https://www.instagram.com/universityofga/","https://www.linkedin.com/school/university-of-georgia/","https://twitter.com/universityofga","","https://www.youtube.com/user/UniversityOfGeorgia",""
"101 bagel Cafe","4811 Lower Roswell Rd, Marietta, GA 30068","(678) 402-1447","eat@101bagelcafe.com",33.9667995,-84.4112343,"http://www.101bagelcafe.com/","United States","Georgia","Atlanta",4.1,92,"30068","Coffee shops","Bakery and Cake Shops,Coffee shops,Bakeries","https://www.facebook.com/101bagelcafe/","http://instagram.com/101bagelcafe","","https://twitter.com/101bagelcafe","","",""
