name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"The Market","623 5th St, Peru, NE 68421","(402) 872-7281","contact@themarketflc.com",40.4817514,-95.7302701,"https://themarketflc.com/","United States","Nebraska","",5,5,"68421","American grocery stores","American grocery stores","https://www.facebook.com/TheMarketPeru","https://www.instagram.com/themarketperu/","","","","",""
"Spinster Abbott's Bodega","61 San Marco Ave, St. Augustine, FL 32084","(904) 679-5985","liz@spinsterabbotts.com",29.9017494,-81.3156796,"https://www.spinsterabbotts.com/","United States","Florida","Saint Augustine",4.6,48,"32084","American grocery stores","American grocery stores,Bars","https://www.facebook.com/spinsterabbotts","https://www.instagram.com/spinster_abbotts_st_aug/","","","","","https://www.tiktok.com/@spinster_abbotts_st_aug?lang=en"
"Dee Legends African Market Place","3676 Karissa Rd, Conroe, TX 77306","(862) 888-7742","support@deelegends.store",30.3216117,-95.337538,"https://deelegends.store/","United States","Texas","",5,1,"77306","American grocery stores","American grocery stores","https://www.facebook.com/deelegendsstore","https://www.instagram.com/deelegendsafricanmarketplace/","","","","",""
"Tupperware and Amway Maria Hernandez","118-08 Liberty Ave, Queens, NY 11419","(347) 488-3979","HERNANDEZ11808@GMAIL.COM",40.6859699,-73.8246341,"http://www.amway.com/myshop/miguelpatriciadiaz","United States","New York","New York City",0,0,"11419","American grocery stores","American grocery stores","https://www.facebook.com/patricia.hernandez.92317","https://www.instagram.com/herpatricias.","","","","",""
"Proteínas y bebidas para deportes","2311 N E St, San Bernardino, CA 92405","(909) 269-5865","fernandoyoraliashop@gmail.com",34.1373009,-117.2939525,"http://www.amway.com/myshop/jfg","United States","California","San Bernardino",0,0,"92405","American grocery stores","Cleaning products suppliers,American grocery stores","https://www.facebook.com/oralia.sanchez.520","","","","","",""
"Calais IGA","200 North St, Calais, ME 04619","(207) 454-3892","calaisiga@gmail.com",45.1831338,-67.2814523,"https://www.calaisiga.com/","United States","Maine","Calais",4.5,482,"04619","American grocery stores","Delis,Grocery stores,Beer stores,Produce markets,Meat products stores,American grocery stores,Wine stores","https://www.facebook.com/CalaisIGA/","","","","","",""
"Orono IGA","6 Stillwater Ave #6, Orono, ME 04473","(207) 827-0354","theoronoiga@gmail.com",44.9060071,-68.6909731,"https://www.oronoiga.com/","United States","Maine","Old Town",4.4,600,"04473","American grocery stores","Wine stores,Meat products stores,American grocery stores,Beer stores,Produce markets,Supermarkets,Delis,Grocery stores","https://www.facebook.com/oronoiga/","","","","","",""
"Americana Grocery of Virginia","6128 Columbia Pike, Falls Church, VA 22041","(703) 671-9625","metroclave@gmail.com",38.8441467,-77.1427191,"https://americanagrocery.com/","United States","Virginia","Washington",4.3,263,"22041","American grocery stores","Supermarkets,Grocery stores,American grocery stores","//www.facebook.com/americanagrocery","","","//www.twitter.com/americanagrocery","","",""
"Branded Meat Market","23381 US-290, Harper, TX 78631","(936) 870-8663","brandedmeatmarket@gmail.com",30.299658,-99.2473693,"https://www.brandedmeatmarket.com/","United States","Texas","Harper",5,4,"78631","American grocery stores","American grocery stores","","","","","","",""
"Networking 2020","","(320) 429-2056","JOSEMEJIA0595@GMAIL.COM",45.1214404,-95.0797555,"http://www.amway.com/myshop/josemejia1","United States","Minnesota","Willmar",0,0,"","American grocery stores","Service establishments,American grocery stores,Companies","","","","","","",""
