name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Market Street Shoppes","1001 Market St, Dalton, GA 30720","(706) 277-2688","ZGoldberg@gacobsrea.com",34.7566304,-84.9994579,"http://marketstreetshops.com/","United States","Georgia","Dalton",4.3,267,"30720","Shopping malls","Shopping malls","http://www.facebook.com/wix","https://instagram.com/wix/","","http://www.twitter.com/wix","","https://www.youtube.com/user/Wix",""
"Suburban Square","Anderson &, Coulter Ave, Ardmore, PA 19003","(833) 800-4343","info@suburbansquare.com",40.0088589,-75.2896139,"https://www.suburbansquare.com/?utm_source=GMB_listing&utm_medium=Organic&utm_campaign=google","United States","Pennsylvania","Philadelphia",4.4,2056,"19003","Shopping malls","Shopping malls","https://www.facebook.com/SuburbanSquare","https://www.instagram.com/suburbansquare/","","https://twitter.com/SuburbanSquare/","","",""
"Russell Ridge","1475 GA-20, Lawrenceville, GA 30043","(404) 575-3200","lesliemintz@regencycenters.com",34.005025,-83.9864666,"https://www.regencycenters.com/property/detail/70/Russell-Ridge","United States","Georgia","Atlanta",4.4,1452,"30043","Shopping malls","Shopping malls,Grocery stores,Restaurants","https://www.facebook.com/RegencyCenters","https://www.instagram.com/regencycenters/","https://www.linkedin.com/company/regency-centers/","https://twitter.com/RegencyCenters","","https://www.youtube.com/regencycenters",""
"Merchants Village","520 Folly Beach Road, Charleston, SC 29412","(404) 575-3200","AllisonWiggs@regencycenters.com",32.7537846,-79.9713202,"https://www.regencycenters.com/property/detail/90104/Merchants-Village","United States","South Carolina","Charleston",4.5,1050,"29412","Shopping malls","Shopping malls,Grocery stores,Restaurants","https://www.facebook.com/RegencyCenters","https://www.instagram.com/regencycenters/","https://www.linkedin.com/company/regency-centers/","https://twitter.com/RegencyCenters","","https://www.youtube.com/regencycenters",""
"Ponce City Market","675 Ponce De Leon Ave NE, Atlanta, GA 30308","(404) 900-7900","hello@citizensupply.com",33.7727683,-84.3655967,"https://poncecitymarket.com/","United States","Georgia","Atlanta",4.6,14226,"30308","Shopping malls","Shopping malls,Markets,Historical landmarks","https://www.facebook.com/PonceCityMarket/","https://www.instagram.com/poncecitymarket/","","https://twitter.com/poncecitymarket","","",""
"Summerville Galleria","975 Bacons Bridge Rd, Summerville, SC 29485","(513) 824-7086","mporter@phillipsedison.com",32.9964854,-80.1842102,"http://www.phillipsedison.com/properties/summerville-galleria","United States","South Carolina","Summerville",4.2,1318,"29485","Shopping malls","Shopping malls","https://www.facebook.com/phillipsedison.co","https://www.instagram.com/phillips.edison/","https://www.linkedin.com/company/47287?trk=tyah&trkInfo=tas%3Aphillips%20edison%2Cidx%3A1-1-1","https://twitter.com/PhillipsEdison","","",""
"Howell Mill Village","2020 Howell Mill Rd, Atlanta, GA 30318","(404) 575-3200","lesliemintz@regencycenters.com",33.81031,-84.4144762,"https://www.regencycenters.com/property/detail/177/Howell-Mill-Village","United States","Georgia","Atlanta",4.4,1443,"30318","Shopping malls","Restaurants,Grocery stores,Shopping malls","https://www.facebook.com/RegencyCenters","https://www.instagram.com/regencycenters/","https://www.linkedin.com/company/regency-centers/","https://twitter.com/RegencyCenters","","https://www.youtube.com/regencycenters",""
"Bovanti Mall","4810 Old National Hwy, Atlanta, GA 30337","(404) 209-0909","marqueljavontei@yahoo.com",33.6244042,-84.4736744,"https://bovantimall.com/","United States","Georgia","Atlanta",1,1,"30337","Shopping malls","Shopping malls","https://www.facebook.com/@bovanti","https://www.instagram.com/@bovanti","","https://www.twitter.com/@bovanti","","https://www.youtube.com/Bovanti",""
"Taylors Mill","250 Mill St, Taylors, SC 29687","(864) 335-9913","kari@taylorsmill.community",34.9193344,-82.2858886,"http://taylorsmill.community/","United States","South Carolina","Taylors",4.6,657,"29687","Shopping malls","Shopping malls,Office space rental agencies","http://www.facebook.com/taylorsmilldevelopment","http://instagram.com/taylorsmill","https://www.linkedin.com/company/taylors-mill/","https://twitter.com/taylors_mill","","",""
"Shops at Hampton Oaks","7580 Springbox Dr, Fairburn, GA 30213","(404) 575-3200","lesliemintz@regencycenters.com",33.6398502,-84.6372942,"https://www.regencycenters.com/property/detail/80101/Shops-at-Hampton-Oaks","United States","Georgia","Atlanta",4.4,46,"30213","Shopping malls","Restaurants,Grocery stores,Shopping malls","https://www.facebook.com/RegencyCenters","https://www.instagram.com/regencycenters/","https://www.linkedin.com/company/regency-centers/","https://twitter.com/RegencyCenters","","https://www.youtube.com/regencycenters",""
