name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Moonshot Recreation","3819 N State St, Jackson, MS 39206","(601) 427-1090","info@moonshotrecreation.com",32.3426703,-90.1759794,"https://moonshotrecreation.com/services/request-a-quote/","United States","Mississippi","Jackson",0,0,"39206","Playgrounds","Playgrounds","https://www.facebook.com/moonshotrecreation/","https://www.instagram.com/moonshotrecreation/","","https://twitter.com/moonshotrec","","",""
"State Game Lands Number 184","1037 Clearfield Valley Blvd, Dysart, PA 16636","(717) 787-4250","ra-pgcdeerquestions@pa.gov",40.5783826,-78.4808775,"https://www.pgc.pa.gov/Wildlife/WildlifeSpecies/White-tailedDeer/Pages/DeerHunterFocusAreas.aspx","United States","Pennsylvania","",4.5,42,"16636","Playgrounds","Playgrounds","https://www.facebook.com/GovernorShapiro","https://www.instagram.com/GovernorShapiro/","https://www.linkedin.com/in/repshapiro/","https://twitter.com/GovernorShapiro","","",""
"Olbrich Park Playground (pink playground)","201 Garrison St, Madison, WI 53704","(608) 266-4711","watercraftstorage@cityofmadison.com",43.0930267,-89.3374379,"http://www.cityofmadison.com/parks/find-a-park/park.cfm?id=1315","United States","Wisconsin","Madison",4.1,8,"53704","Playgrounds","Playgrounds,Entertainments","https://www.facebook.com/madisonparkswi","https://www.instagram.com/madisonparkswi/","","https://twitter.com/madisonparkswi","","https://www.youtube.com/channel/UCqFeqgRfnvLg4lL7gNh7OKA",""
"Old Town Playground","7555 Columbia Ave, College Park, MD 20740","(240) 487-3590","publicworks@collegeparkmd.gov",38.9803473,-76.9282983,"https://www.collegeparkmd.gov/parks","United States","Maryland","College Park",4.4,5,"20740","Playgrounds","Playgrounds","https://www.facebook.com/collegeparkmd","https://www.instagram.com/collegeparkmd","https://www.linkedin.com/company/collegeparkmd","https://www.x.com/collegepark_md","","https://www.youtube.com/@collegepark_md",""
"Starr Garden Playground","600-44 Lombard St, Philadelphia, PA 19147","(215) 686-1782","parksandrecreation@phila.gov",39.9427864,-75.1523597,"http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=837","United States","Pennsylvania","Philadelphia",4.4,165,"19147","Playgrounds","Playgrounds,Tourist attractions","https://www.facebook.com/cityofphiladelphia","https://www.instagram.com/cityofphiladelphia/","https://www.linkedin.com/showcase/phlcitycareers","https://twitter.com/PhiladelphiaGov","","https://www.youtube.com/user/PhilaGov",""
"Di Silvestro Playground","1701 S 15th St, Philadelphia, PA 19145","(215) 685-1598","ada.request@phila.gov",39.9291407,-75.1700425,"https://www.phila.gov/mcpd/facilities/recreation.html","United States","Pennsylvania","Philadelphia",4.5,272,"19145","Playgrounds","Playgrounds,Parks,Tourist attractions","https://www.facebook.com/cityofphiladelphia","https://www.instagram.com/cityofphiladelphia/","https://www.linkedin.com/showcase/phlcitycareers","https://twitter.com/PhiladelphiaGov","","https://www.youtube.com/user/PhilaGov",""
"Center Ward Playground","205 W Alton St, Ebensburg, PA 15931","(814) 472-8780","eburg@ebensburgpa.com",40.4885561,-78.7260492,"http://ebensburgpa.com/parks_playgrounds/","United States","Pennsylvania","Ebensburg",0,0,"15931","Playgrounds","Playgrounds","https://www.facebook.com/EbensburgBorough/?ref=br_rs","https://www.instagram.com/ebensburg.pa/?hl=en","","http://www.twitter.com/https://twitter.com/EbensburgPA","","",""
"Grattan Playground","201 Alma St, San Francisco, CA 94117","(415) 831-5500","rpdinfo@sfgov.org",37.7626883,-122.4519027,"https://sfrecpark.org/","United States","California","San Francisco",4.4,89,"94117","Playgrounds","Playgrounds","https://www.facebook.com/sfrecpark/","https://www.instagram.com/sfrecpark/","","https://twitter.com/RecParkSF/","","https://www.youtube.com/channel/UCQ-22dignmyJOp1i4-CTIRQ",""
"Highland Park Playground & Spraypark","1100 SW Cloverdale St, Seattle, WA 98106","(206) 684-4075","pks_info@seattle.gov",47.5271858,-122.3494918,"http://www.seattle.gov/parks/find/parks/highland-park-playground","United States","Washington","Seattle",4.5,275,"98106","Playgrounds","Parks,Playgrounds,Tennis courts,Baseball fields,Soccer fields","http://www.facebook.com/pages/Seattle-WA/SeattleParks/330367168566","https://www.instagram.com/seattleparksandrec/","https://www.linkedin.com/company/seattle-parks-and-recreation","http://twitter.com/Seattleparks","","",""
"Von Colln Playground","Philadelphia, PA 19130","(215) 988-9335","programs@myphillypark.org",39.9638038,-75.1764259,"https://myphillypark.org/explore/parks/von-colln-athletic-field/","United States","Pennsylvania","Philadelphia",5,16,"19130","Playgrounds","Playgrounds","https://www.facebook.com/myphillypark","https://instagram.com/myphillypark/","","https://twitter.com/myphillypark","","",""
