name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Spin & Learn","","(646) 707-7037","sanfrancisco@agencypro.com",40.6974881,-73.979681,"https://spinandlearn.com/","United States","New York","New York City",0,0,"","Sports schools","Companies,Sports schools,Service establishments","https://www.facebook.com/spinandlearn1","https://www.instagram.com/spinandlearn/","https://www.linkedin.com/company/spinandlearn","https://twitter.com/spinandlearn","https://wa.me/message/3OKQIIVSV4L4D1","https://www.youtube.com/channel/UCxDFvLi5gAoXsxhF0TBBeOg",""
"TGA Sports","","(651) 246-6542","etc@playtga.com",44.9890764,-93.397417,"https://playtga.com/easterntwincities","United States","Minnesota","Golden Valley",5,8,"","Sports schools","Youth organizations,Sports schools,Companies,Service establishments,Physical fitness programs,After school programs,Play Schools","https://www.facebook.com/TGAPremierSports","https://www.instagram.com/tgapremiersports/","","https://twitter.com/tga_sports","","",""
"The Hitting Academy Clearwater","24323 US Hwy 19 N, Clearwater, FL 33763","(727) 723-2255","pk@thehittingacademy.com",27.9932959,-82.7286664,"http://www.thehittingacademyclearwater.com/","United States","Florida","Clearwater",4.5,75,"33763","Sports schools","Baseball clubs,Baseballs,Batting cage centers,Sports schools,Softball clubs","https://www.facebook.com/326585024585432","https://www.instagram.com/thehittingacademy/","","https://twitter.com/HittingAcademy","","",""
"OGX - Softball Training (formerly S2 Breakthrough)","36 E Montrose Dr, Romeoville, IL 60446","(708) 787-4559","info@ogxsoftball.com",41.644829,-88.0790472,"http://www.ogxsoftball.com/","United States","Illinois","Chicago",4.9,18,"60446","Sports schools","Sports schools,Gyms","https://www.facebook.com/ogxsoftball","https://www.instagram.com/ogxsoftball","","https://twitter.com/ogxsoftball","","https://www.youtube.com/channel/UCJgAYb6h8v7E4v00nc3RJ5w",""
"Twin Cities Trapeze Center","719 Minnehaha Ave E, St Paul, MN 55106","(651) 262-9477","twincitiestrapeze@gmail.com",44.9646175,-93.0721161,"http://www.twincitiestrapeze.com/","United States","Minnesota","Saint Paul",5,60,"55106","Sports schools","Sports schools","http://www.facebook.com/wix","http://instagram.com/twincitiestrapeze","","http://www.twitter.com/wix","","",""
"Next Level Sports Group","9876 Chartwell Dr, Dallas, TX 75243","(214) 302-7698","info@nlsportsgroup.com",32.9027976,-96.7015304,"http://www.nlsportsgroup.com/","United States","Texas","Dallas",3.5,17,"75243","Sports schools","Batting cage centers,Coachings,Fitness centers,Coaching Centers,Sports schools,Youth clubs,Children's party services","https://www.facebook.com/nlsportsgroup/","https://www.instagram.com/nlsportsgroup/","","https://twitter.com/NLSportsGroup","","",""
"The Hitting Academy Brandon","1239 Kingsway Rd, Brandon, FL 33510","(813) 657-2255","jconti@thehittingacademy.com",27.9581189,-82.2764614,"http://thehittingacademybrandon.com/","United States","Florida","Brandon",4.9,85,"33510","Sports schools","Sports schools,Baseball clubs,Batting cage centers,Baseballs,After school programs","https://www.facebook.com/229329310787198_1191746268612881","https://www.instagram.com/thehittingacademybrandon/","https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.facebook.com%2F229329310787198_1191746268612881&title=%09Summer%20Baseball%20%26amp%3B%20Softball%20Camps%21%20%20We%20begin%20with%20a%203-day%20Memorial%20Week%20Camp%20from%20May%202","https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F229329310787198_1191746268612881","","",""
"Prestige Prepitory Academy","1230 Middlesex St, Linden, NJ 07036","(908) 723-1903","prestigeprepacademy@yahoo.com",40.6467437,-74.2457879,"http://www.prestigeprepacademy.org/","United States","New Jersey","Linden",0,0,"07036","Sports schools","Sports schools,Schools","https://facebook.com/PrestigePrepSportsAcademy","https://instagram.com/prestige_prep2020?igshid=MTNiYzNiMzkwZA%3D%3D&utm_source=qr","","https://twitter.com/PrestigePrep1","","",""
"Shoot 360 Huntsville","115 Fld Vw Ln, Madison, AL 35756","(256) 643-6030","info@shoot360huntsville.com",34.7262816,-86.788741,"http://shoot360.com/huntsville","United States","Alabama","Madison",4.9,40,"35756","Sports schools","Sports schools","https://www.facebook.com/Shoot360HSV","https://www.instagram.com/shoot360_hsv/","","https://twitter.com/shoot360_HSV","","https://www.youtube.com/@Shoot360",""
"Empire Kids","3524 Alcoa Rd, Benton, AR 72015","(501) 574-6078","info@empirecheerleading.com",34.5756276,-92.5438734,"https://www.empirekidsar.com/","United States","Arkansas","Benton",4.7,115,"72015","Sports schools","Sports schools","https://www.facebook.com/empirekidsar","https://www.instagram.com/empirekidsar","","https://twitter.com/empirecheerar","","https://www.youtube.com/c/Empireargym","http://tiktok.com/@empirekidsar"
