name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Giantmicrobes, Inc","78 Harvard Ave # 300, Stamford, CT 06902","(877) 642-7623","sales@professorplums.com.au",41.0457864,-73.5601771,"http://www.giantmicrobes.com/","United States","Connecticut","Stamford",3.5,4,"06902","Toy stores","Toy stores","https://www.facebook.com/ProfessorPlums","https://www.instagram.com/professor_plums/","","https://twitter.com/ProfessorPlums1","https://wa.me/+393913858272","https://www.youtube.com/channel/UCiiJka-jkvbeSitrYXGDWdg/","https://www.tiktok.com/@giantmicrobes"
"Animazed","8613 Glenwood Ave #101, Raleigh, NC 27617","(919) 836-6015","info@animazed.store",35.8848309,-78.7427265,"http://animazed.store/","United States","North Carolina","Raleigh",4.7,165,"27617","Toy stores","Comic book stores,Toy stores,Trading card stores,Hobby stores","https://www.facebook.com/104543592342339","https://www.instagram.com/animazedstore","","https://www.twitter.com/animazedstore","","","https://www.tiktok.com/@animazedstore"
"Squishable at Montgomery","7101 Democracy Blvd Space 1336, Bethesda, MD 20817","(240) 941-1211","HugMe@squishable.com",39.0241378,-77.1459998,"http://www.squishable.com/","United States","Maryland","North Bethesda",4.3,12,"20817","Toy stores","Toy stores","https://www.facebook.com/squishabledotcom","https://www.instagram.com/squishables/","","https://twitter.com/squishable","","","https://www.tiktok.com/@squishable.com"
"Science Safari Inc.","1255 Kildaire Farm Rd, Cary, NC 27511","(919) 460-6051","sean@scisafari.com",35.7629035,-78.7822471,"http://www.scisafari.com/","United States","North Carolina","Raleigh",4.9,102,"27511","Toy stores","Toy stores","https://www.facebook.com/Science-Safari-99130216610/","//www.instagram.com/safariscience","","https://twitter.com/scisafari","","",""
"Toy Shop","Old 78 Hwy W, Stone Mountain, GA 30087","(800) 401-2407","privacy@stonemountainpark.com",33.8109675,-84.1449309,"http://www.stonemountainpark.com/","United States","Georgia","Atlanta",5,1,"30087","Toy stores","Toy stores","https://www.facebook.com/stonemountainpark","https://www.instagram.com/stonemountainpark","","https://www.twitter.com/stonemtnpark","","https://www.youtube.com/user/stonemountainpark1",""
"Bricks & Minifigs Fox Valley","1350 W American Dr Suite A, Neenah, WI 54956","(920) 502-0008","foxvalley.wi@bricksandminifigs.com",44.2230139,-88.4934137,"https://bricksandminifigs.com/foxvalley-wi/","United States","Wisconsin","",4.9,42,"54956","Toy stores","Toy stores","https://www.facebook.com/100084443177305/?modal=focused_switcher_dialog","https://www.instagram.com/bricksandminifigsfoxvalley/","https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.facebook.com%2F110050271811001_427505323407570&title=%09%F0%9F%93%A3We%20have%20a%20few%20of%20the%20new%20June%201st%20LEGO%C2%AE%20releases%F0%9F%93%A3Come%20check%20them%20out%21We%2","https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F110050271811001_427505323407570","","",""
"Marbles PlayStore","201 E Hargett St, Raleigh, NC 27601","(919) 857-1120","shop@marbleskidsmuseum.org",35.7783533,-78.6363456,"https://www.marbleskidsmuseum.org/marbles-corner-store","United States","North Carolina","Raleigh",4.1,18,"27601","Toy stores","Toy stores","//www.facebook.com/marbleskidsmuseum","//www.instagram.com/MarblesRaleigh","//www.linkedin.com/company/marbles-kids-museum/","//twitter.com/marblesraleigh","","//www.youtube.com/user/MarblesKidsMuseum",""
"Incredible Toy Company Inc","310 Shoppes on the Parkway Rd #20, Blowing Rock, NC 28605","(828) 832-8400","itc@incredibletoycompany.com",36.1415467,-81.67197,"http://www.incredibletoycompany.com/","United States","North Carolina","Blowing Rock",4.7,146,"28605","Toy stores","Toy stores,Game stores","    https://www.facebook.com/incredibletoycompany","    https://www.instagram.com/incredtoyco/ ","","    https://www.twitter.com/incredibletoyco ","","",""
"Squishable","2845 Center Valley Pkwy #616, Center Valley, PA 18034","(484) 267-1440","HugMe@squishable.com",40.5597854,-75.4103677,"http://www.squishable.com/","United States","Pennsylvania","",4.9,12,"18034","Toy stores","Toy stores","https://www.facebook.com/squishabledotcom","https://www.instagram.com/squishables/","","https://twitter.com/squishable","","","https://www.tiktok.com/@squishable.com"
"S W Randall Toyes & Giftes","806 Ivy St, Pittsburgh, PA 15232","(412) 687-2666","swrandall@swrandalltoys.com",40.4514054,-79.9321443,"http://www.swrandalltoys.com/","United States","Pennsylvania","Pittsburgh",4,44,"15232","Toy stores","Toy stores","https://www.facebook.com/swrandalltoys/","https://www.instagram.com/sw_randall/","","https://twitter.com/swrandalltoys","","",""
