name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"A & R Liquor Store","303 Schenectady Ave, Brooklyn, NY 11213","(718) 749-0332","arliquorstorenyc@gmail.com",40.6676246,-73.9338879,"https://www.arliquorstorenyc.com/","United States","New York","New York City",5,4,"11213","Liquor stores","Liquor stores,Liquor Shops,Gift shops,Wine stores,Hobby stores","https://facebook.com/arliquorstorenyc","https://instagram.com/arliquorstorenyc","","https://twitter.com/arliquorstore","https://wa.me/17188096131","https://youtube.com/@ARLIQUORSTORENYC","https://tiktok.com/@arliquorstorenyc"
"Dubs's Liquors and Fine Wines","30 Chauncy St, Mansfield, MA 02048","(508) 339-3454","dubssfinewines@gmail.com",42.0322454,-71.216322,"http://dubsonline.com/","United States","Massachusetts","Boston",4.5,195,"02048","Wine stores","Wine stores,Liquor stores,Lottery retailers,Liquor Shops,Beer stores,Gift basket stores","http://www.facebook.com/DubsLiquorsandFineWines","http://www.instagram.com/dubssliquorsandfinewines/","","http://twitter.com/DubsLiquors","https://wa.me/message/X2A4OBYK2WKZD1","",""
"Y-Not Stop Moreauville","157 Main St, Moreauville, LA 71355","(318) 985-3005","hello@stromainoil.com",31.0347834,-91.9765329,"http://ynotstop.com/","United States","Louisiana","",4,12,"71355","Restaurants","Convenience stores,Liquor Shops,Restaurants,Gas stations,Liquor stores,Petrol Pumps","http://www.facebook.com/ynotstop","http://www.instagram.com/ynotstop/","","http://twitter.com/YNotStopStores","","",""
"Rouses Market","10130 Crossing Wy #300, Denham Springs, LA 70726","(225) 435-7070","gift.cards@rouses.com",30.4692077,-90.9208372,"https://www.rouses.com/","United States","Louisiana","Walker",4.5,1636,"70726","Grocery stores","Butcher shops,Liquor stores,Supermarkets,Chicken & Mutton Shops,Delis,Grocery stores,Produce markets,Liquor Shops","https://www.facebook.com/RousesMarkets/","https://www.instagram.com/rousesmarkets/","","https://twitter.com/rousesmarkets","","https://www.youtube.com/user/RousesMarkets",""
"Rouses Market","4001 General De Gaulle Dr, New Orleans, LA 70114","(504) 361-5557","gift.cards@rouses.com",29.9188889,-90.0144444,"https://www.rouses.com/","United States","Louisiana","New Orleans",4.3,676,"70114","Supermarkets","Delis,Grocery stores,Chicken & Mutton Shops,Supermarkets,Produce markets,Liquor Shops,Butcher shops,Liquor stores","https://www.facebook.com/RousesMarkets/","https://www.instagram.com/rousesmarkets/","","https://twitter.com/rousesmarkets","","https://www.youtube.com/user/RousesMarkets",""
"Decatur Package Store","1220 Clairmont Rd, Decatur, GA 30030","(404) 633-5250","herb@decaturpackagestore.com",33.7884661,-84.3073889,"http://decaturpackagestore.com/","United States","Georgia","Atlanta",4.6,300,"30030","Liquor stores","Wine stores,Liquor Shops,Liquor stores","https://www.facebook.com/WhatsNewAtDPS/","https://www.instagram.com/decaturpackagestore/","","https://twitter.com/Whatsnewatdps","","",""
"Rouses Market","110 U.S. Hwy 190, Slidell, LA 70460","(985) 781-1392","gift.cards@rouses.com",30.289058,-89.7796038,"https://www.rouses.com/","United States","Louisiana","Slidell",4.3,1043,"70460","Grocery stores","Delis,Grocery stores,Chicken & Mutton Shops,Supermarkets,Liquor Shops,Butcher shops,Liquor stores,Produce markets","https://www.facebook.com/RousesMarkets/","https://www.instagram.com/rousesmarkets/","","https://twitter.com/rousesmarkets","","https://www.youtube.com/user/RousesMarkets",""
"Rouses Market","14630 Village Market St, Baton Rouge, LA 70817","(225) 448-0050","gift.cards@rouses.com",30.3625316,-91.0133281,"https://www.rouses.com/","United States","Louisiana","Old Jefferson",4.5,1289,"70817","Supermarkets","Butcher shops,Liquor stores,Produce markets,Delis,Grocery stores,Chicken & Mutton Shops,Supermarkets,Liquor Shops","https://www.facebook.com/RousesMarkets/","https://www.instagram.com/rousesmarkets/","","https://twitter.com/rousesmarkets","","https://www.youtube.com/user/RousesMarkets",""
"Rouses Market","2300 Church St Building 7, Zachary, LA 70791","(225) 658-2784","gift.cards@rouses.com",30.6516811,-91.1810383,"https://www.rouses.com/","United States","Louisiana","Zachary",4.3,862,"70791","Grocery stores","Produce markets,Butcher shops,Liquor stores,Chicken & Mutton Shops,Delis,Grocery stores,Supermarkets,Liquor Shops","https://www.facebook.com/RousesMarkets/","https://www.instagram.com/rousesmarkets/","","https://twitter.com/rousesmarkets","","https://www.youtube.com/user/RousesMarkets",""
"J's Bottle Shop","1452 Prince Ave, Athens, GA 30606","(706) 353-8881","wine.jsbottleshop@gmail.com",33.9645076,-83.4022854,"http://jsbottleshop.com/","United States","Georgia","Athens",4.7,350,"30606","Liquor stores","Liquor Shops,Beer stores,Wine stores,Liquor stores","https://www.facebook.com/jsbottleshop/","https://www.instagram.com/explore/locations/6762371/js-bottle-shop/","","https://twitter.com/jsbottleshop","","",""
