name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"BYU–Idaho Stadium (STA)","239 S 1st W, Rexburg, ID 83460","(208) 496-1411","ask@byui.edu",43.8209491,-111.7860228,"https://www.byui.edu/university-services/event-services/ticket-office/event-guidelines/BYU%E2%80%93Idaho-stadium-guidelines?utm_source=gmb&utm_medium=yext&y_source=1_MTAxMzI5NDg4Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","United States","Idaho","Rexburg",4.6,125,"83460","Stadiums","Stadiums","https://www.facebook.com/BYUID","https://www.instagram.com/byuidaho/","https://www.linkedin.com/company/byu-idaho","https://twitter.com/byuidaho","https://wa.me/12084961411","https://www.youtube.com/byui",""
"Miami Open Stadium","Miami Gardens, FL 33056","(305) 943-8000","guestexperience@hardrockstadium.com",25.9552496,-80.2403721,"https://hardrockstadium.com/miami-open/","United States","Florida","Miami",4.7,141,"33056","Stadiums","Stadiums","https://www.facebook.com/HardRockStadium1","https://www.instagram.com/HardRockStadium/","","https://twitter.com/HardRockStadium","","","https://www.tiktok.com/@hardrockstadium"
"Grisham Stadium","202 Trojan Dr, Carrollton, GA 30117","(770) 832-9633","webmaster@carrolltoncityschools.net",33.5643198,-85.0815179,"https://www.carrolltoncityschools.net/","United States","Georgia","Carrollton",4.7,300,"30117","Stadiums","Stadiums","https://www.facebook.com/carrolltoncityschools","https://www.instagram.com/trojansccs/","","https://twitter.com/trojansCCS","","https://www.youtube.com/user/CCSTrojans",""
"Martin Luther College Baseball Field","219 Hollywood Ave, New Ulm, MN 56073","(507) 354-8221","mlcinfo@mlc-wels.edu",44.3058041,-94.4831199,"http://www.mlc-wels.edu/home/athletics/menssports/baseball","United States","Minnesota","New Ulm",4.4,11,"56073","Stadiums","Baseballs,Stadiums","https://www.facebook.com/mlcwels","http://instagram.com/martinluthercollege","","http://twitter.com/connect2mlc","","https://www.youtube.com/@mlcknightvision4458/streams",""
"Yakima County Stadium","1301 S Fair Ave, Yakima, WA 98901","(509) 575-4487","info@pippinsbaseball.com",46.5918553,-120.4847128,"http://www.pippinsbaseball.com/","United States","Washington","Union Gap",4.3,269,"98901","Stadiums","Stadiums","https://www.facebook.com/yvpippins","https://www.instagram.com/pippinsbaseball/","https://www.linkedin.com/company/3751352/","https://twitter.com/PippinsBaseball","","https://www.youtube.com/channel/UC_9dyA8tfTspJEv0owprk_w","https://www.tiktok.com/@pipp.tok"
"SoFi Stadium","1001 Stadium Dr, Inglewood, CA 90301","(424) 541-9100","guestservices@hollywoodparkca.com",33.9534651,-118.3390396,"https://www.sofistadium.com/","United States","California","Los Angeles",4.5,20269,"90301","Stadiums","Event venues,Performing arts groups,Live music venues,Stadiums","https://www.facebook.com/sofistadium","https://www.instagram.com/sofistadium","https://www.linkedin.com/company/sofi-stadium-and-hollywood-park","https://www.twitter.com/sofistadium","","https://www.youtube.com/@sofistadium","https://www.tiktok.com/@sofistadium"
"Jim Scott Stadium","2323 Placentia Ave, Costa Mesa, CA 92627","(949) 515-6500","mhalt@nmusd.us",33.6609481,-117.9365846,"http://estancia.nmusd.us/","United States","California","Costa Mesa",4.6,17,"92627","Stadiums","Stadiums","https://www.facebook.com/nmusd","https://instagram.com/ehs_chamberlin","","https://twitter.com/nmusd","","https://www.youtube.com/@newportmesausd/",""
"Harder Stadium","Building 580, University of California, Santa Barbara, Stadium Rd, Santa Barbara, CA 93106","(805) 893-2566","admin@campuscalendar.ucsb.edu",34.4204104,-119.8542711,"https://www.campuscalendar.ucsb.edu/harder_stadium_170","United States","California","Santa Barbara",4.4,111,"93106","Stadiums","Stadiums","https://www.facebook.com/ucsantabarbara","https://www.instagram.com/ucsantabarbara/","https://www.linkedin.com/school/ucsantabarbara","https://twitter.com/ucsantabarbara","","https://www.youtube.com/c/ucsantabarbara",""
"Clipper Magazine Stadium","650 N Prince St, Lancaster, PA 17603","(717) 509-4487","info@lancasterbarnstormers.com",40.0481962,-76.3100818,"https://www.lancasterstormers.com/stadium/","United States","Pennsylvania","Lancaster",4.6,1872,"17603","Stadiums","Baseball fields,Stadiums","https://www.facebook.com/lancasterstormers/","https://www.instagram.com/lanc_stormers/","","https://twitter.com/lancstormers","","https://www.youtube.com/user/lcrbarnstormers",""
"Gustafson Stadium","7001 Culebra Rd, San Antonio, TX 78238","(210) 257-4345","first.last@nisd.net",29.4531361,-98.6250973,"https://nisd.net/athletics/nisd-facilities","United States","Texas","San Antonio",4.5,885,"78238","Stadiums","Stadiums","http://www.facebook.com/NorthsideISD","https://www.instagram.com/NorthsideISD","","http://www.twitter.com/NISD","","http://www.youtube.com/NorthsideISD",""
