name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Licensed Insurance Agent, Ed Pudlo Jr - Health Insurance and Medicare","150 Schiller St Suite 603, Elmhurst, IL 60126","(630) 516-0550","info@livelyinsurance.com",41.900656,-87.9379994,"http://www.livelyinsurance.com/","United States","Illinois","Chicago",5,3,"60126","Health insurance agencies","Health insurance agencies","https://www.facebook.com/378332729020240","https://www.instagram.com/pudlo17","https://www.linkedin.com/company/65360447","https://www.twitter.com/LivelyUSA","https://wa.me/18473446990","https://www.youtube.com/rex1737","https://www.tiktok.com/@nwds1737"
"Health Insurance and Medicare","100 S York St, Elmhurst, IL 60126","(630) 516-0550","info@healthinsuranceandmedicare.com",41.9007072,-87.9378814,"http://www.healthinsuranceandmedicare.com/","United States","Illinois","Chicago",5,1,"60126","Health insurance agencies","Corporate campus,Health insurance agencies,Corporate offices","https://www.facebook.com/438225919904682","https://www.instagram.com/healthinsuranceandmedicare","https://www.linkedin.com/company/healthinsuranceandmedicare","https://www.twitter.com/LivelyUSA","https://wa.me/18473446990","https://www.youtube.com/rex1737","https://www.tiktok.com/@NWDS1737"
"Lively Insurance","33 Walpole Rd, Elk Grove Village, IL 60007","(847) 344-6990","info@livelyinsurance.com",41.9975001,-88.001298,"http://www.livelyinsurance.com/","United States","Illinois","Chicago",0,0,"60007","Health insurance agencies","Health insurance agencies,Insurance agencies","https://www.facebook.com/378332729020240","https://www.instagram.com/pudlo17","https://www.linkedin.com/company/65360447","https://www.twitter.com/LivelyUSA","https://wa.me/18473446990","https://www.youtube.com/rex1737","https://www.tiktok.com/@nwds1737"
"Marcano Group","","(754) 736-2218","info@marcanogroup.com",35.853065,-94.60966,"http://marcanogroup.com/","United States","Oklahoma","Stilwell",0,0,"","Health insurance agencies","Health insurance agencies,Service establishments,Companies","https://www.facebook.com/marcanogroupllc","https://www.instagram.com/marcanogroupcorp","https://www.linkedin.com/company/marcanogroup/","https://twitter.com/marcanogroupllc","https://wa.me/17547362218","",""
"LEREM CONSULTING SERVICES","8340 NW 25th St, Sunrise, FL 33322","(954) 892-4583","Insure.ourhealth@gmail.com",26.1557914,-80.2595091,"https://leremconsulting.com/contact-us","United States","Florida","Miami",0,0,"33322","Health insurance agencies","Health insurance agencies","https://www.facebook.com/Lerem-Consulting-Insurance-Merle-Jones-Brown-PhD-109496394855565","https://www.instagram.com/mb.insurance","https://www.linkedin.com/in/merle-brown-phd-np-consultant-ceo-insurance-services-33995840/","https://www.twitter.com/ladyjameri","https://wa.me/19548924583","",""
"HealthLink KC","13728 Bond St, Overland Park, KS 66221","(913) 735-7666","insurance@healthlinkkc.com",38.8781902,-94.721003,"https://www.healthlinkkc.com/","United States","Kansas","Overland Park",5,13,"66221","Health insurance agencies","Health insurance agencies","https://www.facebook.com/144439922078810","https://www.instagram.com/healthlinkkc","https://www.linkedin.com/in/HealthLinkKC","https://www.x.com/HealthLinkKC","https://wa.me/19137085100","",""
"Vantage Health Plan Inc - Shreveport","855 Pierremont Rd, Shreveport, LA 71106","(318) 678-0008","compliance@vhpla.com",32.4539434,-93.7477909,"https://www.vantagehealthplan.com/","United States","Louisiana","Shreveport",0,0,"71106","Health insurance agencies","Health insurance agencies,Insurance agencies","https://www.facebook.com/vantagehealthplan","https://www.instagram.com/vantagehealthplan","https://www.linkedin.com/company/vantage-health-plan","https://twitter.com/vantage_health","","https://www.youtube.com/user/VantageHealthPlan",""
"South Carolina BLUE","3701 Renee Dr, Myrtle Beach, SC 29579","(843) 736-8811","mobile@scblueretailcenters.com",33.760884,-78.967405,"http://www.scblueretailcenters.com/","United States","South Carolina","",5,1,"29579","Health insurance agencies","Health insurance agencies","https://www.facebook.com/bcbssc","https://www.instagram.com/scbluecross","https://www.linkedin.com/company/bluecross-blueshield-of-sc/","https://twitter.com/bcbssc","","",""
"Tyler Reynolds - USHealth Advisors","Summerfield Dr, Houma, LA 70360","(985) 688-0604","KEVIN.REYNOLDS@USHAdvisors.com",29.577898,-90.746588,"http://www.ushagent.com/TylerReynolds","United States","Louisiana","Houma",5,18,"70360","Health insurance agencies","Health insurance agencies","https://www.facebook.com/ushealthdirect","https://www.instagram.com/ushealth_group/","https://www.linkedin.com/company/ushealthgroup/","https://twitter.com/ushealth_group","","",""
"Aflac","2030 3rd Ave, Jasper, AL 35501","(205) 377-4020","mediarelations@aflac.com",33.8307818,-87.2777237,"https://mylogin.aflac.com/","United States","Alabama","Jasper",0,0,"35501","Health insurance agencies","Health insurance agencies","https://www.facebook.com/aflac","http://instagram.com/aflac","","https://twitter.com/aflac","","https://www.youtube.com/user/aflac",""
