name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Riverside Ace Hardware","3600 Riverside Dr, Macon, GA 31210","(478) 474-6454","OFFICE@ace-place.com",32.8988649,-83.6846278,"https://www.acehardware.com/store-details/14350?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=14350","United States","Georgia","Macon",4.4,434,"31210","Hardware stores","Tool stores,Paint stores,Key Duplication Shops,Hardware stores,Home improvement stores,Key duplication services","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
"Howard Brothers True Value Hardware and Power Equipment - Oakwood","4272 Mundy Mill Rd, Oakwood, GA 30566","(678) 450-0500","corey@howardbrothers.com",34.2513132,-83.88804,"http://www.howardbrothers.com/oakwood","United States","Georgia","Gainesville",4.3,316,"30566","Hardware stores","Grill stores,Lawn mower stores,Hardware stores,Landscaping supply stores,Lawn mower repair services","https://www.facebook.com/howardbrothers/","https://www.instagram.com/howardbrothers","https://www.linkedin.com/company/howard-brothers/","https://twitter.com/howardbrothers","","https://www.youtube.com/@HowardBrothersATL",""
"Handy Ace Hardware","3969 Lawrenceville Hwy, Tucker, GA 30084","(770) 939-6842","lisa@handyacehardware.com",33.848812,-84.2195634,"http://www.acehardware.com/mystore/index.jsp?store=07479&cid=localstore07479","United States","Georgia","Atlanta",4.5,937,"30084","Hardware stores","Hardware stores,Tool stores,Paint stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
"Rocker Supply","517 US-25, Millen, GA 30442","(478) 982-2856","rockerinc@bellsouth.net",32.8058343,-81.9494757,"http://www.acehardware.com/store-details/12225?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=12225","United States","Georgia","Millen",3.9,86,"30442","Hardware stores","Hardware stores,Home improvement stores,Tool stores,Paint stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
"Knight's Ace Hardware","837-39 S Main St, Cedartown, GA 30125","(770) 748-2742","wayne@knightshardware.com",34.0053469,-85.2547319,"http://www.acehardware.com/store-details/04335?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=04335","United States","Georgia","Cedartown",4.7,135,"30125","Hardware stores","Hardware stores,Home improvement stores,Paint stores,Tool stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
"Ace Hardware","153 Legion Dr, Warrenton, GA 30828","(706) 914-5041","warrentonace@gmail.com",33.4051267,-82.6531024,"http://acehardware.com/store-details/17957","United States","Georgia","Warrenton",4.4,84,"30828","Hardware stores","Home improvement stores,Hardware stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
"Dalton Hardware","2105 E Walnut Ave, Dalton, GA 30721","(706) 529-2231","info@keithsace.com",34.7614589,-84.9350865,"http://www.daltonace.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=16409","United States","Georgia","Dalton",4.2,20,"30721","Hardware stores","Paint stores,Tool stores,Hardware stores,Home improvement stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
"Seasons Garden Center of Miller Hardware","3137 N Oak Street Extension, Valdosta, GA 31602","(229) 245-8054","jmiller@millerhardware.com",30.880947,-83.2910112,"https://www.millerhardware.com/","United States","Georgia","Valdosta",4.7,353,"31602","Hardware stores","Garden centers,Hardware stores,Paint stores","https://www.facebook.com/SeasonsMiller","https://www.instagram.com/seasonsmiller/","https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.facebook.com%2F469784566520072_1004925361642678&title=%09%20%09%09","https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F469784566520072_1004925361642678","","",""
"ace hardware","Ace of Gray, 243 W Clinton St, Gray, GA 31032","(478) 986-9200","mail@aceofgray.com",33.0047463,-83.5442723,"https://www.acehardware.com/store-details/08396","United States","Georgia","Gray",4.6,214,"31032","Hardware stores","Hardware stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
"Ace Hardware","3204 GA-155 S, Locust Grove, GA 30248","(678) 884-5369","brotheracehardwear011@gmail.com",33.3514755,-84.1797412,"http://www.acehardware.com/store-details/18676?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=18676","United States","Georgia","Atlanta",4.2,20,"30248","Hardware stores","Paint stores,Tool stores,Hardware stores,Home improvement stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
