name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Worship Interiors Group","10000 Indiana Ave #4, Riverside, CA 92503","(888) 840-2588","sales@churchfurniture.com",33.9079742,-117.4503402,"http://www.churchfurniture.com/","United States","California","Riverside",5,26,"92503","Church supply stores","Stained glass studios,Church supply stores","https://www.facebook.com/Worship-Interiors-Group-945974525467956","https://www.instagram.com/worshipinterior/","","https://twitter.com/worshipinterior","","https://www.youtube.com/user/ChurchPewRestoration",""
"Touch of Faith Creations","5201 4th Ave S, Seattle, WA 98108","(206) 622-3100","seattle@kaufers.shop",47.5554208,-122.3300758,"http://www.kaufers.shop/","United States","Washington","Seattle",5,3,"98108","Church supply stores","Church supply stores","https://www.facebook.com/kaufersstore","https://www.instagram.com/kaufersseattle//","","https://twitter.com/kaufersseattle","","",""
"Concordia Supply","11810 Jersey Blvd, Rancho Cucamonga, CA 91730","(800) 521-0751","info@concordiasupply.com",34.0959051,-117.5477084,"https://www.concordiasupply.com/","United States","California","San Bernardino",4.9,8,"91730","Church supply stores","Church supply stores,E-commerce services","https://www.facebook.com/concordiasupply/","https://www.instagram.com/concordiasupply/","","","","https://www.youtube.com/user/ConcordiaSupply",""
"Rugel Church Furnishings Inc","827 E Broadway Blvd, Jefferson City, TN 37760","(800) 274-7397","info@rugelpews.com",36.134495,-83.455794,"https://rugelpews.com/","United States","Tennessee","",4.7,12,"37760","Church supply stores","Church supply stores","https://www.facebook.com/Rugel-Church-Furnishings-603186479695800/","https://www.instagram.com/rugelchurchfurnishings/","","","","",""
"Good Soil Evangelism and Discipleship","522 Lewisberry Rd, New Cumberland, PA 17070","(877) 959-2293","publish@abwe.org",40.1926689,-76.8824071,"https://www.goodsoil.com/","United States","Pennsylvania","",5,2,"17070","Church supply stores","Book stores,Church supply stores,Book publishers","https://www.facebook.com/GoodSoilED/","https://www.instagram.com/good.soil.ministry/","","","","",""
"Myler Church Building Systems","970 N Englewood Dr, Crawfordsville, IN 47933","(765) 362-3353","jgillikin@myler.com",40.0526379,-86.8742913,"https://myler.com/","United States","Indiana","Crawfordsville",5,2,"47933","Church supply stores","Real Estate Builders & Construction Companies,Church supply stores,Financial consultants,Construction companies,Industrial design companies","http://www.facebook.com/MylerTheChurchBuildingPeople","","","","","",""
"Church Supply House","3605 Division Street, Metairie, LA 70002","(504) 456-0663","mail@churchsupplyhouse.com",30.0075283,-90.1644287,"http://www.churchsupplyhouse.com/","United States","Louisiana","New Orleans",4.9,47,"70002","Church supply stores","Religious goods stores,Church supply stores","https://www.facebook.com/Church-Supply-House-J-Prestes-and-Co-226365747407443/","","","","","",""
"International Church Services LLC","5202 Dow Rd, Houston, TX 77040","(713) 690-8555","intlchurchservs@aol.com",29.8418274,-95.510273,"http://www.internationalchurchservicellc.com/","United States","Texas","Houston",0,0,"77040","Church supply stores","Church supply stores","http://www.facebook.com/wix","","","http://www.twitter.com/wix","","",""
"Alpha Omega","54-36 48th St, Queens, NY 11378","(617) 652-0260","sales@AlphaOmegaChurchSupplies.com",40.7300453,-73.9192746,"http://www.alphaomegachurchsupplies.com/","United States","New York","New York City",4.7,12,"11378","Church supply stores","Church supply stores","http://www.facebook.com/profile.php?id=##########","","","http://www.twitter.com/TWITTER_ID","","",""
"MID SOUTH CHURCH FURNISHINGS, INC.","17123 Hooper Rd, Greenwell Springs, LA 70739","(225) 413-1672","CHURCHBUILDER1@GMAIL.COM",30.5700938,-91.0013004,"http://www.midsouthchurchconstruction.com/","United States","Louisiana","Central",5,21,"70739","Church supply stores","Church supply stores,General contractors,Furniture makers","https://www.facebook.com/Mid-South-Church-Construction-Inc-722226697799360/?ref=settings","","","","","https://www.youtube.com/Mid South Church Construction, Inc.",""
