name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Hilti - Corporate Office","11810 Grand Park Ave #550, North Bethesda, MD 20852","(800) 879-8000","teamaskhilti.us@hilti.com",39.0495194,-77.1173363,"https://www.hilti.com/","United States","Maryland","North Bethesda",0,0,"20852","Tool stores","Tool stores","https://www.facebook.com/HiltiNorthAmerica/","https://www.instagram.com/hiltinorthamerica/","https://www.linkedin.com/company/hilti-usa","https://twitter.com/hiltinamerica","","https://www.youtube.com/user/HiltiNorthAmerica",""
"Rollnrack","445 McKenzie Rd, Mukwonago, WI 53149","(262) 363-2030","info@rollnrack.com",42.867839,-88.321855,"https://www.rollnrack.com/","United States","Wisconsin","Mukwonago",0,0,"53149","Tool stores","Tool stores","https://www.facebook.com/rollnrack","https://www.instagram.com/rollnrack_usa/","","https://twitter.com/RollNRackUSA","","https://www.youtube.com/channel/UCt-GXGm_6-SBxwleVsK59LQ",""
"Hilti Store - Marietta","1080 Cobb Pkwy N, Marietta, GA 30062","(800) 879-8000","customerservice@hilti.com",33.9789644,-84.5521182,"https://www.hilti.com/stores/marietta?utm_source=google&utm_campaign=gmb&utm_medium=organic","United States","Georgia","Atlanta",4.9,12,"30062","Tool stores","Fire protection equipment suppliers,Tool stores,Building materials suppliers,Fastener suppliers,Construction equipment suppliers","https://www.facebook.com/HiltiNorthAmerica","https://www.instagram.com/hiltinorthamerica/","https://www.linkedin.com/company/hilti-usa/","https://mobile.twitter.com/hiltinamerica","","https://www.youtube.com/user/hiltinorthamerica?sub_confirmation=1",""
"Dakota Riggers & Tool Supply Inc","704 E Benson Rd, Sioux Falls, SD 57104","(605) 335-0041","sales@dakotariggers.com",43.587982,-96.717859,"http://www.dakotariggers.com/","United States","South Dakota","Sioux Falls",4.7,45,"57104","Tool stores","Safety equipment suppliers,Tool stores,Construction equipment suppliers","https://www.facebook.com/DakotaRiggers","https://www.instagram.com/dakotariggers/","https://www.linkedin.com/company/15903878/admin/feed/posts/","https://twitter.com/DakotaRiggers","","",""
"Igus Inc","N64w24801 Main St # 112, Sussex, WI 53089","(262) 246-0682","usordersna@igus.net",43.1342021,-88.2396953,"https://www.igus.com/","United States","Wisconsin","Sussex",0,0,"53089","Tool stores","Tool stores","https://www.facebook.com/igus.inc","https://www.instagram.com/igus_inc/?hl=en","https://www.linkedin.com/company/132660","https://twitter.com/igus_Inc","","https://www.youtube.com/user/igusInc","https://www.tiktok.com/@igusinc"
"Hilti Store - Charlotte","801 Clanton Rd #113, Charlotte, NC 28217","(800) 879-8000","customerservice@hilti.com",35.1979603,-80.8846047,"https://www.hilti.com/stores/charlotte?utm_source=google&utm_campaign=gmb&utm_medium=organic","United States","North Carolina","Charlotte",4.3,27,"28217","Tool stores","Fire protection equipment suppliers,Tool stores,Building materials suppliers,Construction equipment suppliers,Fastener suppliers","https://www.facebook.com/HiltiNorthAmerica","https://www.instagram.com/hiltinorthamerica/","https://www.linkedin.com/company/hilti-usa/","https://mobile.twitter.com/hiltinamerica","","https://www.youtube.com/user/hiltinorthamerica?sub_confirmation=1",""
"Mr Nola Store LLC","819 Veterans Memorial Blvd STE 104, Kenner, LA 70062","(504) 405-5333","scafferosdenola@yahoo.com",30.0057309,-90.2580801,"http://mrnolastore.com/","United States","Louisiana","New Orleans",4.6,21,"70062","Tool stores","Tool stores,Safety equipment suppliers","https://facebook.com/#","https://instagram.com/#","http://linkedin.com/#","https://twitter.com/#","","http://youtube.com/#",""
"Hilti Store - Tampa","4899 W Waters Ave, Tampa, FL 33634","(800) 879-8000","customerservice@hilti.com",28.0261257,-82.5270876,"https://www.hilti.com/stores/tampa?utm_source=google&utm_campaign=gmb&utm_medium=organic","United States","Florida","Tampa",4.3,26,"33634","Tool stores","Construction equipment suppliers,Fastener suppliers,Tool stores,Building materials suppliers,Fire protection equipment suppliers","https://www.facebook.com/HiltiNorthAmerica","https://www.instagram.com/hiltinorthamerica/","https://www.linkedin.com/company/hilti-usa/","https://mobile.twitter.com/hiltinamerica","","https://www.youtube.com/user/hiltinorthamerica?sub_confirmation=1",""
"Bryans Rd Bldg/Su Co Inc","3060 Livingston Rd, Bryans Road, MD 20616","(301) 283-6081","BryansRoadSupply@aol.com",38.6264576,-77.0726564,"http://www.acehardware.com/store-details/08514?utm_source=google&utm_medium=localstore&utm_campaign=","United States","Maryland","Bryans Road",4.5,266,"20616","Tool stores","Home improvement stores,Tool stores,Paint stores,Hardware stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
"Kennett Square Ace Hardware","350 Scarlet Rd, Kennett Square, PA 19348","(610) 484-5115","storemanager@kennettace.com",39.8391978,-75.730985,"http://www.acehardware.com/store-details/17883?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=17883","United States","Pennsylvania","Philadelphia",4.5,62,"19348","Tool stores","Hardware stores,Home improvement stores,Tool stores,Paint stores","https://www.facebook.com/acehardware","https://www.instagram.com/acehardware/","","https://twitter.com/AceHardware","","https://www.youtube.com/user/acehardware",""
