name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"LD Tax & Accounting PA","","(786) 486-8919","lauren@taxaccountingpa.com",25.647963,-80.4035004,"https://goqrco.de/ldtaxaccounting","United States","Florida","Miami",5,48,"","Accounting firms","Accounting firms,Companies,Service establishments","https://www.facebook.com/sharer/sharer.php?u=https://goqrco.de/ldtaxaccounting?ref=fb","https://www.instagram.com/ldtaxaccounting?utm_medium=copy_link","","https://twitter.com/intent/tweet?text=https://goqrco.de/ldtaxaccounting?ref=tw","https://wa.me/?text=https%3A%2F%2Fgoqrco.de%2Fldtaxaccounting%3Fref%3Dwa","https://youtube.com/channel/UCN_CwtFvUudewEV9XvFleRQ","http://www.tiktok.com/@taxaccountingpa"
"Alliant Accounting","488 NE 18th St, Miami, FL 33132","(352) 871-9289","info@alliantaccounting.com",25.7935082,-80.1866881,"https://www.alliantaccounting.com/","United States","Florida","Miami",5,21,"33132","Accounting firms","Accounting firms","https://www.facebook.com/alliantaccounting","https://instagram.com/alliantaccounting","https://www.linkedin.com/company/alliantaccounting/","https://x.com/AlliantAcc","https://wa.me/13528719289?text=Hello,%20I'm%20interested%20in%20learning%20more%20about%20Alliant%20Accounting%20services.%20Can%20you%20provide%20me%20additional%20information?","",""
"Reality Check Business Solutions LLC","221 W Hallandale Beach Blvd, Hallandale Beach, FL 33009","(786) 338-9000","info@miamibeachaccountant.com",25.9851331,-80.1509755,"http://www.miamibeachaccountant.com/","United States","Florida","Miami",0,0,"33009","Accounting firms","Accounting firms","https://www.facebook.com/GetARealityCheck/","https://www.instagram.com/getarealitychecknow/","https://www.linkedin.com/company/reality-check-business-solutions/?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf","https://twitter.com/RealityCheckBiz","https://wa.me/17863389000","",""
"CMA Systems, Inc","4000 Hollywood Blvd Suite #555-S, Hollywood, FL 33021","(786) 853-0603","support@cmasystems.com",26.0105815,-80.1835833,"http://www.cmasystems.us/","United States","Florida","Miami",0,0,"33021","Accounting firms","Accounting firms","https://www.facebook.com/cmasystemsus","https://www.instagram.com/cmasystemsus/","https://www.linkedin.com/feed/?trk=homepage-basic_google-one-tap-submit","https://twitter.com/CMASystemsus","https://wa.me/017868530603","",""
"Prorata Accounting and Consulting LLC","200 Patriot Hill Dr, Basking Ridge, NJ 07920","(908) 727-2376","info@prorataaccounting.com",40.6493539,-74.6147585,"https://www.prorataaccounting.com/","United States","New Jersey","",5,1,"07920","Accounting firms","Tax preparations,Certified public accountants,Chartered accountants,Accounting firms,Business management consultants","https://www.facebook.com/profile.php?id=61554566430882&is_tour_completed=true","https://www.instagram.com/prorataaccounting/","https://www.linkedin.com/in/prorata-accounting-a487812a4/","https://twitter.com/prorata06","https://wa.me/19087272376","",""
"USA Expat Taxes","16024 Rosewood St, Stilwell, KS 66085","(913) 850-3185","info@usaexpattaxes.com",38.837482,-94.643432,"https://www.usaexpattaxes.com/","United States","Kansas","Overland Park",0,0,"66085","Accounting firms","Accounting firms","https://www.facebook.com/usaexpattaxes","https://www.instagram.com/#/","https://in.linkedin.com/#/","https://twitter.com/usaexpattaxes","https://wa.me/19138503185","",""
"Anthony Price, CPA - Priceless CPA","66 W Flagler St #900-7468, Miami, FL 33130","(702) 918-5701","anthonypricecpa@gmail.com",25.7739269,-80.1949681,"http://www.pricelesscpa.com/","United States","Florida","Miami",5,8,"33130","Accounting firms","Accounting firms","https://www.facebook.com/profile.php?id=100095371700708&","https://www.instagram.com/taxtonecpa/","https://www.linkedin.com/in/anthony-price-cpa/","https://twitter.com/anthonypricecpa","https://wa.me/12082777733","",""
"Incomax Accounting and Taxes","13314 SW 128th St, Miami, FL 33186","(305) 803-2670","accounting@incomaxaccounting.com",25.6482039,-80.4096739,"https://incomaxaccounting.com/","United States","Florida","Miami",5,57,"33186","Accounting firms","Tax preparations,Bookkeeping services,Accounting firms","https://www.facebook.com/564010724020363","https://www.instagram.com/incomaxat","https://www.linkedin.com/in/rubiel-santana-348648161?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BB7LL4QOcQ4C0OhKNIlCe6A%3D%3D","https://www.twitter.com/IncomaxT","https://wa.me/13058032670","",""
"Vargas Company LLC","","(305) 834-8528","info@vargasncompany.com",25.7824075,-80.2294585,"https://vargasncompany.com/","United States","Florida","Miami",5,2,"","Accounting firms","Accounting firms,Companies,Service establishments","https://www.facebook.com/61553719694860","https://www.instagram.com/vargasnco","","https://www.twitter.com/VARGASCO187535","https://wa.me/13058348528","",""
"RTW Advisors","","(404) 793-0793","sroberts@rtwadvisors.com",33.2577166,-84.170708,"https://www.rtwadvisors.com/","United States","Georgia","",4.3,6,"","Accounting firms","Certified public accountants,Tax preparation services,Accountants,Accounting firms,Bookkeeping services,Tax preparations,National tax services,Payroll Service Providers,Service establishments,Payroll services,Consultants,Companies","https://www.facebook.com/profile.php?id=61551999123441","https://www.instagram.com/askiaroberts/?fbclid=IwAR1MbBIKnihLk--RwfAjRTcP7NBxhQ5CUHdrfmpzKHcd4yaPDsumJKf_zyY","https://www.linkedin.com/company/rtw-advisors","https://twitter.com/advisorsrtw","","https://www.youtube.com/channel/UCIIdKt6V8SfwW-SNNK6bR6Q",""
