name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Junk Cars FL","500 9th St, Orlando, FL 32820","(407) 434-0026","junkcarsfl@gmail.com",28.5548973,-81.0993953,"https://www.junkcarsfl.com/","United States","Florida","Orlando",4.2,6,"32820","Junkyards","Junkyards,Auto wreckers","https://www.facebook.com/pages/JunkCarsFL-Cash-For-Junk-Cars-Orlando/81368240282","https://www.instagram.com/junkcarsfl","","https://twitter.com/#!/junkcarsfl","","https://www.youtube.com/user/TopCashForJunkCars",""
"GLR Advanced Recycling - Cars","1900 W Willow St, Lansing, MI 48917","(517) 376-4800","info@glradvanced.com",42.7489171,-84.5780752,"https://www.glradvanced.com/","United States","Michigan","Lansing",5,211,"48917","Junkyards","Junkyards,Scrap metal dealers","https://www.facebook.com/glradvanced/","https://www.instagram.com/glradvanced/","https://www.linkedin.com/company/great-lakes-recycling/","https://twitter.com/GLRAdvanced","","https://www.youtube.com/channel/UCBl5PsX3GmA0xujhoUyE5Mg",""
"Integrity Metals","650 N 8th St, Richmond, IN 47374","(765) 966-0200","info@integrity-metals.com",39.8366207,-84.8921811,"http://www.integrity-metals.com/locations","United States","Indiana","Richmond",4.3,35,"47374","Junkyards","Recycling centers,Junkyards","https://www.facebook.com/wix","https://www.instagram.com/wix","https://www.linkedin.com/company/wix-com","https://www.twitter.com/wix","","",""
"Mr. Junk Cars","4500 S St, Capitol Heights, MD 20743","(480) 785-6005","mrjunkcarsbuyers@gmail.com",38.9138807,-76.9289701,"https://mrjunkcarsbuyer.com/","United States","Maryland","Bladensburg",4.8,338,"20743","Junkyards","Junk dealers,Junkyards","https://www.facebook.com/mrjunkcarsbuyers","https://www.instagram.com/mrjunkcars/","https://www.linkedin.com/in/mr-junk-cars-73b863225","https://twitter.com/mrjunkcars","","https://www.youtube.com/@Mr.JunkCars/about",""
"EMR Northern Metal Recycling Minneapolis - Scrappy’s Express","1803 N 2nd St, Minneapolis, MN 55411","(612) 521-5558","usainfo@emrgroup.com",44.9977606,-93.2812291,"https://us.emrlocal.com/yards/emr-minneapolis-scrap-metal","United States","Minnesota","Minneapolis",4.4,50,"55411","Junkyards","Junkyards","https://www.facebook.com/EMRUSAMetalRecycling","https://www.instagram.com/emrmetalrecycling/","https://www.linkedin.com/company/emr-usa-metal-recycling","https://twitter.com/emrmetal","","",""
"Second Street Iron & Metal Co., Inc.","285 2nd St, Everett, MA 02149","(617) 387-1188","info@ssimrecycling.com",42.3975701,-71.0470681,"http://www.ssironmetal.com/","United States","Massachusetts","Boston",4.4,66,"02149","Junkyards","Junkyards,Scrap metal dealers","https://www.facebook.com/pages/Second-Street-Iron-Metal-Co-Inc/275388735918906","https://www.instagram.com/ssimrecycle?igsh=MXNrZDBtcHpraWlvcg==","","https://twitter.com/SSIM_STROGOFF","","",""
"Junk It Florida - Cash For Junk Car Inc","1130 NE 6th Ave, Fort Lauderdale, FL 33304","(954) 466-9911","junkcar247@gmail.com",26.1398631,-80.1375393,"https://junkitflorida.com/","United States","Florida","Miami",4,7,"33304","Junkyards","Towing services,Junkyards,Salvage dealers,Auto wreckers,Salvage yards","https://www.facebook.com/junkcarbuyerflorida/","https://www.instagram.com/webuyjunkvehicle/","","https://twitter.com/junkitflorida","","",""
"Gershow Recycling Corporation","635 Muncy Ave, Lindenhurst, NY 11757","(631) 587-1991","swhitfield@mastergard.com",40.6971655,-73.3532929,"http://www.gershow.com/","United States","New York","Babylon",3.2,19,"11757","Junkyards","Recycling centers,Junkyards,Scrap metal dealers,Auto wreckers","https://www.facebook.com/pages/Gershow-Recycling/420409054666264","https://www.instagram.com/gershowrecycling/","","https://www.twitter.com/GershowLI","","","https://www.tiktok.com/@gershow.recycling"
"Holly Auto Parts","436 Cogshall St, Holly, MI 48442","(248) 634-1940","donotreply@dexyp.com",42.7853611,-83.6182557,"https://www.hollyautoparts.com/","United States","Michigan","Holly",3.9,67,"48442","Junkyards","Junkyards","https://facebook.com/DexYPHQ","http://instagram.com/dexyphq/","","https://twitter.com/DexYPHQ/","","",""
"Junk Your Car Now Tampa","410 Ware Blvd #47, Tampa, FL 33619","(813) 733-5653","junkyourcarnowllc@gmail.com",27.9468192,-82.3466213,"http://junkyourcarnow.com/","United States","Florida","Brandon",5,11,"33619","Junkyards","Junkyards","https://www.facebook.com/people/junk-your-car-now-tampa/100089393257545/?mibextid=ZbWKwL","http://www.instagram.com/junkyourcarnow_","","http://twitter.com/Junkyourcarnow","","https://www.youtube.com/@junkyourcarnowtampa",""
