name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"WMATA Medical Services","THIS ADDRESS IS INCORRECT AND SHOULD BE CORRECTED/UPDATED, 616 H St NW, Washington, DC 20001","(202) 636-7141","smartrip@wmata.com",38.899445,-77.0209564,"https://www.wmata.com/","United States","District of Columbia","",3.7,6,"20001","Local medical services","Local medical services","https://www.facebook.com/MetroForward","https://www.instagram.com/metroforward/","","https://x.com/wmata","","https://www.youtube.com/user/MetroForward",""
"West Tennessee Healthcare Wound Center – Dyersburg","1716 Parr Ave A, Dyersburg, TN 38024","(731) 288-4001","info@wth.org",36.0490971,-89.3811379,"https://www.wth.org/locations/wound-center-at-dyersburg-hospital/","United States","Tennessee","Dyersburg",4.2,5,"38024","Local medical services","Medical Centers,Local medical services,Medical groups","https://www.facebook.com/westtennesseehealthcare/","https://www.instagram.com/westtennesseehealthcare/","","https://twitter.com/wthealthcare","","https://www.youtube.com/user/WestTNHealthcare",""
"Bandon IV Lounge","327 US-101 suite 1, Bandon, OR 97411","(541) 217-0780","info@bandonivlounge.com",43.1115603,-124.4150256,"https://www.bandonivlounge.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16048255347682860345","United States","Oregon","Bandon",5,4,"97411","Local medical services","Local medical services","https://www.facebook.com/wix","https://www.instagram.com/wix","https://www.linkedin.com/company/wix-com","https://www.twitter.com/wix","","",""
"SJSU Student Wellness Center","One Washington Square, San Jose, CA 95192","(408) 924-5678","studentwellnesscenter@sjsu.edu",37.334913,-121.8813798,"https://www.sjsu.edu/wellness/","United States","California","San Jose",3.9,29,"95192","Local medical services","Local medical services","https://www.facebook.com/sanjosestate","https://www.instagram.com/sjsu","https://www.linkedin.com/company/san-jose-state-university","https://www.x.com/sjsu","","https://www.youtube.com/user/sjsu",""
"Student Health Center GWC","15744 Goldenwest St, Huntington Beach, CA 92647","(714) 895-8379","healthcenter@gwc.cccd.edu",33.7315902,-118.0046944,"http://www.goldenwestcollege.edu/student-health-center/","United States","California","Huntington Beach",4,1,"92647","Local medical services","Mental health services,Medical clinics,Mental Hospitals,Local medical services","https://www.facebook.com/goldenwestcollege/","https://www.instagram.com/goldenwestcollege/","","https://twitter.com/GoldenWestHB","","https://www.youtube.com/user/goldenwestcollege",""
"SJSU Student Health Center","One Washington Square, San Jose, CA 95192","(408) 924-6122","studentwellnesscenter@sjsu.edu",37.334913,-121.8813798,"https://www.sjsu.edu/studenthealth/","United States","California","San Jose",4,22,"95192","Local medical services","Local medical services","http://www.facebook.com/sanjosestate","http://www.instagram.com/sjsu","http://www.linkedin.com/company/san-jose-state-university","https://twitter.com/sjsu","","http://www.youtube.com/user/sjsu",""
"UPMC Altoona Surgical Pre-Testing","1516 9th Ave, Altoona, PA 16602","(814) 889-7603","help@myupmc.com",40.5123211,-78.4028856,"https://www.upmc.com/locations/hospitals/altoona/patients-visitors/patient-info/before","United States","Pennsylvania","Altoona",0,0,"16602","Local medical services","Local medical services,Anesthesiologists,Surgeons","https://www.facebook.com/upmc/","https://www.instagram.com/upmchealthbeat/","https://www.linkedin.com/company/upmc/","https://twitter.com/upmc/","","https://www.youtube.com/user/upmc/",""
"Med-Kick for Chronic Care Management & Remote Patient Monitoring","","(855) 551-5425","info@med-kick.com",33.2029055,-99.0911376,"http://www.med-kick.com/","United States","Texas","Throckmorton",5,6,"","Local medical services","Service establishments,Medical groups,Companies,Local medical services","https://www.facebook.com/MedkickRPM","https://www.instagram.com/reel/ClzTDbzjpmp/?utm_source=ig_web_copy_link","https://www.linkedin.com/company/65561624/admin/","https://twitter.com/MedKick_LLC","","",""
"City Laser Lab - Quality Laser Therapy","114-06 Queens Boulevard - Side Door, 114-06 Queens Blvd Ste A8, Queens, NY 11375","(347) 815-4116","CITYLASERLAB@GMAIL.COM",40.7167775,-73.8352428,"http://www.citylaserlab.com/","United States","New York","New York City",4.8,26,"11375","Local medical services","Teeth whitening services,Addiction treatment centers,Local medical services","https://www.facebook.com/CityLaserLab/","https://www.instagram.com/citylaserlab/","","https://twitter.com/citylaserlab","","https://www.youtube.com/user/CityLaserLab/videos",""
"Absorb IV","","(661) 387-3747","info@absorbiv.com",35.320977,-119.018687,"https://www.absorbiv.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=206361948217973490","United States","California","Bakersfield",0,0,"","Local medical services","Companies,Service establishments,Local medical services","https://www.facebook.com/wix","https://instagram.com/wix/","","https://www.twitter.com/wix","","",""
