name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Virginia Aquarium & Marine Science Center","717 General Booth Blvd, Virginia Beach, VA 23451","(757) 385-3474","marketing@virginiaaquarium.com",36.8212051,-75.9836042,"http://www.virginiaaquarium.com/","United States","Virginia","Virginia Beach",4.4,16050,"23451","Aquariums","Aquariums,Boat tour agencies,Children's museums,Science museums,Tourist attractions,Wedding venues","http://www.facebook.com/VirginiaAquarium","http://instagram.com/vaaquarium","https://www.linkedin.com/company/virginia-aquarium-&-marine-science-center/","http://www.twitter.com/vaaquarium","","http://www.youtube.com/virginiaaquarium",""
"Alabama Aquarium at the Dauphin Island Sea Lab","102 Bienville Blvd, Dauphin Island, AL 36528","(251) 861-7500","jroy@disl.edu",30.2500214,-88.0780137,"https://www.disl.edu/aquarium","United States","Alabama","Bayou La Batre",4.6,2641,"36528","Aquariums","Tourist attractions,Aquariums","https://www.facebook.com/disealab","https://www.instagram.com/disealab/","https://www.linkedin.com/company/dauphin-island-sea-lab","https://twitter.com/disealab","","https://www.youtube.com/channel/UCphmeb5XTCoBhzk2b937_Rw",""
"Columbus Zoo and Aquarium","4850 W Powell Rd, Powell, OH 43065","(614) 645-3400","give@columbuszoo.org",40.1562089,-83.1173498,"https://www.columbuszoo.org/","United States","Ohio","Columbus",4.7,40498,"43065","Aquariums","Wildlife parks,Tourist attractions,Water parks,Zoos,Aquariums","https://www.facebook.com/columbuszoo","https://www.instagram.com/columbuszoo/","https://www.linkedin.com/company/columbuszoo/","https://twitter.com/ColumbusZoo","","https://www.youtube.com/user/Columbuszoomedia","https://www.tiktok.com/@columbuszooandaquarium?_t=8a9L8pUw4Wh&_r=1"
"Birch Aquarium","2300 Expedition Way, La Jolla, CA 92037","(858) 534-3474","sioweb@ucsd.edu",32.8658136,-117.250639,"https://aquarium.ucsd.edu/","United States","California","San Diego",4.4,8261,"92037","Aquariums","Aquariums,Event venues,Tourist attractions","https://www.facebook.com/BirchAquarium","https://www.instagram.com/birchaquarium","","https://twitter.com/Birch_Aquarium","","https://www.youtube.com/user/birchaquarium","https://www.tiktok.com/@birchaquarium"
"Birch Aquarium at Scripps Institution of Oceanography","2300 Expedition Way, La Jolla, CA 92037","(858) 534-3474","sioweb@ucsd.edu",32.8658136,-117.250639,"https://aquarium.ucsd.edu/","United States","California","San Diego",4.5,7557,"92037","Aquariums","Tourist attractions,Event venues,Aquariums","https://www.facebook.com/BirchAquarium","https://www.instagram.com/birchaquarium","","https://twitter.com/Birch_Aquarium","","https://www.youtube.com/user/birchaquarium","https://www.tiktok.com/@birchaquarium"
"SR Aquaristik","Kane County, 902 S Randall Rd, St. Charles, IL 60174","(847) 717-7626","info@sraquaristik.com",41.8996969,-88.3393401,"https://sraquaristik.com/pages/contact-us","United States","Illinois","Chicago",0,0,"60174","Aquariums","Stores,Aquariums","https://www.facebook.com/sraquaristik","http://instagram.com/sraquaristik","","https://twitter.com/sraqua","","https://www.youtube.com/@SREnterprisesIntl",""
"Florida Keys Aquarium Encounters","11710 Overseas Hwy, Marathon, FL 33050","(305) 407-3262","info@floridakeysaquariumencounters.com",24.7307745,-81.0307811,"http://www.floridakeysaquariumencounters.com/","United States","Florida","",4.7,2239,"33050","Aquariums","Zoos,Aquariums,Tourist attractions,Amusement parks","https://www.facebook.com/Floridakeysaquariumencounters/","https://www.instagram.com/flkeysaquariumencounters/","","https://twitter.com/FLKeysAE","","https://www.youtube.com/channel/UCzG780fNvjn4yr0A7Fv8tPg",""
"Maria Mitchell Aquarium","32 Washington St, Nantucket, MA 02554","(508) 228-5387","info@mariamitchell.org",41.2815327,-70.0956465,"http://www.mariamitchell.org/visit/aquarium","United States","Massachusetts","Nantucket",4.6,33,"02554","Aquariums","Tourist attractions,Aquariums","https://www.facebook.com/MariaMitchellAssociation","https://www.instagram.com/maria_mitchell_association/","https://www.linkedin.com/company/2991277/admin/","https://twitter.com/MMA_Nantucket","","https://www.youtube.com/channel/UCS5DwRA-3yGNrFokyH7VIKg",""
"St. Louis Aquarium at Union Station","201 S 18th St, St. Louis, MO 63103","(314) 923-3900","info@stlouisaquarium.com",38.6277735,-90.2075416,"https://www.stlouisaquarium.com/","United States","Missouri","St. Louis",4.2,8863,"63103","Aquariums","Aquariums","https://www.facebook.com/aquariumstl/","https://www.instagram.com/aquariumstl/","","https://twitter.com/AquariumSTL","","https://www.youtube.com/channel/UCswjVqf-1do9A3yTvqyER2Q","https://www.tiktok.com/@aquariumstl?_t=8WmG1CHQc2N&_r=1"
"The Maritime Aquarium at Norwalk","10 N Water St, Norwalk, CT 06854","(203) 852-0700","reservations@maritimeaquarium.org",41.1011406,-73.4165929,"http://www.maritimeaquarium.org/","United States","Connecticut","Norwalk",4.5,7193,"06854","Aquariums","Aquariums,Cafes,Tourist attractions,Gift shops","https://www.facebook.com/maritime.aquarium","https://www.instagram.com/maritimeaquarium/","","https://twitter.com/maritimeaqua","","https://www.youtube.com/user/maritmeaquarium",""
