name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Trago Lounge","3801 Las Vegas Blvd S, Las Vegas, NV 89109","(702) 739-2222","questions@troplv.com",36.0996954,-115.1721102,"https://www.troplv.com/dining/trago-lounge","United States","Nevada","Las Vegas",4.1,49,"89109","Lounges","Lounges","https://www.facebook.com/troplv/","https://www.instagram.com/troplv/?hl=en","https://www.linkedin.com/company/tropicana-las-vegas-inc","https://twitter.com/troplv?lang=en","","https://www.youtube.com/user/TropLV/",""
"Gotham Lounge","700 5th Ave Lobby, New York, NY 10019","(212) 903-3049","pny@peninsula.com",40.7616511,-73.9754019,"https://www.peninsula.com/en/new-york/hotel-fine-dining/the-gotham-lounge","United States","New York","New York City",4.1,50,"10019","Lounges","New American restaurants,Cocktail bars,Lounges,Bars,Restaurants","https://www.facebook.com/ThePeninsulaNewYork/","https://www.instagram.com/thepeninsulanyc/","","https://twitter.com/ThePeninsulaNYC","","http://www.youtube.com/user/ThePeninsulaHotels",""
"Marshall Airport USO Lounge","7026 Friendship Rd, Baltimore, MD 21240","(410) 859-4425","nharper@uso.org",39.1808315,-76.6681065,"https://metro.uso.org/bwi","United States","Maryland","Baltimore",4.3,79,"21240","Lounges","Lounges","https://www.facebook.com/BWIUSO/","https://www.instagram.com/usometrodc/","","https://twitter.com/USOMetroDC","","https://www.youtube.com/user/USOMetroDC",""
"The People's Cigar","33A Nepperhan Ave, Elmsford, NY 10523","(914) 418-5272","thepeoplescigarrepublic@gmail.com",41.0577579,-73.8185988,"https://thepeoplescigar.com/about-us/","United States","New York","Greenburgh",4.4,7,"10523","Lounges","Lounges","https://www.facebook.com/ThePeoplesCigarRepublic/","https://www.instagram.com/thepeoplescigarrepublic/","","https://twitter.com/themes_ancora","","",""
"Progressive Democrat Club","1009 Ferry Ave, Camden, NJ 08104","(856) 963-9890","Mayor@ci.camden.nj.us",39.919626,-75.1082347,"https://www.ci.camden.nj.us/directory/progressive-democratic-club/","United States","New Jersey","Camden",4.4,173,"08104","Lounges","Lounges","https://www.facebook.com/CityofCamdenGovernment","https://www.instagram.com/cityofcamdengovernment/","https://www.linkedin.com/company/city-of-camden/","https://twitter.com/cityofcamdengov","","",""
"Elevate Lounge","811 Wilshire Blvd 21st floor, Los Angeles, CA 90017","(213) 400-1560","takamirestaurant@gmail.com",34.049694,-118.258233,"https://takamisushi.com/elevate-club","United States","California","Los Angeles",4,676,"90017","Lounges","Lounges,Night clubs","https://www.facebook.com/73511572363","https://www.instagram.com/takamisushila","","https://www.twitter.com/TakamiSushiLA","","",""
"Mortar & Pestle Bar","3250 Zanker Rd #30, San Jose, CA 95134","(408) 521-1119","info@curryupnow.com",37.4026832,-121.9329104,"https://www.curryupnow.com/mortarandpestlebar","United States","California","San Jose",4.3,263,"95134","Lounges","Pubs,Bars,Sports bars,Lounges","https://www.facebook.com/curryupnow","http://instagram.com/curryupnow","https://www.linkedin.com/company/curry-up-now","https://twitter.com/CurryUpNow","","",""
"USO Hawaii","300 Rodgers Blvd #48, Honolulu, HI 96819","(808) 836-3351","usohonolulu.web@uso.org",21.3321865,-157.9198207,"https://hawaii.uso.org/honolulu-international-airport","United States","Hawaii","Honolulu",4.7,540,"96819","Lounges","Lounges","https://www.facebook.com/USOHonolulu","https://instagram.com/theuso","","https://twitter.com/the_uso","","https://youtube.com/theuso",""
"Sip 'n Dip Lounge (1962)","17 7th St S, Great Falls, MT 59401","(406) 454-2141","waveride@qodeinteractive.com",47.504464,-111.2952205,"http://www.montanamermaids.com/","United States","Montana","Great Falls",4.4,1503,"59401","Lounges","Bars,Lounges,Piano bars","https://www.facebook.com/QodeInteractive/","https://www.instagram.com/qodeinteractive/","https://www.linkedin.com/company/qode-themes/","https://twitter.com/QodeInteractive","","",""
"Matinee","700 Main St, Buffalo, NY 14202","(716) 202-0224","mainstmatinee@gmail.com",42.8928925,-78.8722692,"http://www.matineebuffalo.com/","United States","New York","Buffalo",4.9,196,"14202","Lounges","Cocktail bars,Lounges","http://facebook.com/matineebuffalo","http://instagram.com/matineebuffalo","","http://twitter.com/matineebuffalo","","",""
