name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Global Suq Halal Mediterranean Market","105 W Cornwallis Rd, Durham, NC 27707","(919) 666-7811","admin@globalsuq.com",35.9653768,-78.9199583,"https://www.globalsuq.com/","United States","North Carolina","Durham",4.8,41,"27707","Grocery stores","Mexican grocery stores,Bakeries,Butcher shops,Halal restaurants,Mediterranean restaurants,Chicken & Mutton Shops,Middle Eastern restaurants,Grocery stores,Supermarkets,Bakery and Cake Shops,Indian grocery stores,Asian grocery stores","https://facebook.com/globalsuq","https://instagram.com/globalsuq","https://www.linkedin.com/company/globalsuq/","https://twitter.com/globalsuq","https://wa.me/19196667811","","https://www.tiktok.com/@globalsuq"
"Giles House of Confections","521 Keeneland Ave, Woodstock, GA 30189","(888) 477-1773","sales@gileshouseofconfections.com",34.1347021,-84.5362983,"http://www.gileshouseofconfections.com/","United States","Georgia","Atlanta",0,0,"30189","Bakeries","Bakeries,Bakery and Cake Shops","https://www.facebook.com/905110156244822","https://www.instagram.com/gileshouseofconfections33","","https://www.twitter.com/Giles_House","https://wa.me/17708519435","https://www.youtube.com/gileshouseofconfections","https://www.tiktok.com/@royallioness32"
"Mari Sweetz","","(305) 905-2021","marianna@marisweetz.com",25.8976181,-80.320539,"https://marisweetz.com/","United States","Florida","Miami",5,56,"","Dessert shops","Companies,Caterers,Bakery and Cake Shops,Service establishments,Bakeries,Dessert shops","https://www.facebook.com/104295569131603","https://www.instagram.com/mari.sweetz","","https://www.twitter.com/Onlymarisweetz","https://wa.me/13059052021","https://www.youtube.com/Mari.sweetz","https://www.tiktok.com/@mari.sweetz"
"The Healthy Food Cafe","1155 E Stop 11 Rd Ste D, Indianapolis, IN 46227","(317) 476-2361","theHealthyFoodCafe@yahoo.com",39.6494186,-86.137628,"http://thehealthyfoodcafe.com/","United States","Indiana","Indianapolis",4.7,157,"46227","Health food restaurants","Weight loss services,Bakery and Cake Shops,Restaurants,Takeout restaurants,Health food restaurants,Cafes,Bakeries,Juice shops","https://www.facebook.com/971087916314405","https://www.instagram.com/_thehealthyfoodcafe_","","https://www.twitter.com/ThehealthyFT","https://wa.me/13174762361","",""
"Magic City Cakery","1003 Cook Ave, Billings, MT 59102","(406) 969-9096","magiccitycakery@outlook.com",45.7722916,-108.5411182,"http://www.magiccitycakery.com/","United States","Montana","Billings",4.7,12,"59102","Cake shops","Bakery and Cake Shops,Cake shops,Wedding bakeries,Dessert shops,Pastry shops,Bakeries","https://www.facebook.com/107805415533639","https://www.instagram.com/magicitycakery","","https://www.twitter.com/CakeryMagic","https://wa.me/14069699096","",""
"D&E Bakery Restaurant","277 Somerset St, North Plainfield, NJ 07060","(908) 757-5048","info@mysite.com",40.6208258,-74.4276218,"https://www.debakeryrestaurant.com/","United States","New Jersey","North Plainfield",4.5,19,"07060","Bakeries","Restaurants,Bakery and Cake Shops,Bakeries","https://www.facebook.com/wix","https://www.instagram.com/wix","","https://www.twitter.com/wix","https://wa.me/19083466451","",""
"Queen's Sweet Treats","6720 Ritchie Hwy Ste G, Glen Burnie, MD 21061","(443) 410-4057","Queenssweettreats@gmail.com",39.1908894,-76.6162473,"https://queenssweettreats.com/","United States","Maryland","Baltimore",4.6,10,"21061","Dessert shops","Bakery and Cake Shops,Bakeries,Dessert shops","https://www.facebook.com/110109730789487","https://www.instagram.com/queenssweettreats1","","https://www.twitter.com/QueensSweetTre1","https://wa.me/12403555103","",""
"The Fresh Market","5525 Abercorn St, Savannah, GA 31405","(912) 354-6075","help@instacart.com",32.0248554,-81.111236,"https://stores.thefreshmarket.com/ga/savannah/65","United States","Georgia","Savannah",4.5,731,"31405","Grocery stores","Markets,Chicken & Mutton Shops,Supermarkets,Bakery and Cake Shops,Grocery stores,Butcher shops,Bakeries,American grocery stores,Produce markets,Organic food stores,Fruit and vegetable stores,Gourmet grocery stores","https://www.facebook.com/TheFreshMarket","https://www.instagram.com/thefreshmarket/","","https://twitter.com/TheFreshMarket","","https://www.youtube.com/user/TheFreshMarketInc","https://www.tiktok.com/@thefreshmarket?lang=en"
"Black Dog Sweet Shop","","(404) 923-0593","Will@bdsweetshop.com",33.731282,-84.3278884,"http://bdsweetshop.com/","United States","Georgia","Atlanta",5,24,"","Bakeries","Bakeries,Gift basket stores,Corporate gift suppliers,Service establishments,Wedding bakeries,E-commerce services,Bakery and Cake Shops,Cake shops,Chocolate shops,Coffee stores,Companies","https://www.facebook.com/bdsweetshop","https://www.instagram.com/blackdogsweetshop","","https://twitter.com/bdsweetshop?s=21&t=WDSnQqzBJiYoiSU5Ydnu3w","","","https://www.tiktok.com/@bdsweetshop?_t=8WaQo4zqCiZ&_r=1"
"Corner Bakery","3368 Peachtree Rd NE, Atlanta, GA 30326","(404) 816-5100","cb0076@cornerbakerycafe.com",33.8482602,-84.3673747,"https://www.cornerbakerycafe.com/location/buckhead","United States","Georgia","Atlanta",4.3,659,"30326","Sandwich shops","Coffee shops,Sandwich shops,Bakery and Cake Shops,Brunch restaurants,Breakfast restaurants,Dessert restaurants,American restaurants,Salad shops,Bakeries,Bistros","https://www.facebook.com/cornerbakerycafe","https://www.instagram.com/cornerbakery/","","https://twitter.com/CornerBakery","","",""
