name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Radiance Learning Academy","22350 NE Marketplace Dr STE #114, Redmond, WA 98053","(425) 614-8987","office@radiancelearning.org",47.6945845,-122.0408322,"https://www.radiancelearningacademy.org/","United States","Washington","Union Hill-Novelty Hill",5,3,"98053","Preschools","After school programs,Preschools,Kindergarten Schools,Education centers,Kindergartens","https://www.facebook.com/RadianceLearn/","https://www.instagram.com/radiancelearning/","","https://twitter.com/radiancelearn","https://wa.me/14256148987","https://www.youtube.com/channel/UCxFZZ8KZpaZzglU-iIzZm-w",""
"Spanish Schoolhouse","1239 Alma Dr, Allen, TX 75013","(972) 804-4161","allen@spanishschoolhouse.com",33.116891,-96.699676,"https://spanishschoolhouse.com/allen","United States","Texas","Plano",5,17,"75013","Preschools","Preschools,Day care centers,Kindergarten Schools,After school programs,Kindergartens,Private educational institutions,Language schools","https://www.facebook.com/SpanishSchoolhouseAllen","https://www.instagram.com/spanishschoolhouseallen","","https://twitter.com/ssh_school","","",""
"World of Inquiry School No. 58","200 University Ave, Rochester, NY 14605","(585) 325-6170","P.Kwame.Donko-Hanson@RCSDK12.ORG",43.160133,-77.597311,"http://www.rcsdk12.org/58","United States","New York","Rochester",4.7,22,"14605","High schools","Kindergarten Schools,High schools,Kindergartens,Public educational institutions","https://www.facebook.com/RCSDWOIS","https://www.instagram.com/worldofinquirygriffins/","","https://twitter.com/GriffinsWois","","https://www.youtube.com/channel/UCz-R7hk_i0_j4V1Bdqbk99g",""
"City Garden Montessori School - Early Childhood Education Center","1618 Tower Grove Ave, St. Louis, MO 63110","(314) 664-7646","info@citygardenschool.org",38.6201085,-90.2551535,"http://citygardenschool.org/","United States","Missouri","St. Louis",4.7,6,"63110","Preschools","Primary schools,Preschools,Kindergarten Schools,Community centers,Kindergartens,Charter schools,Montessori schools","https://www.facebook.com/CityGardenMontessori/?eid=ARCad16MsoOweWlYEsaYgDiw6UAod8stbN5_bjlwRD7gXXBt4skDFlkNrSOAELdWlDJMPPBc0CZq1k6c","https://www.instagram.com/citygardenmontessori/","https://www.linkedin.com/company/799833/admin/","https://twitter.com/cgmontessori","","https://www.youtube.com/channel/UCq7gTfF1tC_TSncgpDTdbzQ/videos",""
"The Acorn - A School for Young Children","3501 Broadway, San Antonio, TX 78209","(210) 826-8804","talloaks@theacornschool.net",29.4584761,-98.469321,"http://theacornschool.net/","United States","Texas","San Antonio",5,8,"78209","Preschools","Kindergartens,Non-profit organizations,Preschools,Kindergarten Schools","https://www.facebook.com/acorn.satx/","https://www.instagram.com/theacornsa/","","https://twitter.com/AcornSchoolSATX","","https://www.youtube.com/channel/UCUBtEYeFQvoRBCSCjCzG7yw",""
"Dr. Sara McAndrew Elementary School","26615 Toutant Beauregard Rd, Boerne, TX 78006","(210) 398-1750","mcandrew@nisd.net",29.6931813,-98.7088054,"http://nisd.net/mcandrew/","United States","Texas","San Antonio",4,5,"78006","Elementary schools","Kindergarten Schools,Elementary schools,Kindergartens,Middle schools","http://www.facebook.com/NorthsideISD","https://www.instagram.com/NorthsideISD","","http://www.twitter.com/NISD","","http://www.youtube.com/NorthsideISD",""
"Visalia Special Education","5000 W Cypress Ave, Visalia, CA 93277","(559) 730-7581","ndeforest@vusd.org",36.3244617,-119.3463036,"https://www.vusd.org/departments/special-education","United States","California","Visalia",0,0,"93277","Special education schools","Kindergarten Schools,Special education schools,Elementary schools,Middle schools,Kindergartens","https://www.facebook.com/VisaliaUSD/","https://www.instagram.com/visaliausd/","https://www.linkedin.com/company/visaliausd","https://twitter.com/visaliausd","","https://www.youtube.com/@VisaliaUSD","https://www.tiktok.com/@visaliausd"
"St Rose of Lima Catholic School","1325 Royal Ave, Simi Valley, CA 93065","(805) 526-5304","office-staff@srls.org",34.2650222,-118.7741241,"http://www.srls.org/","United States","California","Simi Valley",3.3,4,"93065","Catholic schools","Kindergarten Schools,Elementary schools,Kindergartens,Middle schools,Catholic schools","https://www.facebook.com/pages/St-Rose-Of-Lima-Catholic-School/1547068985522266?fref=pb&hc_location=profile_browser","https://www.instagram.com/stroseoflima64/","","https://twitter.com/srlspanther","","",""
"Peninsula Preparatory Academy","611 Beach 19th St, Far Rockaway, NY 11691","(347) 403-9231","mhernandez@peninsulaprep.org",40.6011262,-73.752429,"http://www.peninsulaprep.org/","United States","New York","New York City",4.6,18,"11691","Charter schools","Kindergarten Schools,Elementary schools,Middle schools,Kindergartens,Charter schools,Preparatory schools","http://www.facebook.com/peninsula.prep","https://instagram.com/peninsulaprep/","","https://twitter.com/ThemesAxiom","","http://youtube.com/user/peninsulaprep",""
"Berry Miller Junior High","3301 Manvel Rd, Pearland, TX 77584","(281) 997-3900","reynoldsm@pearlandisd.org",29.5462604,-95.3293449,"http://www.pearlandisd.org/berrymiller","United States","Texas","Houston",3,51,"77584","Schools","Elementary schools,Schools,Kindergarten Schools,Middle schools,Public educational institutions,Kindergartens","https://www.facebook.com/pearlandisd","https://www.instagram.com/pearlandisd/","","https://twitter.com/pearlandisd","","",""
