name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"RNC Guitar Builds","","(609) 756-9534","rcalabria@RNCGuitarBuilds.com",39.7023136,-74.263449,"https://rncguitarbuilds.com/","United States","New Jersey","Manahawkin",0,0,"","Music stores","Companies,Music stores,Service establishments","https://www.facebook.com/107741784176921","https://www.instagram.com/uppercutsx/","","https://www.twitter.com/rncguitarbuilds","https://wa.me/16097569534","",""
"Guitar Center","2891 Radcliff Ave SE, Kentwood, MI 49512","(616) 464-0000","All-Store-338-GrandRapids-Retail-Managers@guitarcenter.com",42.9111292,-85.5931562,"https://stores.guitarcenter.com/mi/kentwood/338?source=4GOA5AJBA","United States","Michigan","Grand Rapids",4.3,970,"49512","Music stores","Musical instrument stores,Piano stores,Music stores,Guitar stores,Musical instrument repair shops,Musical instrument rental services","//www.facebook.com/GuitarCenter","//www.instagram.com/guitarcenter","","//twitter.com/guitarcenter","","//www.youtube.com/guitarcenter",""
"Guitar Center","1011 W Avenue P, Palmdale, CA 93551","(661) 947-8887","All-Store-113-Palmdale-Retail-Managers@guitarcenter.com",34.6029297,-118.1483828,"https://stores.guitarcenter.com/ca/palmdale/113?source=4GOA5AJBA","United States","California","Los Angeles",4.3,798,"93551","Music stores","Music stores,Guitar stores,Musical instrument repair shops,Musical instrument rental services,Musical instrument stores,Piano stores","//www.facebook.com/GuitarCenter","//www.instagram.com/guitarcenter","","//twitter.com/guitarcenter","","//www.youtube.com/guitarcenter",""
"VEZ GUITAR ACADEMY","34 W Main St, Alhambra, CA 91801","(626) 300-5450","guitarteacher@hotmail.com",34.0945286,-118.1274532,"http://www.vezguitaracademy.com/","United States","California","Los Angeles",5,37,"91801","Music stores","Guitar instructors,Music instructors,Music schools,Musical instrument stores,Guitar stores,Musical instrument repair shops,Music stores","https://www.facebook.com/vezguitaracademy","https://www.instagram.com/vezguitaracademy/?hl=en","","https://twitter.com/vezguitaracad","","https://www.youtube.com/@VezGuitarAcademyAlhambra/videos","https://www.tiktok.com/@vezguitaracademy"
"Guitar Center","3115 Oak View Dr, Omaha, NE 68144","(402) 330-1709","All-Store-481-Omaha-Retail-Managers@guitarcenter.com",41.2285059,-96.1300848,"https://stores.guitarcenter.com/ne/omaha/481?source=4GOA5AJBA","United States","Nebraska","Omaha",4.2,965,"68144","Music stores","Piano stores,Music stores,Guitar stores,Musical instrument stores,Musical instrument repair shops,Musical instrument rental services","//www.facebook.com/GuitarCenter","//www.instagram.com/guitarcenter","","//twitter.com/guitarcenter","","//www.youtube.com/guitarcenter",""
"Musical Surprise","16846 W Bell Rd #106, Surprise, AZ 85374","(623) 544-4200","info@musicalsurprise.com",33.6402101,-112.421825,"http://www.musicalsurprise.com/","United States","Arizona","Wickenburg",4.8,106,"85374","Music stores","Music stores,Musical instrument rental services,Vocal Instructors,Piano instructors,Music schools,Music instructors,Guitar instructors","https://www.facebook.com/musicalsurprise","https://www.instagram.com/musicalsurprise/","","https://twitter.com/musicalsurprise","","https://www.youtube.com/user/musicalsurprise",""
"Musical Energi","59 N Main St REAR, Wilkes-Barre, PA 18701","(570) 829-2929","orders@musicalenergi.com",41.2468309,-75.8790166,"https://musicalenergi.com/","United States","Pennsylvania","Wilkes-Barre",3.3,4,"18701","Music stores","Music stores","https://www.facebook.com/MusicalEnergi/","https://www.instagram.com/musicalenergi/","","https://twitter.com/musicalenergi","","",""
"Guitar Center","8223 Cooper Creek Blvd, University Park, FL 34201","(941) 351-4008","All-Store-782-Sarasota-Retail-Managers@guitarcenter.com",27.3917226,-82.4514532,"https://stores.guitarcenter.com/fl/universitypark/782?source=4GOA5AJBA","United States","Florida","Sarasota",4,775,"34201","Music stores","Piano stores,Musical instrument repair shops,Musical instrument rental services,Music stores,Guitar stores,Musical instrument stores","//www.facebook.com/GuitarCenter","//www.instagram.com/guitarcenter","","//twitter.com/guitarcenter","","//www.youtube.com/guitarcenter",""
"Guitar Center","2940 NW 59th St, Oklahoma City, OK 73112","(405) 810-9191","All-Store-451-OklahomaCity-Retail-Managers@guitarcenter.com",35.530572,-97.5674245,"https://stores.guitarcenter.com/ok/oklahomacity/451?source=4GOA5AJBA","United States","Oklahoma","Oklahoma City",4.2,1268,"73112","Music stores","Music stores,Guitar stores,Musical instrument repair shops,Musical instrument rental services,Musical instrument stores,Piano stores","//www.facebook.com/GuitarCenter","//www.instagram.com/guitarcenter","","//twitter.com/guitarcenter","","//www.youtube.com/guitarcenter",""
"Guitar Center","21A Hawthorne St, Williston, VT 05495","(802) 872-7627","All-Store-519-Williston-Retail-Managers@guitarcenter.com",44.4463952,-73.1100585,"https://stores.guitarcenter.com/vt/williston/519?source=4GOA5AJBA","United States","Vermont","Williston",4.2,255,"05495","Music stores","Music stores,Guitar stores,Musical instrument repair shops,Musical instrument rental services,Piano stores,Musical instrument stores","//www.facebook.com/GuitarCenter","//www.instagram.com/guitarcenter","","//twitter.com/guitarcenter","","//www.youtube.com/guitarcenter",""
