name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Citgo","Huntsville, AL 35811","(256) 746-9797","clubcitgo@citgo.com",34.7691646,-86.582832,"https://www.citgo.com/","United States","Alabama","Huntsville",5,2,"","Gas shops","Gas shops","https://www.facebook.com/CITGOFuelingGood/","https://www.instagram.com/citgofuelinggood/?hl=en","https://www.linkedin.com/company/citgo/","https://twitter.com/CITGO","","https://www.youtube.com/@CitgoFuelingGood",""
"Bitcoin Depot ATM","3440 Washington St, Boston, MA 02130","(678) 435-9604","support@bitcoindepot.com",42.3071511,-71.1059138,"https://www.bitcoindepot.com/","United States","Massachusetts","Boston",0,0,"02130","Gas shops","Gas shops,ATMs","https://www.facebook.com/BitcoinDepot/","https://www.instagram.com/bitcoindepot/","https://www.linkedin.com/company/bitcoin-depot/","https://twitter.com/bitcoin_depot","","https://www.youtube.com/BitcoinDepot","https://www.tiktok.com/@officialbitcoindepot"
"Aloha","","(808) 968-6144","customerservice@alohagas.com",21.3280338,-157.799073,"https://www.alohagas.com/careers-original/","United States","Hawaii","Honolulu",1,1,"","Gas shops","Gas shops,Companies,Interior designers,Service establishments","https://www.facebook.com/alohagas/","https://www.instagram.com/alohagasltd/?hl=en","","https://twitter.com/alohagas?lang=en","","",""
"Mobil Mart","1354 US-1, Milford, CT 06460","(203) 877-8412","capital.markets@exxonmobil.com",41.2397533,-73.0351538,"http://mobil.com/","United States","Connecticut","Milford",1,2,"06460","Gas shops","Gas shops","https://www.facebook.com/ExxonMobil/","https://www.instagram.com/exxonmobil/","https://www.linkedin.com/company/exxonmobil/","https://twitter.com/exxonmobil","","http://www.youtube.com/user/exxonmobil",""
"Triangle Gas Works LLC","5000 Claremore Dr, Durham, NC 27712","(919) 949-1422","trianglegasworks@gmail.com",36.0975985,-78.8686575,"https://www.trianglegasworks.org/","United States","North Carolina","",0,0,"27712","Gas shops","Gas shops","https://www.facebook.com/Triangle-GasWorks-103504559057932","https://instagram.com/wix/","","https://twitter.com/wix","","https://www.youtube.com/user/Wix",""
"Solaiman mini mart","5041 Seven Mile E, Detroit, MI 48234","(313) 368-4605","CommunityRelations@valero.com",42.4335483,-83.0530026,"https://www.valero.com/","United States","Michigan","Detroit",3.7,70,"48234","Gas shops","Gas shops","https://www.facebook.com/valeroenergy","https://www.instagram.com/valeroenergy/","https://www.linkedin.com/company/valero-energy-corporation","https://twitter.com/valeroenergy","","https://www.youtube.com/user/ValeroEnergy1",""
"FizzFill","1136 Sage Ln, Vista, CA 92084","(407) 986-3499","fizzfill@gmail.com",33.2320299,-117.2249118,"http://fizzfill.com/","United States","California","San Diego",5,3,"92084","Gas shops","Gas shops","https://www.facebook.com/FizzFill","https://www.instagram.com/FizzFill","","","","",""
"FizzFill","2234 Spaulding Ave, Los Angeles, CA 90016","(407) 986-3499","fizzfill@gmail.com",34.037427,-118.3673558,"http://www.fizzfill.com/","United States","California","Los Angeles",4.9,197,"90016","Gas shops","Gas shops","https://www.facebook.com/FizzFill","https://www.instagram.com/FizzFill","","","","",""
"FizzFill","18318 Gresham St, Northridge, CA 91325","(818) 584-6697","fizzfill@gmail.com",34.2305359,-118.5330468,"http://fizzfill.com/","United States","California","Los Angeles",3.7,3,"91325","Gas shops","Gas shops","https://www.facebook.com/FizzFill","https://www.instagram.com/FizzFill","","","","",""
"FizzFill","517 E Hyde Park Blvd #10, Inglewood, CA 90302","(310) 571-5461","fizzfill@gmail.com",33.9750792,-118.3506212,"http://fizzfill.com/","United States","California","Los Angeles",0,0,"90302","Gas shops","Gas shops","https://www.facebook.com/FizzFill","https://www.instagram.com/FizzFill","","","","",""
