name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"BM AERO","1710 W 40th St #8, Hialeah, FL 33012","(305) 531-2277","sales@bmaerogroup.com",25.857831,-80.317017,"https://www.bmaerogroup.com/","United States","Florida","Miami",5,6,"33012","Aerospace companies","Aerospace companies","https://www.facebook.com/bmaerospace","https://www.instagram.com/bm_aerospace/?igshid=YmMyMTA2M2Y%3D","https://www.linkedin.com/company/bmaerospacegroup/","https://twitter.com/BM_Aerospace?t=dchFFrg1-bXBWcE6W9lKfg&s=09","https://wa.me/+14847166154","",""
"Firefly Aircraft Parts Inc.","150 S Pine Island Rd, Plantation, FL 33324","(954) 870-7833","sales@fireflyaircraftparts.com",26.1184942,-80.2623618,"http://www.fireflyaircraftparts.com/","United States","Florida","Miami",5,2,"33324","Aerospace companies","Aircraft supply stores,Aerospace companies,Logistics services,Aviation consultants,Repair services,Business brokers","https://www.facebook.com/fireflyaircraft","https://www.instagram.com/firefly_aircraftparts","https://www.linkedin.com/company/firefly-aircraft-parts-inc/","https://www.twitter.com/AnnaLuz58363104","https://wa.me/19545051470","",""
"Horizon Technologies","1101 Connecticut Ave NW #450, Washington, DC 20036","+44 20 3608 9996","info@horizontechnologies.eu",38.9040615,-77.0397285,"http://horizontechnologies.com/","United States","District of Columbia","",0,0,"20036","Aerospace companies","Marine self defense forces,Aerospace companies","https://www.facebook.com/horizontechnologiesltd","https://www.instagram.com/horizon.technologies","https://www.linkedin.com/company/horizon-technologies-ltd?trk=top_nav_home","https://twitter.com/Horizon_TechLLC","","https://www.youtube.com/channel/UCvWn81JGcV8PY50SJ8VIdkw",""
"Velocity Aerospace-Fort Lauderdale","5352 NW 21st Terrace, Fort Lauderdale, FL 33309","(954) 772-4559","info@precisionaviationgroup.com",26.1928812,-80.1719282,"https://velocityaero.com/","United States","Florida","Miami",5,7,"33309","Aerospace companies","Aerospace companies","https://www.facebook.com/precisionaviationgroup","https://www.instagram.com/precisionaviationgroup/","https://www.linkedin.com/company/precision-aviation-group","https://twitter.com/PrecAviationGrp","","https://www.youtube.com/@precisionaviationgroup",""
"ADVANCED COMPOSITE SOLUTIONS, INC","5680 Crater Lake Ave #101, Central Point, OR 97502","(541) 646-7246","info@mysite.com",42.3962548,-122.8523222,"https://www.acs-or.com/","United States","Oregon","Medford",5,1,"97502","Aerospace companies","Aerospace companies","http://www.facebook.com/wix","http://instagram.com/wix","https://www.linkedin.com/company/wix-com","http://www.twitter.com/wix","","",""
"Fargo Jet Center","3801 20th St N, Fargo, ND 58102","(701) 235-3600","sales@exclusiveaviation.com",46.929775,-96.808828,"http://www.fargojet.com/","United States","North Dakota","Fargo",4.8,40,"58102","Aerospace companies","Aerospace companies,Aviation training institutes,Aircraft Rental Agencies,Aircraft maintenance companies,Aircraft dealers,Air taxis,Transportation services,Flight schools,Aircraft rental services","https://www.facebook.com/PremierJetCenter/","https://www.instagram.com/premierjetcenter/","https://www.linkedin.com/company/premier-jet-center-kfcm","https://twitter.com/premierjetmn","","https://www.youtube.com/channel/UCb-vQhRtYprLHyrphBdoseA",""
"Duotech Services, LLC.","245 Industrial Park Rd, Franklin, NC 28734","(828) 369-5411","about@duotechservices.com",35.161421,-83.435845,"https://duotechservices.com/","United States","North Carolina","Franklin",5,2,"28734","Aerospace companies","Mechanical engineers,Electronics repair shops,Electrical engineers,Aerospace companies","https://www.facebook.com/duotechservices","https://www.instagram.com/duotechservices/","https://www.linkedin.com/company/duotech-services","https://twitter.com/DuotechServ","","https://www.youtube.com/user/duotechservices/feed",""
"Saab, Inc.","99 M St SE, Washington, DC 20003","(703) 406-7900","kevin.boland@saabinc.com",38.8763295,-77.0063807,"https://www.saab.com/markets/united-states","United States","District of Columbia","",0,0,"20003","Aerospace companies","Aerospace companies","https://www.facebook.com/saab","https://www.instagram.com/saab","https://www.linkedin.com/company/saab","https://twitter.com/saab","","https://www.youtube.com/user/SaabGroup",""
"Lockheed Martin","15917 AR-274, Camden, AR 71701","(870) 574-0200","investor.relations@lmco.com",33.6230278,-92.7204132,"https://www.lockheedmartin.com/","United States","Arkansas","",4.7,22,"71701","Aerospace companies","Aerospace companies","http://www.facebook.com/lockheedmartin","http://instagram.com/lockheedmartin","https://www.linkedin.com/company/lockheed-martin","http://twitter.com/lockheedmartin","","http://www.youtube.com/user/LockheedMartinVideos",""
"Lockheed Martin","4000 Memorial Pkwy SW, Huntsville, AL 35802","(256) 880-5500","investor.relations@lmco.com",34.682713,-86.579511,"https://www.lockheedmartin.com/","United States","Alabama","Huntsville",0,0,"35802","Aerospace companies","Manufacturers,Aerospace companies,Professional services","http://www.facebook.com/lockheedmartin","http://instagram.com/lockheedmartin","https://www.linkedin.com/company/lockheed-martin","http://twitter.com/lockheedmartin","","http://www.youtube.com/user/LockheedMartinVideos",""
