name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Momentum Sports","21423 Martin Ln, Pflugerville, TX 78660","(512) 456-8467","info@momentumsportsusa.com",30.4904705,-97.5547837,"https://www.momentumsportsusa.com/","United States","Texas","Austin",5,7,"78660","Badminton courts","Cricket grounds,Badminton courts,Soccer fields","https://www.facebook.com/profile.php?id=61570614643201","https://www.instagram.com/msportsusa/","","https://x.com/Msportsusa","https://wa.me/+15124568467","http://www.youtube.com/@Msportsusa ","https://www.tiktok.com/foryou?lang=en"
"Triangle Badminton and Table Tennis","2900 Perimeter Park Dr #200, Morrisville, NC 27560","(919) 388-0272","info@trianglebtt.com",35.8456961,-78.8335025,"https://trianglebtt.com/","United States","North Carolina","Raleigh",4.5,208,"27560","Badminton courts","Badminton clubs,Table tennis facilities,Badminton courts,Badminton complexes,Sports complexes","https://www.facebook.com/TriangleBTT/","https://www.instagram.com/trianglebtt","","https://twitter.com/Tri_TableTennis","","https://www.youtube.com/c/TriangleTableTennisCenterMorrisville",""
"Capital Badminton Academy - Maryland","7518 Lindbergh Dr, Gaithersburg, MD 20879","(240) 200-5666","md@capitalbadminton.com",39.1651619,-77.1540883,"http://www.capitalbadminton.com/","United States","Maryland","",4.1,60,"20879","Badminton courts","Badminton courts","https://www.facebook.com/capitalbadmintonacademy","https://www.instagram.com/capitalbadmintonacademy/","","","","",""
"Bellevue Badminton Club - Mukilteo","3616 S Rd Building D, Mukilteo, WA 98275","(425) 374-8094","-info@bellevuebadminton.com",47.8825882,-122.284718,"http://www.bellevuebadminton.com/","United States","Washington","Edmonds",4.1,129,"98275","Badminton courts","Badminton clubs,Equipment suppliers,Summer camp organizers,Training centers,Children's camps,Sports schools,Badminton courts","https://www.facebook.com/bellevuebadmintonclub","https://www.instagram.com/bellevuebadminton/","","","","https://www.youtube.com/@bellevuebadmintonclub5356",""
"New Jersey Badminton Club","2 Changebridge Rd, Montville, NJ 07045","(201) 898-0382","njbc.info@gmail.com",40.9157417,-74.359275,"http://www.njbadminton.com/","United States","New Jersey","",4.4,211,"07045","Badminton courts","Badminton courts","https://www.facebook.com/njbadmintonclub","https://www.instagram.com/njbadmintonclub/","","","","",""
"US Badminton Academy","4569 Las Positas Rd unit a, Livermore, CA 94551","(925) 292-5296","usbacademy@gmail.com",37.6944808,-121.7413558,"https://usbadmintonacademy.com/","United States","California","Livermore",4.6,72,"94551","Badminton courts","Badminton courts","https://www.facebook.com/100394626418077","","","","","",""
"Orange County Badminton Club","1432 N Main St, Orange, CA 92867","(714) 639-6222","phillipocbc@gmail.com",33.8103312,-117.8676019,"http://www.ocbadmintonclub.com/","United States","California","Orange",4.3,137,"92867","Badminton courts","Badminton clubs,Badminton courts","https://www.facebook.com/OrangeCountyBadmintonClub/","","","","","",""
"Club 28 badminton Coatesville","255 Mt Airy Rd, Coatesville, PA 19320","(703) 832-5789","Club28.usa@gmail.com",39.992401,-75.828928,"http://www.club28badminton.com/","United States","Pennsylvania","Philadelphia",4.9,21,"19320","Badminton courts","Badminton courts","https://www.facebook.com/club28bp/","","","","","",""
"Shannon Pohl Badminton Academy","720 Corporate Woods Pkwy, Vernon Hills, IL 60061","(847) 821-6948","badminton@shannonpohl.com",42.2183952,-87.9478912,"http://www.shannonpohl.com/","United States","Illinois","Chicago",4.3,43,"60061","Badminton courts","Sports complexes,Badminton courts,Sports schools","https://www.facebook.com/events/265580259712569/?ref=newsfeed","","","","","",""
"Club28 Badminton Philadelphia","3569 Edgemont St, Philadelphia, PA 19134","(917) 631-6713","Club28.usa@gmail.com",39.9884901,-75.0940584,"https://www.club28badminton.com/","United States","Pennsylvania","Philadelphia",4.4,167,"19134","Badminton courts","Badminton courts,Gyms","https://www.facebook.com/club28bp/","","","","","",""
