name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Hitech Courier","448 S 10th St, Newark, NJ 07103","(973) 848-9256","info@hitechfreightservices.com",40.7370152,-74.2016577,"https://hitechfreightservices.com/","United States","New Jersey","Newark",0,0,"07103","Courier services","Courier services","https://www.facebook.com/Hitech-Courier-120958351294484","https://www.instagram.com/hitechcourier/","","https://twitter.com/hitechfreight","https://wa.me/+1-201-303-0433","https://www.youtube.com/channel/UCEYiEHk2be8H5PmUKmI6cnw/",""
"BoxEx - Unlimited Courier - Texas Houston","5013 Hwy 6 N, Houston, TX 77084","(281) 345-4610","contabilidadmiami@boxexpress.com",29.8506501,-95.6461693,"http://www.boxexpress.com/","United States","Texas","Houston",3.7,77,"77084","Courier services","Mailing services,Trucking companies,Fax Service Providers,Import export companies,Shipping and mailing services,Courier services","https://www.facebook.com/boxexinternational/","https://www.instagram.com/boxex_usa/","","https://twitter.com/BoxExpressCo","https://wa.me/573176410982","https://www.youtube.com/channel/UCEMu58BFgCZxjvKIb-UuXtQ",""
"Hitech Courier","28 Central Ave, East Orange, NJ 07018","(973) 900-9132","info@hitechfreightservices.com",40.7509447,-74.2019204,"https://hitechfreightservices.com/","United States","New Jersey","Newark",5,1,"07018","Courier services","Courier services","https://www.facebook.com/Hitech-Courier-120958351294484","https://www.instagram.com/hitechcourier/","","https://twitter.com/hitechfreight","https://wa.me/+1-201-303-0433","https://www.youtube.com/channel/UCEYiEHk2be8H5PmUKmI6cnw/",""
"Questdelivery.net","","(305) 951-0633","info@questdelivery.net",25.7464834,-80.4482804,"http://www.questdelivery.net/","United States","Florida","Miami",5,3,"","Courier services","Companies,Courier services,Delivery services,Service establishments","https://www.facebook.com/414143955735864","https://www.instagram.com/ernestoszostak","","https://www.twitter.com/Ernszo","https://wa.me/13059510633","",""
"Bocsit Same day Delivery Service","80 Broad St, Boston, MA 02110","(617) 807-0411","info@bocsit.com",42.3577317,-71.0528044,"https://bocsit.com/SameDay/Delivery/boston-ma","United States","Massachusetts","Boston",0,0,"02110","Courier services","Trucking companies,Courier services","https://www.facebook.com/pages/Bocsit-Courier-Service/198193073580630","https://instagram.com/bostonscourier","https://www.linkedin.com/company/bocsit-courier-service?trk=prof-following-company-logo","https://twitter.com/bostonscourier","","",""
"America Envios Latin Multiservices Kendall","14331 SW 120th St #107, Miami, FL 33186","(786) 773-2264","americaenvioslm@gmail.com",25.6561877,-80.4269606,"https://americaenvioslm.com/","United States","Florida","Miami",3.6,7,"33186","Courier services","Courier services,Money transfer services,Freight forwarding services,Shipping industry services,International freight forwarding services,Freight Forwarding Agencies,Shipping companies","https://www.facebook.com/americaenvioslatinmultiservices","https://instagram.com/americaenvioslm?igshid=YmMyMTA2M2Y=","","https://twitter.com/EnviosLatin","","",""
"Call It In LLC","","(720) 823-3440","Orders@justcallitin.com",39.368658,-104.957934,"https://www.justcallitin.com/","United States","Colorado","Castle Rock",0,0,"","Courier services","Companies,Courier services,Service establishments,Delivery services","https://www.facebook.com/people/Call-It-In/100089923631780/","https://www.instagram.com/call.it.in_colorado/","https://www.linkedin.com/in/callitin","https://twitter.com/share?url=https://justcallitin.com/","","",""
"Express Errands & Courier - Austin","","(877) 983-3548","info@expresserrandsofjax.com",30.6124086,-98.0053929,"https://eec-logistics.com/courier-service-in-austin/","United States","Texas","",5,6,"","Courier services","Delivery services,Local medical services,Delivery Restaurants,Service establishments,Meal deliveries,Process servers,Courier services,Companies,Grocery delivery services","https://www.facebook.com/ExpressErrands/","https://www.instagram.com/expresserrands_courier/","https://www.linkedin.com/company/express-errands-courier/","https://twitter.com/ExpressErrands","","",""
"Courier Express","234 W Dudley St, Greenville, NC 27834","(919) 226-7900","sales@courierexpress.net",35.6311107,-77.3759652,"http://www.courierexpress.net/","United States","North Carolina","Greenville",3.5,6,"27834","Courier services","Courier services","http://www.facebook.com/courierexpressinc","https://www.instagram.com/cxdelivers/","https://www.linkedin.com/company/courier-express","https://x.com/CXDelivers","","",""
"DCS Delivery | Same Day Courier Service | Mission Viejo, CA","25971 Pala, Mission Viejo, CA 92691","(888) 327-0929","info@dcsdelivery.com",33.6197338,-117.6778415,"https://www.dcsdelivery.com/","United States","California","Mission Viejo",4.2,12,"92691","Courier services","Courier services","https://www.facebook.com/dcs.delivery.usa","https://instagram.com/dcs_delivery_usa","https://www.linkedin.com/company/dcsdelivery/","https://twitter.com/dcs_delivery","","",""
