name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Luxury Pawn Gold Buyer Boston LBC Boutique","1107 Commonwealth Ave, Boston, MA 02215","(617) 821-6229","Toshenterprisesllc@gmail.com",42.3518228,-71.1256136,"http://bostonpawnbroker.com/","United States","Massachusetts","Boston",4.9,797,"02215","Pawn shops","Video game stores,Diamond buyers,Pawn shops,Watch stores,Antique stores,Boutiques,Electronics stores,Coin dealers,Gold dealers,Sports card stores","https://www.facebook.com/1527636937449210","https://www.instagram.com/cashforgoldboston2026?igsh=aGY3Y2dhenZ1dm5h","","https://www.x.com/tb723175899212?t=NREBC1bnEiA3WjVvrzegXg&s=09","https://wa.me/16178216229","https://www.youtube.com/@bostonpawnshop2023?app=desktop","https://www.tiktok.com/@bostonpawnshop"
"Best Collateral","3595 Sonoma Blvd, Vallejo, CA 94590","(707) 643-7296","Connect@BestCollateral.com",38.1229855,-122.2566056,"https://bestcollateral.com/vallejo","United States","California","Vallejo",4.7,354,"94590","Pawn shops","Loan agencies,Pawn shops,Jewelers","https://www.facebook.com/BestCollateral?ref=hl","https://www.instagram.com/vallejo.bestcollateral","","http://twitter.com/bestcollateral","","http://www.youtube.com/BestCollateralCA",""
"Gem Pawnbrokers","28-07 Steinway St, Queens, NY 11103","(718) 360-5068","info@gempawn.net",40.7651198,-73.9136708,"https://www.gempawnbrokers.com/","United States","New York","New York City",4.9,444,"11103","Pawn shops","Jewelry buyers,Electronics stores,Loan agencies,Pawn shops,Diamond buyers","https://www.facebook.com/GemPawnbrokers/","https://www.instagram.com/gempawnbrokers/","","https://twitter.com/gempawnbrokers?lang=en","","",""
"Zeidman's Jewelry and Loan","7657 8 Mile Rd, Warren, MI 48091","(586) 755-2274","sales@zeidmans.com",42.4486598,-83.0255219,"http://www.zeidmans.com/","United States","Michigan","Detroit",4.9,91,"48091","Pawn shops","Jewelry stores,Pawn shops","https://www.facebook.com/Zeidmans/","https://www.instagram.com/zeidmans/?hl=en","","https://twitter.com/zeidmansdetroit","","https://www.youtube.com/channel/UCcMMchBnYmKAzMIaFro2N7A?view_as=subscriber",""
"Gem Pawnbrokers","708 Walt Whitman Rd, Melville, NY 11747","(718) 715-0431","info@gempawn.net",40.8047795,-73.4106419,"https://www.gempawnbrokers.com/","United States","New York","Huntington",4.9,180,"11747","Pawn shops","Gold dealers,Loan agencies,Pawn shops,Watch stores,Diamond buyers,Electronics stores,Jewelry buyers","https://www.facebook.com/GemPawnbrokers/","https://www.instagram.com/gempawnbrokers/","","https://twitter.com/gempawnbrokers?lang=en","","",""
"Pawnit 4 Now","537 E Tremont Ave, Bronx, NY 10457","(718) 731-6100","support@pawnit4now.com",40.846769,-73.895484,"http://pawnit4now.com/","United States","New York","New York City",4,35,"10457","Pawn shops","Pawn shops,Electronics stores","http://facebook.com/pawnit4now","http://instagram.com/pawnit4now","","http://twitter.com/pawnit4now","","",""
"Zeidman's Jewelry & Loan","2669 Gratiot Ave, Detroit, MI 48207","(313) 486-5500","sales@zeidmans.com",42.3535979,-83.031656,"https://www.zeidmans.com/","United States","Michigan","Detroit",4.3,329,"48207","Pawn shops","Loan agencies,Pawn shops,Diamond dealers,Diamond Merchants,Jewelry buyers,Jewelry stores","https://www.facebook.com/Zeidmans/","https://www.instagram.com/zeidmans/?hl=en","","https://twitter.com/zeidmansdetroit","","https://www.youtube.com/channel/UCcMMchBnYmKAzMIaFro2N7A?view_as=subscriber",""
"Pawnit 4 Now","1405 Walton Ave, Bronx, NY 10452","(718) 992-6100","support@pawnit4now.com",40.8398653,-73.9158967,"http://pawnit4now.com/","United States","New York","New York City",3.5,10,"10452","Pawn shops","Pawn shops","http://facebook.com/pawnit4now","http://instagram.com/pawnit4now","","http://twitter.com/pawnit4now","","",""
"Norcross Pawn","5476 Jimmy Carter Blvd #102, Norcross, GA 30093","(678) 691-2235","pawnking5476@gmail.com",33.9079204,-84.2070704,"https://www.firstcash.com/","United States","Georgia","Atlanta",4.9,1056,"30093","Pawn shops","Gun shops,Pawn shops,Coin dealers,Gold dealers,Jewelry stores,Electronics stores","https://www.facebook.com/NorcrossPawnShop/","https://www.instagram.com/norcrosspawn/","","https://twitter.com/norcrosspawn","","",""
"Sunshine Gold & Pawn","16520 S Tamiami Trail #114, Fort Myers, FL 33908","(239) 288-6131","sunshinepawn@yahoo.com",26.5006439,-81.8562504,"http://www.sunshinepawn.com/","United States","Florida","Cape Coral",4.8,53,"33908","Pawn shops","Pawn shops,Jewelry buyers","http://facebook.com/sunshinepawn","http://instagram.com/sunshinepawn","","http://twitter.com/sunshinepawn","","","https://www.tiktok.com/@sunshinepawn"
