name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"HOLLA FOR REAL PROPERTIES, LLC","101 N Tryon St Suite 112, Charlotte, NC 28246","(980) 393-3317","info@hollaforrealproperties.com",35.2276835,-80.8430418,"http://hollaforrealproperties.com/","United States","North Carolina","Charlotte",5,7,"28246","Real estate rental agencies","Real estate rental agencies","https://www.facebook.com/110469228237236","https://www.instagram.com/hollaforrealproperties","","https://www.twitter.com/hollaforreal","https://wa.me/17046141009","https://www.youtube.com/channel/UCWB0bCxow5DZgbQYKKN4VIw","https://www.tiktok.com/@hollaforrealproperties"
"Camilo Henriquez , Realtor, EXP Realty NYC","6856 Groton St, Queens, NY 11375","(929) 398-0106","Camilo.Henriquez@exprealty.com",40.7174714,-73.8521554,"http://camilosellsnyc.com/","United States","New York","New York City",5,12,"11375","Real estate rental agencies","Real estate developers,Real estate consultants,Real estate rental agencies,Real estate agents","https://www.facebook.com/101595911466672","https://www.instagram.com/camilonyrealtor","https://www.linkedin.com/in/camilonyrealtor/","https://www.twitter.com/camilonyrealtor","https://wa.me/19293980106","",""
"Lxure","961 NE 172nd St, North Miami Beach, FL 33162","(718) 501-3911","info@lxure.com",25.9339493,-80.1809895,"https://lxure.com/villas/marina-villa/","United States","Florida","Miami",0,0,"33162","Real estate rental agencies","Real estate rental agencies","https://www.facebook.com/people/Lxure-Suites-Villas-Mansions/100015614531547","https://www.instagram.com/livelifelxure/","","https://twitter.com/lxurecom","https://wa.me/7185013911","",""
"Ceballos Realty group llp","240 Speedwell Ave, Morristown, NJ 07920","(855) 215-0402","Info@c21caribbean.com",40.8089721,-74.4819806,"http://www.c21caribbean.com/","United States","New Jersey","Morristown",0,0,"07920","Real estate rental agencies","Real estate rental agencies,Real estate agencies,Real estate consultants,Real estate attorneys,Real estate appraisers","http://www.facebook.com/Century21Playa","https://www.instagram.com/century21playa/","https://www.linkedin.com/company/century-21-caribbean-paradise/","https://twitter.com/c21mexico?lang=es","https://wa.me/5219982417118?text=¡Hola!%20Quiero%20hablar%20con%20un%20asesor%20de%20Real%20Estate","https://www.youtube.com/channel/UCPEUaqY9aDiclJWXkc79zuA?view_as=subscriber",""
"Bleisek","28070 US-290 SUITE 230, Cypress, TX 77433","(281) 520-6466","email@email.com",29.9898016,-95.7383702,"http://bleisek.com/","United States","Texas","Houston",4.7,29,"77433","Real estate rental agencies","Real estate rental agencies","https://www.facebook.com/BleisekInvestmentsLLC/","https://www.instagram.com/bleisekinvestments/","https://www.linkedin.com/company/bleisek-investments/","https://twitter.com/intent/tweet?text=Country+Club+Estates+https%3A%2F%2Fbleisek.com%2Festate_property%2Fcountry-club-estates%2F","https://wa.me/?text=Country%20Club%20Estates%20https://bleisek.com/estate_property/country-club-estates/","",""
"Austin Apartment Guy","2208 Amy Lynn Ln, Cedar Park, TX 78613","(512) 940-5741","admin@austinapartmentguy.com",30.5309911,-97.8573707,"http://www.austinapartmentguy.com/","United States","Texas","Austin",5,38,"78613","Real estate rental agencies","Real estate agencies,Real estate rental agencies,Real estate consultants","https://www.facebook.com/austinaptguy","https://www.instagram.com/austinapartmentguyofficial","https://www.linkedin.com/in/michael-humphreys-157057a/","https://www.twitter.com/austinapartmen5","https://wa.me/15129405741","https://www.youtube.com/channel/UCUpKaFkhIKNMhl8nTznrTZg",""
"Empire State Realty Trust","250 W 57th St, New York, NY 10019","(212) 237-2424","paul.amrich@cbre.com",40.7663853,-73.9824668,"http://www.empirestaterealtytrust.com/properties/office/250-west-57th-street1","United States","New York","New York City",4.3,3,"10019","Real estate rental agencies","Real estate rental agencies","https://www.facebook.com/EmpireStateRealtyTrust/","https://www.instagram.com/esrtsocial/","https://www.linkedin.com/company/empire-state-realty-trust/","https://twitter.com/esrtsocial?lang=en","","https://www.youtube.com/channel/UCBGUmXCACHXxx1VFBV-cNqg",""
"Apartment Advisors, LLC","2700 S King St Ste B. #283275, Honolulu, HI 96828","(808) 664-3296","rentals@apartmentshi.com",21.291521,-157.8198521,"http://www.apartmentshi.com/","United States","Hawaii","Honolulu",4.1,22,"96828","Real estate rental agencies","Real estate rental agencies","https://www.facebook.com/apartmentadvisors","https://www.instagram.com/apartmentshi/","https://www.linkedin.com/in/apartmentadvisors/","https://twitter.com/aptadvisorshi","","",""
"Snow Homes","","(205) 440-3018","SnowHomesLLC@gmail.com",33.5673384,-86.432163,"https://snowhomesllc.wixsite.com/mysite","United States","Alabama","Moody",0,0,"","Real estate rental agencies","Real estate rental agencies,Service establishments,Companies","http://www.facebook.com/wix","http://instagram.com/wix/","","http://www.twitter.com/wix","","",""
"EAGLE PROPERTY GROUP LLC","6710 Oxon Hill Rd Suite 460, Oxon Hill, MD 20745","(202) 710-3980","info@mysite.com",38.7978886,-77.0016693,"https://www.eaglepropertygrupo.com/","United States","Maryland","National Harbor",5,1,"20745","Real estate rental agencies","Real estate rental agencies","https://www.facebook.com/wix","https://www.instagram.com/wix","","https://x.com/wix","","","https://www.tiktok.com/@wix"
