name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Mount Pleasant Play Area","30 Mt Pleasant Ave, Boston, MA 02119","(617) 635-4505","mayor24reply@boston.gov",42.3272329,-71.079249,"https://www.boston.gov/departments/parks-and-recreation","United States","Massachusetts","Boston",1,1,"02119","City parks","City parks","https://www.facebook.com/bostonparksdept","https://www.instagram.com/bostonparksdept/?hl=en","","https://twitter.com/bostonparksdept","","",""
"Victoria City Park","205-299 Memorial Dr, Victoria, TX 77901","(361) 485-3200","parks@victoriatx.org",28.8082036,-97.0181709,"https://www.victoriatx.org/158/Parks-Recreation","United States","Texas","Victoria",4.6,33,"77901","City parks","City parks","https://www.facebook.com/victoriaparks.recreation","https://www.instagram.com/victoriaparks_rec?igsh=bTBtbmh0M2ExdHE=","","https://twitter.com/victoriapio","","https://www.youtube.com/user/VictoriaTexasVideos",""
"Trotter School Playground","59 Waumbeck St, Boston, MA 02121","(617) 635-4505","mayor24reply@boston.gov",42.3150857,-71.0887595,"https://www.boston.gov/departments/parks-and-recreation","United States","Massachusetts","Boston",4.5,2,"02121","City parks","City parks","https://www.facebook.com/bostonparksdept","https://www.instagram.com/bostonparksdept/?hl=en","","https://twitter.com/bostonparksdept","","",""
"City Park","City Park Lake Path, Fort Collins, CO 80521","(970) 221-6660","parkshop@fcgov.com",40.5827307,-105.1032605,"https://www.fcgov.com/parks/","United States","Colorado","Fort Collins",4.7,231,"80521","City parks","City parks","https://www.facebook.com/FCMoDDome","https://www.instagram.com/focoart/","https://www.linkedin.com/company/city-of-fort-collins","https://twitter.com/FCMoDDome","","https://www.youtube.com/channel/UC7dfKEn2Q0CxxHzQr84kFWw",""
"Old Celina Park","12670 FM428, Celina, TX 75009","(972) 382-2682","marketing@celina-tx.gov",33.317392,-96.8036186,"http://www.celina-tx.gov/index.aspx?NID=888","United States","Texas","Celina",4.6,334,"75009","City parks","City parks","https://www.facebook.com/cityofcelina","https://www.instagram.com/celina_texas/","https://www.linkedin.com/company/cityofcelinatx","https://twitter.com/cityofcelina","","",""
"Winthrop Square","55 Winthrop St, Boston, MA 02128","(617) 635-4505","mayor24reply@boston.gov",42.3699579,-71.0395726,"https://www.boston.gov/departments/parks-and-recreation","United States","Massachusetts","Boston",0,0,"02128","City parks","City parks","https://www.facebook.com/bostonparksdept","https://www.instagram.com/bostonparksdept/?hl=en","","https://twitter.com/bostonparksdept","","",""
"Parkman Playground","58 Wachusett St, Boston, MA 02130","(617) 635-4505","mayor24reply@boston.gov",42.2955801,-71.1135764,"https://www.boston.gov/departments/parks-and-recreation","United States","Massachusetts","Boston",4.5,30,"02130","City parks","City parks,Parks","https://www.facebook.com/bostonparksdept","https://www.instagram.com/bostonparksdept/?hl=en","","https://twitter.com/bostonparksdept","","",""
"Edgerly Road Playground","6 Edgerly Rd, Boston, MA 02115","(617) 635-4505","mayor24reply@boston.gov",42.3462297,-71.0879403,"https://www.boston.gov/departments/parks-and-recreation","United States","Massachusetts","Boston",3.9,9,"02115","City parks","Playgrounds,City parks","https://www.facebook.com/bostonparksdept","https://www.instagram.com/bostonparksdept/?hl=en","","https://twitter.com/bostonparksdept","","",""
"Harambee Park","930 Blue Hill Ave, Boston, MA 02124","(617) 635-4505","mayor24reply@boston.gov",42.2921162,-71.0852349,"https://www.boston.gov/departments/parks-and-recreation","United States","Massachusetts","Boston",4.2,412,"02124","City parks","City parks,Parks","https://www.facebook.com/bostonparksdept","https://www.instagram.com/bostonparksdept/?hl=en","","https://twitter.com/bostonparksdept","","",""
"Las Lomas Park","835-859 S Euclid St, La Habra, CA 90631","(562) 383-4000","lhrecreation@lahabraca.gov",33.9225534,-117.9473025,"https://www.lahabraca.gov/facilities/facility/details/laslomaspark-8?ref=travellens.co","United States","California","La Habra",4.3,112,"90631","City parks","City parks,Tourist attractions","https://www.facebook.com/sharer/sharer.php?u=https%3a%2f%2fwww.lahabraca.gov%2ffacilities%2ffacility%2fdetails%2fLas-Lomas-Park-8&t=Check out this great facility for La Habra, CA","https://www.instagram.com/lahabraca/","","https://twitter.com/share?url=https%3a%2f%2fwww.lahabraca.gov%2ffacilities%2ffacility%2fdetails%2fLas-Lomas-Park-8&text=Check out this great facility for La Habra, CA","","",""
