name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Buscando Seguro","1820 S Mason Rd #350, Katy, TX 77450","(713) 955-5694","info@buscandoseguro.com",29.7554901,-95.7531183,"http://www.buscandoseguro.com/","United States","Texas","Houston",5,79,"77450","Auto insurance agencies","Home insurance agencies,Auto insurance agencies,Health insurance agencies,Insurance agencies","https://www.facebook.com/BuscandoSeguroFlorida/","https://www.instagram.com/buscandoseguro/","https://www.linkedin.com/company/buscandoseguro","https://twitter.com/buscandoseguro?","https://wa.me/14079736665","https://www.youtube.com/channel/UCiaDjbv8KNVaZhY3MxomTQQ",""
"Amigo Mexico Auto Insurance","99 E San Ysidro Blvd, San Ysidro, CA 92173","(619) 428-4200","amigomex@abis-group.com",32.5524248,-117.0437444,"https://www.amigomexinsurance.com/","United States","California","San Diego",4.9,49,"92173","Auto insurance agencies","Auto insurance agencies","https://www.facebook.com/amigomex","https://www.instagram.com/amigomex/","","https://x.com/amigomex","https://wa.me/+16196758952","",""
"A-1 General Insurance","4086 Covington Hwy, Decatur, GA 30032","(770) 746-8577","claims@thegeneral.com",33.7550622,-84.2331025,"https://www.thegeneral.com/","United States","Georgia","Atlanta",5,2,"30032","Auto insurance agencies","Auto insurance agencies","https://www.facebook.com/TheGeneralAuto","https://www.instagram.com/thegeneralauto/?hl=en","","https://twitter.com/TheGeneralAuto","","https://www.youtube.com/user/TheGeneralInsurance",""
"Marsh McLennan Agency - West Point GA","300 W 10th St, West Point, GA 31833","(706) 645-2211","sally.roberts@mmc.com",32.8795832,-85.1825785,"http://www.marshmma.com/","United States","Georgia","West Point",4.1,12,"31833","Auto insurance agencies","Insurance agencies,Auto insurance agencies","https://www.facebook.com/LifeatMMA","https://www.instagram.com/lifeatmma/","https://www.linkedin.com/company/marsh-mclennan-agency","https://twitter.com/Marsh_MMA","","https://www.youtube.com/channel/UCN8Wd0k_PW9H_UcAxTb470Q",""
"Acceptance Insurance","708 S Glenwood Ave Ste 305, Dalton, GA 30721","(706) 591-7019","customercare@confie.com",34.7623888,-84.9631413,"https://locations.acceptanceinsurance.com/dalton-insurance-georgia-30721","United States","Georgia","Dalton",4.7,148,"30721","Auto insurance agencies","Insurance agencies,Life insurance agencies,Insurance brokers,Auto insurance agencies,Health insurance agencies,Home insurance agencies,Motorcycle insurance agencies,Renter's insurance agencies","https://www.facebook.com/AcceptanceInsurance/","https://www.instagram.com/acceptanceinsurance/","https://www.linkedin.com/company/acceptanceinsurance/","https://twitter.com/AcceptanceHQ/","","",""
"Freeway Insurance","245 N Acadian Thruway Ste E, Baton Rouge, LA 70806","(225) 255-0348","customercare@confie.com",30.4499159,-91.1550775,"https://locations.freeway.com/baton-rouge-car-insurance-70806-la?utm_source=google&utm_medium=GMB&utm_campaign=online_directories&utm_content=ULABR5","United States","Louisiana","Baton Rouge",4,44,"70806","Auto insurance agencies","Life insurance agencies,Renter's insurance agencies,Auto insurance agencies,Motorcycle insurance agencies,Insurance agencies","https://www.facebook.com/freewayinsurance","https://www.instagram.com/freewayinsurance/","","https://twitter.com/Freeway_Ins","","https://www.youtube.com/freewayinsurance","https://www.tiktok.com/@freewayinsurance"
"Freeway Insurance","13322 US-90 Suite P, Boutte, LA 70039","(985) 242-0383","customercare@confie.com",29.9033373,-90.3824838,"https://locations.freewayinsurance.com/freeway-insurance-boutte-la-70039?utm_source=google&utm_medium=yext&utm_content=FLABOU","United States","Louisiana","New Orleans",5,48,"70039","Auto insurance agencies","Renter's insurance agencies,Insurance agencies,Insurance brokers,Auto insurance agencies,Health insurance agencies,Life insurance agencies,Dental insurance agencies,Motorcycle insurance agencies,Home insurance agencies","https://www.facebook.com/freewayinsurance","https://www.instagram.com/freewayinsurance/","","https://twitter.com/Freeway_Ins","","https://www.youtube.com/freewayinsurance","https://www.tiktok.com/@freewayinsurance"
"Freeway Insurance","1000 S Clearview Pkwy Suite 1002, Harahan, LA 70123","(504) 321-9392","customercare@confie.com",29.9583647,-90.1840178,"https://locations.freewayinsurance.com/freeway-insurance-harahan-la-70123?utm_source=google&utm_medium=yext&utm_content=ULAHAR","United States","Louisiana","New Orleans",4.7,37,"70123","Auto insurance agencies","Auto insurance agencies,Health insurance agencies,Insurance agencies,Insurance brokers,Life insurance agencies,Motorcycle insurance agencies,Home insurance agencies,Dental insurance agencies,Renter's insurance agencies","https://www.facebook.com/freewayinsurance","https://www.instagram.com/freewayinsurance/","","https://twitter.com/Freeway_Ins","","https://www.youtube.com/freewayinsurance","https://www.tiktok.com/@freewayinsurance"
"Ellsworth Corporation, A Divsion of World","3636 S I-10 Service Rd W STE 100, Metairie, LA 70001","(504) 455-4545","alexellsworth@worldinsurance.com",29.9971325,-90.1637506,"https://locations.worldinsurance.com/ellsworth-corporation-a-divsion-of-world-f9c4cc146a45?y_source=1_MTAxOTQ3MTQ0My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","United States","Louisiana","New Orleans",5,3,"70001","Auto insurance agencies","Auto insurance agencies","https://www.facebook.com/worldinsur/","https://www.instagram.com/worldinsuranceassociates/","https://www.linkedin.com/company/world-insurance-associates-llc","https://twitter.com/worldinsur","","https://www.youtube.com/channel/UCogNIytcbbEdVil0HefGVVA",""
"Acceptance Insurance","502 US-80 Ste B, Bloomingdale, GA 31302","(912) 430-2438","customercare@confie.com",32.1307939,-81.2930441,"https://locations.acceptanceinsurance.com/bloomingdale-insurance-georgia-31302","United States","Georgia","Savannah",4.7,105,"31302","Auto insurance agencies","Insurance agencies,Auto insurance agencies,Health insurance agencies,Life insurance agencies,Insurance brokers,Home insurance agencies,Motorcycle insurance agencies,Renter's insurance agencies","https://www.facebook.com/AcceptanceInsurance/","https://www.instagram.com/acceptanceinsurance/","https://www.linkedin.com/company/acceptanceinsurance/","https://twitter.com/AcceptanceHQ/","","",""
