name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Monaco Encino","16610 Ventura Blvd, Encino, CA 91436","(818) 780-1933","info@monacoencino.com",34.1576593,-118.4950692,"https://monacoencino.com/","United States","California","Los Angeles",4.3,165,"91436","Restaurants","Restaurants,Bars","https://www.facebook.com/MonacoEncino/","https://www.instagram.com/monacoencino/","https://www.linkedin.com/company/monaco-encino/","https://twitter.com/monaco_encino","https://wa.me/18184723487","https://www.youtube.com/channel/UC88C9tL3gvUbXBQKEKOyezg","https://www.tiktok.com/@monacoencino"
"Spice Hub - Indian Fusion in Syosset, NY","35 Jackson Ave, Syosset, NY 11791","(516) 922-7777","rajsahni@spicehubny.com",40.8249979,-73.5017652,"http://spicehubny.com/","United States","New York","Oyster Bay",4.7,261,"11791","Restaurants","Restaurants","https://www.facebook.com/SpiceHubNY/","https://www.instagram.com/spicehubny/","","https://twitter.com/spicehubny","https://wa.me/15169227777","","https://www.tiktok.com/@spicehubny"
"Uncle Jesse's Cafe","722 Pond Rd, Vernon, VT 05354","(802) 490-2213","news@reformer.com",42.7450648,-72.5100607,"https://www.reformer.com/business/uncle-jesse-s-cafe-offers-down-home-cooking/article_19380470-95c4-11ed-aab9-f73fb3165b0e.html","United States","Vermont","",5,28,"05354","Restaurants","Restaurants","https://www.facebook.com/brattlebororeformer/","https://www.instagram.com/brattlebororeformer/","https://www.linkedin.com/company/vt-news-media/","https://twitter.com/brattreformer/","https://wa.me/?text=https://www.reformer.com/site/contact.html","https://www.youtube.com/user/BrattleboroReformer/",""
"BYUI Crossroads Food Court","142 S 2nd E, Rexburg, ID 83460","(208) 496-2800","foodservices@byui.edu",43.8184897,-111.7822532,"http://www.byui.edu/university-services/food-services","United States","Idaho","Rexburg",3.9,84,"83460","Restaurants","Restaurants","https://www.facebook.com/BYUID","https://www.instagram.com/byuidaho/","https://www.linkedin.com/company/byu-idaho","https://twitter.com/byuidaho","https://wa.me/12084961411","https://www.youtube.com/byui",""
"The Crossroads","101 E Viking Dr, MC 232, Rexburg, ID 83460","(208) 496-2800","foodservices@byui.edu",43.818489,-111.7822524,"https://www.byui.edu/food-services/food-venues/?utm_source=gmb&utm_medium=yext&y_source=1_MTAzNTQwMDMzOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","United States","Idaho","Rexburg",3.8,89,"83460","Restaurants","Restaurants,Food courts","https://www.facebook.com/BYUID","https://www.instagram.com/byuidaho/","https://www.linkedin.com/company/byu-idaho","https://twitter.com/byuidaho","https://wa.me/12084961411","https://www.youtube.com/byui",""
"Island Soul Restaurant & Bar","105 W Sunrise Hwy, Lindenhurst, NY 11757","(631) 991-8155","islandsoullongisland@gmail.com",40.695611,-73.3898018,"http://islandsoulli.com/","United States","New York","Babylon",4.3,124,"11757","Restaurants","Jamaican restaurants,Caribbean restaurants,Restaurants","https://www.facebook.com/864747617215222","https://www.instagram.com/islandsoulli","","https://www.twitter.com/IslandSoulLI1","https://wa.me/15166597662","",""
"Las Fuentes","17449 Indian Trail S, Porter, TX 77365","(818) 355-8218","LasFuentesCatering@gmail.com",30.1581137,-95.3085931,"https://www.lasfuentescatering.com/","United States","Texas","Houston",4.9,8,"77365","Restaurants","Restaurants","https://www.facebook.com/profile.php?id=100064021875101","https://www.instagram.com/lasfuentescatering/","","https://x.com/lasfuentescater","https://wa.me/18183558218","",""
"Cheniere's Restaurant","400 E 1st St, Thibodaux, LA 70301","(985) 446-9944","gisclaircasey@gmail.com",29.7977726,-90.8156748,"https://www.lafourchegazette.com/human_interest/new-restaurant-aiming-to-serve-fresh-homemade-louisiana-dishes/article_aa313dd6-abd9-11ed-b21d-275b1b45dd17.html","United States","Louisiana","Houma",4.3,17,"70301","Restaurants","Restaurants","https://www.facebook.com/TheLafourcheGazette/","https://www.instagram.com/thelafourchegazette/?hl=en","","https://twitter.com/casey_gisclair","https://wa.me/?text=https://www.lafourchegazette.com/human_interest/new-restaurant-aiming-to-serve-fresh-homemade-louisiana-dishes/article_aa313dd6-abd9-11ed-b21d-275b1b45dd17.html","",""
"Souper Jenny","130 W Paces Ferry Rd NW, Atlanta, GA 30305","(404) 295-6761","souperjenny@aol.com",33.8418361,-84.3856315,"http://www.souperjennyatl.com/","United States","Georgia","Atlanta",4.5,199,"30305","Restaurants","Cafes,Restaurants","https://www.facebook.com/SouperJenny/","http://instagram.com/followingsouperjenny","http://www.linkedin.com/in/jenny-levison-9338487","https://twitter.com/PlanetJennyATL","","",""
"Tropical Bird Turkey Legs","Fayetteville, GA 30214","(678) 829-3303","Contact@TropikalBird.com",33.4663931,-84.4449714,"https://www.tropikalbird.com/","United States","Georgia","Atlanta",4.6,108,"","Restaurants","Restaurants","https://www.facebook.com/TropikalBird/","https://instagram.com/tropikalbird?igshid=1fbvncx006ea","","http://www.twitter.com/@Tropikal_Bird","","",""
