name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Luxury Executive Wellness","","(707) 722-7032","concierge@luxuryexecutivewellness.com",43.0393168,-109.5461575,"http://www.luxuryexecutivewellness.com/","United States","Wyoming","",5,12,"","Health resorts","Yoga Retreat Centers,Retreat centers,Wellness programs,Service establishments,Companies,Event management companies,Health resorts","https://www.facebook.com/LuxWellnessRetreats","https://www.instagram.com/luxexecutivewellness/","https://www.linkedin.com/company/inspired-leadership-group/","https://twitter.com/MullinsInspired","","",""
"Vitality Wellness Club","114 S Garner St, State College, PA 16801","(814) 826-1988","vitalitywellnessclub@gmail.com",40.7976512,-77.8567604,"https://www.vitalitywellnessclub.com/","United States","Pennsylvania","State College",5,9,"16801","Health resorts","Health resorts","https://www.facebook.com/profile.php?id=100094715528518","https://www.instagram.com/vitalitywellnessclub/","","https://twitter.com/VitalityWell","","",""
"Spirit Over Flesh, LLC","2840 Proctor Dr, Columbus, OH 43209","(937) 304-5693","tiandra@spiritoverfleshllc.com",39.9349693,-82.9183461,"https://www.spiritoverfleshllc.com/","United States","Ohio","Columbus",5,8,"43209","Health resorts","Health resorts","https://www.facebook.com/tiandra.finch","https://www.instagram.com/spiritoverfleshllc/","https://www.linkedin.com/in/tiandra-finch-20b64a31/","https://twitter.com/tiandra__","","",""
"MedHouse","2513 S Dixie Hwy, West Palm Beach, FL 33401","(561) 229-0008","info@medhouse.co",26.6912041,-80.0545838,"https://www.medhouse.co/","United States","Florida","Miami",4.9,77,"33401","Health resorts","Health spas,Health resorts,Health and beauty shops","https://www.facebook.com/medhousewpb","https://www.instagram.com/medhouse__/","","","","https://www.youtube.com/channel/UCGA9h18GB33qaEUUEb8nk3Q",""
"Ayurveda Health Retreat","14616 NW 140th St, Alachua, FL 32615","(352) 870-7645","ahr.yoga@gmail.com",29.789991,-82.4945345,"http://www.ayurvedahealthretreat.com/","United States","Florida","Alachua",5,144,"32615","Health resorts","Massage therapists,Health resorts","https://www.facebook.com/AyurvedaHealthRetreat/","https://www.instagram.com/ayurvedahealthretreat/?hl=en","","","","",""
"Seeds of Tradition","","(828) 412-4473","erin@seedsoftradition.org",35.7873744,-82.1745799,"https://seedsoftradition.org/","United States","North Carolina","",5,3,"","Health resorts","Service establishments,Health counselors,Health resorts,Life coaches,Companies,Health consultants","https://www.facebook.com/Nahuahealing","https://www.instagram.com/weatherhealing/","","","","https://www.youtube.com/@seedsoftradition",""
"The Ridge at Horizons: A Wellness Retreat","314 Cornerstone Ln, Harrisonburg, VA 22802","(540) 705-6373","theridge@horizonsva.com",38.4731055,-78.8191709,"http://ridgeathorizons.com/","United States","Virginia","",5,6,"22802","Health resorts","Health resorts","https://www.facebook.com/theridgeathorizons","https://www.instagram.com/theridgeathorizons/","","","","",""
"Sleeping Buffalo Hot Springs Resort","669 Buffalo Terrace, Saco, MT 59261","(406) 527-3320","sbhotsprings@hotmail.com",48.4838254,-107.5293725,"http://www.sbhotsprings.com/","United States","Montana","Malta",4.5,259,"59261","Health resorts","Health resorts","https://www.facebook.com/sleepingbuffalohotsprings","https://instagram.com/sleepingbuffalohotsprings?igshid=w2lly715lyk5","","","","",""
"Myophysio.us","","(832) 358-5500","myophysio.us@gmail.com",31.1689103,-100.0768425,"https://myophysio.us/","United States","Texas","Concho County",0,0,"","Health resorts","Health resorts,Service establishments,Companies","https://www.facebook.com/myophysio.us","https://www.instagram.com/myophysio.yo/","https://www.linkedin.com/in/edgardo-olivares-35884293/","","","","https://www.tiktok.com/@rsbnsteakstu"
"Korean Red Ginsing Center Seattle","3520 196th St. S. #117, Lakewood, WA 98499","(253) 230-7928","Contact@KGCUS.com",47.1697064,-122.4831265,"http://kgcus.com/","United States","Washington","Tacoma",0,0,"98499","Health resorts","Health resorts","https://www.facebook.com/KGCUS/","https://www.instagram.com/jungkwanjangus/","https://www.linkedin.com/company/kgcus/","","","https://www.youtube.com/c/kgcus","https://www.tiktok.com/@jungkwanjangus"
