name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"The Fresh Market","4405 Roswell Rd NE, Atlanta, GA 30342","(404) 250-0852","help@instacart.com",33.874787,-84.380846,"https://stores.thefreshmarket.com/ga/atlanta/84","United States","Georgia","Atlanta",4.3,216,"30342","Supermarkets","Grocery stores,Supermarkets,Bakery and Cake Shops,Markets,Chicken & Mutton Shops,Butcher shops,American grocery stores,Bakeries,Gourmet grocery stores,Produce markets,Organic food stores,Fruit and vegetable stores","https://www.facebook.com/TheFreshMarket","https://www.instagram.com/thefreshmarket/","","https://twitter.com/TheFreshMarket","","https://www.youtube.com/user/TheFreshMarketInc","https://www.tiktok.com/@thefreshmarket?lang=en"
"The Fresh Market","311 E Indiantown Rd, Jupiter, FL 33477","(561) 743-1059","help@instacart.com",26.934921,-80.08767,"https://stores.thefreshmarket.com/fl/jupiter/191","United States","Florida","Miami",4.4,608,"33477","Supermarkets","Bakeries,Butcher shops,American grocery stores,Produce markets,Organic food stores,Gourmet grocery stores,Grocery stores,Supermarkets,Bakery and Cake Shops,Markets,Chicken & Mutton Shops,Fruit and vegetable stores","https://www.facebook.com/TheFreshMarket","https://www.instagram.com/thefreshmarket/","","https://twitter.com/TheFreshMarket","","https://www.youtube.com/user/TheFreshMarketInc","https://www.tiktok.com/@thefreshmarket?lang=en"
"Rouses Market","3446 Drusilla Ln, Baton Rouge, LA 70809","(225) 766-4800","gift.cards@rouses.com",30.4199754,-91.0898197,"https://www.rouses.com/","United States","Louisiana","Baton Rouge",4.3,1124,"70809","Supermarkets","Produce markets,Liquor Shops,Supermarkets,Chicken & Mutton Shops,Delis,Grocery stores,Butcher shops,Liquor stores","https://www.facebook.com/RousesMarkets/","https://www.instagram.com/rousesmarkets/","","https://twitter.com/rousesmarkets","","https://www.youtube.com/user/RousesMarkets",""
"The Fresh Market","3820 N Federal Hwy, Fort Lauderdale, FL 33308","(954) 564-5353","help@instacart.com",26.175001,-80.118693,"https://stores.thefreshmarket.com/fl/fort-lauderdale/222","United States","Florida","Miami",4.4,736,"33308","Supermarkets","Supermarkets,Bakery and Cake Shops,Grocery stores,Markets,Chicken & Mutton Shops,Butcher shops,Bakeries,American grocery stores,Organic food stores,Produce markets,Gourmet grocery stores,Fruit and vegetable stores","https://www.facebook.com/TheFreshMarket","https://www.instagram.com/thefreshmarket/","","https://twitter.com/TheFreshMarket","","https://www.youtube.com/user/TheFreshMarketInc","https://www.tiktok.com/@thefreshmarket?lang=en"
"The Fresh Market","424 N Federal Hwy, Fort Lauderdale, FL 33301","(954) 763-1250","help@instacart.com",26.1272726,-80.1366651,"https://stores.thefreshmarket.com/fl/fort-lauderdale/135","United States","Florida","Miami",4.4,1192,"33301","Supermarkets","Markets,Chicken & Mutton Shops,Grocery stores,Supermarkets,Bakery and Cake Shops,American grocery stores,Bakeries,Butcher shops,Fruit and vegetable stores,Gourmet grocery stores,Produce markets,Organic food stores","https://www.facebook.com/TheFreshMarket","https://www.instagram.com/thefreshmarket/","","https://twitter.com/TheFreshMarket","","https://www.youtube.com/user/TheFreshMarketInc","https://www.tiktok.com/@thefreshmarket?lang=en"
"Rouses Market","4001 General De Gaulle Dr, New Orleans, LA 70114","(504) 361-5557","gift.cards@rouses.com",29.9188889,-90.0144444,"https://www.rouses.com/","United States","Louisiana","New Orleans",4.3,676,"70114","Supermarkets","Delis,Grocery stores,Chicken & Mutton Shops,Supermarkets,Produce markets,Liquor Shops,Butcher shops,Liquor stores","https://www.facebook.com/RousesMarkets/","https://www.instagram.com/rousesmarkets/","","https://twitter.com/rousesmarkets","","https://www.youtube.com/user/RousesMarkets",""
"The Fresh Market","5515 Chamblee Dunwoody Rd, Dunwoody, GA 30338","(770) 481-0304","help@instacart.com",33.948709,-84.334769,"https://stores.thefreshmarket.com/ga/dunwoody/43","United States","Georgia","Atlanta",4.3,334,"30338","Supermarkets","Gourmet grocery stores,Fruit and vegetable stores,Produce markets,Organic food stores,Bakeries,Butcher shops,American grocery stores,Markets,Chicken & Mutton Shops,Supermarkets,Bakery and Cake Shops,Grocery stores","https://www.facebook.com/TheFreshMarket","https://www.instagram.com/thefreshmarket/","","https://twitter.com/TheFreshMarket","","https://www.youtube.com/user/TheFreshMarketInc","https://www.tiktok.com/@thefreshmarket?lang=en"
"Rouses Market","6600 Franklin Ave, New Orleans, LA 70122","(504) 288-1600","gift.cards@rouses.com",30.0281822,-90.0541587,"https://www.rouses.com/","United States","Louisiana","New Orleans",4.2,1961,"70122","Supermarkets","Supermarkets,Delis,Grocery stores,Chicken & Mutton Shops,Butcher shops,Liquor stores,Liquor Shops,Produce markets","https://www.facebook.com/RousesMarkets/","https://www.instagram.com/rousesmarkets/","","https://twitter.com/rousesmarkets","","https://www.youtube.com/user/RousesMarkets",""
"The Fresh Market","5920 Red Bug Lake Rd, Winter Springs, FL 32708","(407) 388-1745","help@instacart.com",28.648694,-81.267369,"https://stores.thefreshmarket.com/fl/winter-springs/183","United States","Florida","Orlando",4.5,598,"32708","Supermarkets","Bakeries,Butcher shops,American grocery stores,Fruit and vegetable stores,Produce markets,Organic food stores,Gourmet grocery stores,Supermarkets,Bakery and Cake Shops,Grocery stores,Markets,Chicken & Mutton Shops","https://www.facebook.com/TheFreshMarket","https://www.instagram.com/thefreshmarket/","","https://twitter.com/TheFreshMarket","","https://www.youtube.com/user/TheFreshMarketInc","https://www.tiktok.com/@thefreshmarket?lang=en"
"Carver Neighborhood Market","1297 McDonough Blvd SE, Atlanta, GA 30315","(404) 586-0692","info@carvermarket.com",33.7190502,-84.3852179,"http://www.carvermarket.com/","United States","Georgia","Atlanta",4.6,284,"30315","Supermarkets","Markets,Grocery stores,Supermarkets","http://www.facebook.com/carvermarket","https://www.instagram.com/carvermarketatl/","","https://twitter.com/CarverCorner","","",""
