name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"NYU Radiation Oncology Associates","160 E 34th St, New York, NY 10016","(212) 731-5003","admissions@med.nyu.edu",40.7462252,-73.978687,"https://med.nyu.edu/radonc/frontpage","United States","New York","New York City",0,0,"10016","Government hospitals","Government hospitals","https://www.facebook.com/NYUGrossman/","https://www.instagram.com/NYUGrossman/","https://www.linkedin.com/company/nyulangonehealth","https://twitter.com/nyugrossman","","https://www.youtube.com/c/NYULangoneHealth",""
"Kerrville State Hospital","721 Thompson Dr, Kerrville, TX 78028","(830) 896-2211","immtrac2@dshs.texas.gov",30.0482888,-99.155909,"http://www.dshs.texas.gov/mhhospitals/kerrvillesh/","United States","Texas","Kerrville",3,19,"78028","Government hospitals","Government hospitals,Hospitals,General hospitals","https://www.facebook.com/TexasDSHS","https://www.instagram.com/TexasDSHS","https://www.linkedin.com//company/texasdshs","https://www.x.com/TexasDSHS","","https://www.youtube.com/TexasDSHS",""
"Ancora Psychiatric Hospital","301 Spring Garden Rd, Hammonton, NJ 08037","(609) 561-1700","aph.resume@dhs.state.nj.us",39.682449,-74.8609522,"https://www.state.nj.us/humanservices/involved/nurses/mentalhph/ancora.html","United States","New Jersey","",2.4,64,"08037","Government hospitals","Psychiatric hospitals,Government hospitals","http://www.facebook.com/NJDHS","","","https://twitter.com/NJDHS","","",""
"Winnebago Mental Health Institute","4100 Treffert Dr, Oshkosh, WI 54901","(920) 235-4910","stephanie.mattern@dhs.wisconsin.gov",44.074787,-88.5182198,"https://www.dhs.wisconsin.gov/winnebago/index.htm","United States","Wisconsin","Oshkosh",1.9,170,"54901","Government hospitals","Psychiatric hospitals,Government hospitals","https://www.facebook.com/DHSWI/","","https://www.linkedin.com/company/wisconsin-department-of-health-services","http://twitter.com/DHSWI","","https://www.youtube.com/user/dhswi",""
"Florida Department of Health","301 Dr Carter Blvd, Bunnell, FL 32110","(386) 437-7350","chd18webmaster@flhealth.gov",29.4689387,-81.2501493,"http://flagler.floridahealth.gov/","United States","Florida","Bunnell",2.8,58,"32110","Government hospitals","Government hospitals,Public health departments","https://www.facebook.com/FLDepartmentofHealth","","","https://twitter.com/HealthyFla","","https://www.youtube.com/user/fldoh",""
"Veteran's Health Administration Community Outreach Division","909 Vine St, Cincinnati, OH 45202","(513) 977-6800","Nicole.michaelson@va.gov",39.1056872,-84.5142727,"https://www.va.gov/cincinnati-health-care/programs/homeless-veterans-program/","United States","Ohio","Cincinnati",0,0,"45202","Government hospitals","Government hospitals,Veterans centers","","","","","","",""
"Extendicare Health Services, Inc.","3208 50th St Ct #200, Gig Harbor, WA 98335","(253) 858-7273","Reception_Canada@extendicare.com",47.3034368,-122.5831315,"http://www.extendicare.com/","United States","Washington","Gig Harbor",0,0,"98335","Government hospitals","Government hospitals","","","https://ca.linkedin.com/company/extendicare","https://twitter.com/extendicare","","",""
"Harborview Behavioral Health Institute","325 9th Ave, Seattle, WA 98104","(206) 744-9677","bhinstitute@uw.edu",47.6039141,-122.3240628,"http://bhinstitute.uw.edu/","United States","Washington","Seattle",0,0,"98104","Government hospitals","Government hospitals,Mental health services,Mental Hospitals,Community health centres","","","","","","",""
"VA Medical Center-Fayetteville: Yang Frank Yun-P MD","2300 Ramsey St, Fayetteville, NC 28301","(910) 488-2120","Lineal.Hyman@va.gov",35.0879063,-78.8768363,"https://www.va.gov/fayetteville-coastal-health-care/","United States","North Carolina","Fayetteville",4,5,"28301","Government hospitals","Government hospitals","","","","","","",""
"NYS Department Of Health, Office Of Professional Medical Conduct","150 Broadway #355, Menands, NY 12204","","opmc@health.ny.gov",42.6873174,-73.7299586,"https://www.health.ny.gov/professionals/doctors/conduct/","United States","New York","Colonie",3.4,5,"12204","Government hospitals","Government hospitals","http://www.facebook.com/NYSDOH","https://www.instagram.com/nysdoh/","https://www.linkedin.com/company/nysdoh","http://twitter.com/healthnygov","","http://www.youtube.com/user/NYSDOH",""
