name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Jefferson Hospital","565 Coal Valley Rd, Jefferson Hills, PA 15025","(412) 469-5000","Jennifer.Robison@ahn.org",40.3173745,-79.9334249,"https://www.ahn.org/locations/hospitals/jefferson","United States","Pennsylvania","Jefferson Hills",2.7,418,"15025","Hospitals","Hospital departments,Dermatologists,Gynecologists,Hematologists,Urology clinics,Hospitals,General hospitals","https://www.facebook.com/AHNToday/","https://www.instagram.com/ahntoday/?hl=en","https://www.linkedin.com/company/allegheny-health-network","https://twitter.com/AHNtoday","","https://www.youtube.com/user/wpahs",""
"Geisinger St. Luke's Hospital","100 Orwigsburg Manor Dr, Orwigsburg, PA 17961","(866) 785-8537","mystlukes@sluhn.org",40.6416204,-76.0919865,"https://www.slhn.org/geisinger-stlukes-hospital","United States","Pennsylvania","",4,150,"17961","Hospitals","Hospitals","https://www.facebook.com/StLukesUniversityHealthNetwork","https://www.instagram.com/mystlukes/","https://www.linkedin.com/company/st--luke's-hospital/","https://twitter.com/mystlukes","","https://www.youtube.com/channel/UCLbvo0XT8YufcMXubYnG68g",""
"Nebraska Medicine Gastroenterology at Village Pointe Health Center","17405 Burke St, Omaha, NE 68118","(531) 559-4278","inclusion_diversity@nebraskamed.com",41.258259,-96.1871406,"https://www.nebraskamed.com/village-pointe/gastroenterology","United States","Nebraska","Omaha",3,2,"68118","Hospitals","Hospitals","https://www.facebook.com/NebraskaMed/","https://www.instagram.com/nebraskamed/","","https://twitter.com/nebraskamed","","https://www.youtube.com/user/NebraskaMedCenter",""
"Stone County Medical Center - White River Health","2106 E Main St, Mountain View, AR 72560","(870) 269-4361","csmith1@wrmc.com",35.8565762,-92.0828173,"http://stonecountymedcenter.org/","United States","Arkansas","Mountain View",3.1,47,"72560","Hospitals","Hospitals,General hospitals,Emergency rooms","https://www.facebook.com/whiteriverhealth","https://www.instagram.com/whiteriverhealth","","https://twitter.com/wrhealth?lang=en","","",""
"Prateek Mishra MD","2900 W Oklahoma Ave, Milwaukee, WI 53215","(414) 649-6000","security@aah.org",42.989578,-87.950789,"https://www.aurorahealthcare.org/doctors/prateek-mishra-md","United States","Wisconsin","Milwaukee",0,0,"53215","Hospitals","Hospitals,Internists","https://www.facebook.com/AuroraHealth","https://www.instagram.com/aurorahealthcare/","https://www.linkedin.com/company/aurora-health-care","https://twitter.com/aurora_health","","https://www.youtube.com/c/aurorahealthcare",""
"Vascular and Endovascular Surgery at Mount Sinai","1468 Madison Ave, New York, NY 10029","(212) 241-0756","MSHPatientRelations@mountsinai.org",40.7901407,-73.9527505,"https://www.mountsinai.org/care/surgery/services/vascular-surgery?utm_source=Yext&utm_medium=local_listing&utm_campaign=MS-vascular-endovascular-surgery&y_source=1_MTU2ODk3MzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","United States","New York","New York City",1,1,"10029","Hospitals","Vascular surgeons,Hospitals","https://www.facebook.com/mountsinainyc","https://www.instagram.com/mountsinainyc/","https://www.linkedin.com/company/mountsinainyc","https://twitter.com/MountSinaiNYC","","https://www.youtube.com/user/MountSinaiNY","https://www.tiktok.com/@mountsinainyc"
"Marshall University Medical Center/Cabell Huntington Hospital","1600 Medical Center Dr, Huntington, WV 25701","(304) 696-2900","info@marshallhealth.org",38.4090996,-82.4268836,"https://www.marshallhealth.org/locations/marshall-university-medical-center/","United States","West Virginia","Huntington",2.8,8,"25701","Hospitals","Hospitals","https://www.facebook.com/MarshallHealth","https://www.instagram.com/marshall_health/","https://www.linkedin.com/company/marshall-health/","https://twitter.com/marshall_health","","https://www.youtube.com/user/MarshallHealth/",""
"Geisinger Bloomsburg Hospital","549 Fair St, Bloomsburg, PA 17815","(570) 387-2100","mopharmacy@geisinger.edu",41.0095034,-76.4521254,"https://www.geisinger.org/patient-care/find-a-location/geisinger-bloomsburg-hospital","United States","Pennsylvania","Bloomsburg",3.1,90,"17815","Hospitals","Hospitals,Emergency rooms","https://www.facebook.com/geisingerhealth","https://www.instagram.com/geisingerhealth/","https://www.linkedin.com/company/geisinger","https://x.com/geisingerhealth","","https://www.youtube.com/channel/UC8ZVDJGuyxXQU5bcuDOc1rg",""
"Wellspan","2371 Philadelphia Ave, Chambersburg, PA 17201","(717) 753-1376","gratitude@wellspan.org",39.9699954,-77.6347982,"https://www.wellspan.org/","United States","Pennsylvania","",5,1,"17201","Hospitals","Hospitals","https://www.facebook.com/WellSpanHealth","https://www.instagram.com/WellSpan_Health/","https://www.linkedin.com/company/wellspan-health","https://www.twitter.com/WellSpan","","https://www.youtube.com/user/WellSpanCorpComm",""
"NYU Langone Health","153 Bay 26th St, Brooklyn, NY 11214","(718) 648-5622","webteam@nyumc.org",40.600525,-73.9997805,"https://nyulangone.org/","United States","New York","New York City",2.5,8,"11214","Hospitals","Hospitals","https://www.facebook.com/NYULangone","https://www.instagram.com/nyulangone/","https://www.linkedin.com/company/nyulangonehealth","https://twitter.com/nyulangone","","https://www.youtube.com/c/NYULangoneHealth",""
